,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,faceOffPct,powerPlayGoals,gameWinningGoals,shortHandedGoals,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20062007,Toronto Nationals Minor Mdgt AAA,GTMMHL,117473,77,80,56,70,56,0.0,157,,,,,,,,,,,,,,,,
0,20072008,Tor. Young Nats,GTHL,1,77,80,56,70,56,,157,0.0,,,,,,,,,,,,,,,
0,20072008,St. Michael's,OPJHL,2,7,2,22,13,22,,9,0.0,,,,,,,,,,,,,,,
0,20082009,St. Michael's,OJHL,1,48,27,44,49,44,,75,,,,,,,,,,,,,,,,
0,20092010,Miami U.,CCHA,1,12,8,24,44,24,,20,,,,,,,,,,,,,,,,
0,20102011,Miami U.,CCHA,1,26,28,18,38,18,,54,,5.0,3.0,2.0,,,,,,,,,,,,
0,20112012,Dallas Stars,National Hockey League,1,0,0,2,3,2,-3.0,0,100.0,0.0,0.0,0.0,25:12,2.0,0.0,0.0,02:43,22:05,0.0,0.0,0.0,00:24,0.0,39.0
0,20112012,Miami U.,CCHA,2,18,30,22,39,22,,48,,9.0,8.0,2.0,,,,,,,,,,,,
0,20122013,Dallas Stars,National Hockey League,1,6,3,8,37,8,0.0,9,75.0,0.0,0.0,0.0,403:56,34.0,18.0,0.0,37:55,351:16,8.82,0.0,0.0,14:45,6.0,573.0
0,20122013,Texas,AHL,2,21,14,20,45,20,13.0,35,,3.0,2.0,1.0,,101.0,,,,,13.86,,,,,
0,20132014,Boston Bruins,National Hockey League,1,31,20,14,82,14,28.0,51,0.0,6.0,3.0,0.0,1205:55,146.0,63.0,14.0,134:19,1070:57,13.7,0.0,0.0,00:39,14.0,1584.0
0,20142015,Boston Bruins,National Hockey League,1,27,13,20,81,20,7.0,40,25.0,1.0,0.0,0.0,1247:26,143.0,74.0,11.0,145:12,1100:53,9.09,0.0,0.0,01:21,39.0,1693.0
0,20152016,Florida Panthers,National Hockey League,1,25,25,31,82,31,19.0,50,0.0,5.0,3.0,0.0,1526:06,173.0,85.0,11.0,210:40,1128:09,14.45,0.0,1.0,187:17,39.0,1957.0
0,20162017,Florida Panthers,National Hockey League,1,22,15,17,80,17,-13.0,37,50.0,6.0,3.0,1.0,1468:16,160.0,75.0,11.0,193:04,1137:46,9.38,0.0,1.0,137:26,34.0,1948.0
0,20172018,Vegas Golden Knights,National Hockey League,1,38,22,24,67,24,31.0,60,30.77,7.0,4.0,1.0,1200:56,162.0,40.0,14.0,158:04,931:13,13.58,1.0,2.0,111:39,24.0,1489.0
0,20182019,Vegas Golden Knights,National Hockey League,1,34,19,14,74,14,13.0,53,71.43,4.0,1.0,1.0,1352:06,178.0,39.0,14.0,181:43,1056:18,10.67,0.0,4.0,114:05,33.0,1563.0
0,20192020,Vegas Golden Knights,National Hockey League,1,27,27,20,71,20,17.0,54,25.0,3.0,6.0,2.0,1271:46,169.0,55.0,5.0,134:34,1000:56,16.0,0.0,4.0,136:16,30.0,1584.0
0,20202021,Vegas Golden Knights,National Hockey League,1,11,14,18,53,18,10.0,25,0.0,4.0,1.0,2.0,947:02,124.0,46.0,5.0,122:58,733:02,11.3,1.0,2.0,91:02,20.0,1181.0
0,20212022,Vegas Golden Knights,National Hockey League,1,22,16,8,56,8,4.0,38,50.0,3.0,3.0,2.0,995:53,150.0,55.0,7.0,100:58,795:54,10.7,0.0,4.0,99:01,23.0,1262.0
