,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,faceOffPct,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20072008,Culver Academy,High-IN,1,31,15,38,45,38,0.0,46,,,,,,,,,,,,,,,,
0,20082009,Wenatchee,NAHL,1,33,16,71,43,71,,49,8.0,3.0,0.0,9.0,,,,,,,,,,,,
0,20082009,St. Louis,NAHL,2,0,0,2,3,2,,0,0.0,0.0,0.0,-1.0,1.0,0.0,,,,,,,,,,
0,20092010,Indiana,USHL,1,23,16,48,46,48,0.0,39,,,,,,,,,,,,,,,,
0,20102011,St. Cloud State,WCHA,1,13,5,34,36,34,,18,1.0,2.0,0.0,,,,,,,,,,,,,
0,20112012,St. Cloud State,WCHA,1,13,11,36,39,36,,24,2.0,0.0,1.0,,,,,,,,,,,,,
0,20122013,St. Cloud State,WCHA,1,25,14,41,42,41,,39,4.0,5.0,0.0,,,,,,,,,,,,,
0,20132014,St. Cloud State,NCHC,1,18,22,32,38,32,,40,10.0,5.0,2.0,,,,,,,,,,,,,
0,20132014,Manchester,AHL,2,3,0,0,7,0,,3,0.0,0.0,0.0,1.0,6.0,0.0,,,,,,,,,,
0,20142015,Manchester,AHL,1,32,9,44,75,44,,41,2.0,2.0,0.0,17.0,118.0,7.6,,,,,,,,,,
0,20152016,Los Angeles Kings,National Hockey League,1,0,0,2,5,2,52.94,0,0.0,0.0,0.0,1.0,3.0,0.0,52:53,6.0,0.0,02:14,48:20,0.0,0.0,02:19,0.0,74.0
0,20152016,Ontario,AHL,2,34,14,49,58,49,,48,3.0,3.0,1.0,13.0,140.0,10.0,,,,,,,,,,
0,20152016,Ontario Reign,AHL,26957,34,14,49,58,49,,48,,,,13.0,,,,,,,,,,,,
0,20162017,Los Angeles Kings,National Hockey League,1,16,6,25,70,25,47.81,22,1.0,2.0,0.0,-15.0,78.0,7.69,871:54,145.0,8.0,109:30,758:13,1.0,0.0,04:11,35.0,1230.0
0,20172018,Los Angeles Kings,National Hockey League,1,1,0,12,16,12,51.92,1,0.0,0.0,0.0,-3.0,11.0,0.0,127:18,24.0,0.0,00:00,127:15,0.0,0.0,00:03,6.0,196.0
0,20172018,Vancouver Canucks,National Hockey League,2,0,3,16,40,16,50.87,3,1.0,1.0,0.0,-7.0,40.0,7.5,462:43,57.0,1.0,01:04,398:13,0.0,0.0,63:26,24.0,684.0
0,20182019,Washington Capitals,National Hockey League,1,14,8,20,64,20,51.91,22,0.0,3.0,0.0,10.0,47.0,17.02,658:44,97.0,0.0,00:46,552:13,0.0,1.0,105:45,37.0,862.0
0,20192020,Washington Capitals,National Hockey League,1,8,7,28,56,28,49.73,15,0.0,1.0,3.0,11.0,52.0,13.5,606:52,117.0,0.0,01:04,466:21,0.0,3.0,139:27,26.0,865.0
0,20202021,Washington Capitals,National Hockey League,1,4,11,31,56,31,56.25,15,0.0,3.0,0.0,4.0,68.0,16.2,804:44,109.0,0.0,05:47,671:11,0.0,0.0,127:46,40.0,1124.0
0,20212022,Washington Capitals,National Hockey League,1,14,10,44,64,44,53.66,24,0.0,0.0,1.0,10.0,90.0,11.1,912:49,139.0,1.0,04:41,783:45,0.0,1.0,124:23,53.0,1319.0
