,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,shortHandedGoals,plusMinus,shots,shotPct,gameWinningGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20062007,Calgary Bisons Bantam AAA,AMBHL,62128,18,11,26,33,26,29,,,,,,,,,,,,,,,,,
0,20072008,Cgy. Bisons,AMBHL,1,21,27,56,33,56,48,,,,,,,,,,,,,,,,,
0,20072008,Cgy. Blackhawks,Minor-AB,2,1,0,0,1,0,1,,,,,,,,,,,,,,,,,
0,20082009,Cgy. Rangers,Minor-AB,1,25,29,51,29,51,54,,,,,,,,,,,,,,,,,
0,20092010,Swift Current,WHL,1,19,15,57,61,57,34,6.0,0.0,9.0,,,,,,,,,,,,,,
0,20102011,Swift Current,WHL,1,27,18,84,66,84,45,5.0,0.0,-21.0,,,,,,,,,,,,,,
0,20112012,Swift Current,WHL,1,25,12,90,36,90,37,8.0,0.0,4.0,,,,,,,,,,,,,,
0,20122013,Swift Current,WHL,1,43,45,102,72,102,88,14.0,6.0,18.0,,,,,,,,,,,,,,
0,20122013,St. John's,AHL,2,1,0,4,9,4,1,0.0,0.0,-1.0,14.0,0.0,0.0,,,,,,,,,,,
0,20132014,St. John's,AHL,1,16,17,49,64,49,33,2.0,0.0,-1.0,108.0,15.7,1.0,,,,,,,,,,,
0,20142015,Winnipeg Jets,National Hockey League,1,12,11,46,80,46,23,0.0,1.0,1.0,104.0,10.58,2.0,1100:15,256.0,3.0,45:15,1004:14,47.24,0.0,1.0,50:46,32.0,1592.0
0,20152016,Winnipeg Jets,National Hockey League,1,10,7,53,74,53,17,0.0,0.0,-9.0,73.0,9.59,2.0,1037:22,187.0,0.0,13:57,868:08,46.27,0.0,0.0,155:17,48.0,1503.0
0,20152016,Manitoba,AHL,2,4,0,2,4,2,4,0.0,0.0,-2.0,11.0,0.0,0.0,,,,,,,,,,,
0,20152016,Manitoba Moose,AHL,877,4,0,2,4,2,4,,,-2.0,,,,,,,,,,,,,,
0,20162017,Winnipeg Jets,National Hockey League,1,14,15,52,82,52,29,5.0,0.0,1.0,122.0,12.3,1.0,1316:02,217.0,9.0,141:59,990:19,50.81,0.0,1.0,183:44,56.0,1935.0
0,20172018,Winnipeg Jets,National Hockey League,1,13,8,8,45,8,21,1.0,0.0,9.0,70.0,11.43,1.0,670:13,124.0,2.0,34:51,543:43,55.89,0.0,0.0,91:39,28.0,944.0
0,20182019,Winnipeg Jets,National Hockey League,1,11,12,33,78,33,23,0.0,1.0,6.0,105.0,11.43,3.0,1141:47,223.0,0.0,08:15,957:05,57.62,0.0,3.0,176:27,49.0,1688.0
0,20192020,Winnipeg Jets,National Hockey League,1,6,4,23,49,23,10,0.0,1.0,-4.0,68.0,5.9,1.0,733:07,137.0,0.0,11:28,613:00,53.78,0.0,2.0,108:39,22.0,1027.0
0,20202021,Winnipeg Jets,National Hockey League,1,14,10,13,52,13,24,0.0,1.0,6.0,80.0,12.5,3.0,807:21,161.0,2.0,40:14,637:40,50.49,0.0,1.0,129:27,30.0,1118.0
0,20212022,Winnipeg Jets,National Hockey League,1,8,13,59,79,59,21,0.0,3.0,1.0,115.0,11.3,0.0,1222:57,231.0,2.0,71:26,968:42,53.01,0.0,5.0,182:49,43.0,1744.0
0,20212022,Canada,WC,17155,5,4,4,10,4,9,,,4.0,,,,,,,,,,,,,,
