,season,team,league,sequenceNumber,savePercentage,goalAgainstAverage,games
0,20132014,Kiekko-Vantaa U16,Jr. C Mestis,80825,0.859,7.5,2
0,20142015,Jokerit U18,Jr. B SM-sarja,25059,0.914,0.0,2
0,20152016,Jokerit U18,U18 SM-sarja,25961,0.876,,24
0,20162017,Jokerit U18,U18 SM-sarja,25961,0.907,,4
0,20162017,Jokerit U20,U20 SM-sarja,25980,0.908,2.68,26
0,20172018,Jokerit U20,U20 SM-sarja,25980,0.916,3.03,35
0,20182019,Kiekko-Vantaa,Mestis,4697,0.905,2.92,13
0,20182019,Jokerit U20,U20 SM-sarja,25980,0.735,9.0,1
0,20192020,Ilves,Liiga,889,0.936,1.53,7
0,20192020,KOOVEE,Mestis,7327,0.908,3.01,26
0,20192020,Ilves U20,U20 SM-sarja,25870,0.897,3.0,1
0,20202021,Ilves,Liiga,889,0.907,2.59,34
0,20212022,Chicago Wolves,AHL,957,0.922,2.06,14
