,season,team,league,sequenceNumber,assists,goals,pim,games,powerPlayGoals,penaltyMinutes,gameWinningGoals,shortHandedGoals,points,plusMinus,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20102011,Owen Sound,ON-Jr.B,1,16,6,124,51,2.0,124,0.0,1.0,22,,,,,,,,,,,,,,
0,20112012,Owen Sound,ON-Jr.B,1,6,3,80,20,2.0,80,1.0,0.0,9,,,,,,,,,,,,,,
0,20112012,Owen Sound,OHL,2,2,0,7,9,0.0,7,0.0,0.0,2,0.0,,,,,,,,,,,,,
0,20122013,Owen Sound,OHL,1,7,1,110,65,,110,,,8,7.0,,,,,,,,,,,,,
0,20132014,Owen Sound,OHL,1,12,5,90,38,2.0,90,2.0,0.0,17,2.0,,,,,,,,,,,,,
0,20132014,Erie,OHL,2,1,2,75,28,0.0,75,0.0,0.0,3,21.0,,,,,,,,,,,,,
0,20142015,Erie,OHL,1,32,8,129,61,5.0,129,0.0,0.0,40,20.0,,,,,,,,,,,,,
0,20152016,Ontario,AHL,1,12,4,121,56,0.0,121,0.0,0.0,16,24.0,61.0,6.6,,,,,,,,,,,
0,20152016,Ontario Reign,AHL,26957,12,4,121,56,,121,,,16,24.0,,,,,,,,,,,,,
0,20162017,Ontario Reign,AHL,26957,14,6,135,58,,135,,,20,11.0,,,,,,,,,,,,,
0,20172018,Los Angeles Kings,National Hockey League,1,3,1,57,34,0.0,57,0.0,0.0,4,-4.0,19.0,5.26,394:32,77.0,0.0,12:26,373:36,0.0,0.0,0.0,08:30,27.0,568.0
0,20172018,Ontario Reign,AHL,26957,5,1,78,32,,78,,,6,8.0,,,,,,,,,,,,,
0,20182019,Los Angeles Kings,National Hockey League,1,1,0,11,11,0.0,11,0.0,0.0,1,-1.0,5.0,0.0,102:49,26.0,0.0,00:32,97:44,0.0,0.0,0.0,04:33,4.0,146.0
0,20182019,Ontario Reign,AHL,26957,10,5,147,48,,147,,,15,8.0,,,,,,,,,,,,,
0,20192020,Los Angeles Kings,National Hockey League,1,5,3,47,45,0.0,47,0.0,0.0,8,-9.0,51.0,5.9,617:06,95.0,0.0,00:11,565:30,0.0,0.0,1.0,51:25,43.0,829.0
0,20202021,Los Angeles Kings,National Hockey League,1,2,2,36,28,0.0,36,0.0,0.0,4,-14.0,16.0,12.5,373:56,46.0,0.0,01:13,335:39,0.0,0.0,0.0,37:04,35.0,513.0
0,20212022,Colorado Avalanche,National Hockey League,1,3,2,89,58,0.0,89,0.0,0.0,5,1.0,46.0,4.3,429:09,105.0,0.0,00:00,424:02,0.0,0.0,0.0,05:07,22.0,667.0
