,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20092010,Forest Lake,High-MN,1,19,18,18,25,18,37,,,,,,,,,,,,,,,,,
0,20102011,Forest Lake,High-MN,1,10,23,22,25,22,33,,,,,,,,,,,,,,,,,
0,20112012,Northeast,UMHSEL,1,5,7,22,20,22,12,,,,,,,,,,,,,,,,,
0,20112012,Forest Lake,High-MN,2,23,15,26,25,26,38,,,,,,,,,,,,,,,,,
0,20122013,Sioux Falls,USHL,1,28,32,60,62,60,60,194.0,7.0,16.5,7.0,2.0,30.0,,,,,,,,,,,
0,20132014,Sioux Falls,USHL,1,29,22,43,53,43,51,176.0,9.0,12.5,4.0,1.0,19.0,,,,,,,,,,,
0,20142015,Minnesota State,WCHA,1,19,9,21,37,21,28,,2.0,,2.0,0.0,,,,,,,,,,,,
0,20152016,Minnesota State,WCHA,1,11,14,43,41,43,25,103.0,6.0,,2.0,1.0,7.0,,,,,,,,,,,
0,20152016,Minnesota State Univ. (Mankato),NCAA,15760,11,14,43,41,43,25,,,,,,7.0,,,,,,,,,,,
0,20162017,Minnesota State Univ. (Mankato),NCAA,15760,19,12,38,39,38,31,,,,,,3.0,,,,,,,,,,,
0,20172018,Manitoba Moose,AHL,877,1,1,2,6,2,2,,,,,,2.0,,,,,,,,,,,
0,20172018,Minnesota State Univ. (Mankato),NCAA,15760,21,22,53,40,53,43,,,,,,18.0,,,,,,,,,,,
0,20182019,Manitoba Moose,AHL,877,4,8,6,26,6,12,,,,,,-3.0,,,,,,,,,,,
0,20192020,Winnipeg Jets,National Hockey League,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,-1.0,06:26,1.0,0.0,00:00,06:26,25.0,0.0,0.0,00:00,0.0,10.0
0,20192020,Manitoba Moose,AHL,877,13,14,33,57,33,27,,,,,,-5.0,,,,,,,,,,,
0,20202021,Manitoba Moose,AHL,877,6,8,10,31,10,14,,,,,,-6.0,,,,,,,,,,,
0,20212022,Winnipeg Jets,National Hockey League,1,0,0,2,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,17:08,2.0,0.0,00:03,17:05,50.0,0.0,0.0,00:00,5.0,27.0
0,20212022,Manitoba Moose,AHL,877,14,14,16,46,16,28,,,,,,5.0,,,,,,,,,,,
