,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20112012,Tor. Marlboros,GTHL,1,25,10,30,28,30,35,,,,,,,,,,,,,,,,,
0,20122013,Kingston,OHL,1,22,7,33,61,33,29,3.0,0.0,0.0,-24.0,,,,,,,,,,,,,
0,20132014,Kingston,OHL,1,32,11,61,62,61,43,3.0,1.0,1.0,38.0,,,,,,,,,,,,,
0,20132014,Canada,WJ18-A,2,1,0,2,7,2,1,0.0,0.0,0.0,3.0,10.0,,,,,,,,,,,,
0,20142015,Kingston,OHL,1,25,7,57,65,57,32,1.0,0.0,0.0,1.0,,,,,,,,,,,,,
0,20142015,Charlotte,AHL,2,1,0,0,4,0,1,0.0,0.0,0.0,3.0,2.0,0.0,,,,,,,,,,,
0,20152016,Kingston,OHL,1,35,7,49,59,49,42,3.0,1.0,0.0,21.0,152.0,4.6,,,,,,,,,,,
0,20152016,Canada,WJC-A,2,0,0,2,5,2,0,0.0,0.0,0.0,4.0,4.0,,,,,,,,,,,,
0,20152016,Kingston Frontenacs,OHL,9408,35,7,49,59,49,42,,,,21.0,,,,,,,,,,,,,
0,20152016,Canada U20,WJC-20,17216,0,0,2,5,2,0,,,,4.0,,,,,,,,,,,,,
0,20162017,Charlotte Checkers,AHL,2357,10,1,16,71,16,11,,,,-10.0,,,,,,,,,,,,,
0,20172018,Carolina Hurricanes,National Hockey League,1,3,0,19,10,19,3,0.0,0.0,0.0,3.0,7.0,0.0,134:06,3.0,0.0,00:00,133:56,0.0,0.0,0.0,00:10,5.0,181.0
0,20172018,Charlotte Checkers,AHL,2357,16,7,36,65,36,23,,,,34.0,,,,,,,,,,,,,
0,20182019,Charlotte Checkers,AHL,2357,21,4,56,70,56,25,,,,30.0,,,,,,,,,,,,,
0,20192020,Charlotte Checkers,AHL,2357,20,4,50,61,50,24,,,,4.0,,,,,,,,,,,,,
0,20202021,Skellefteå AIK,SHL,1019,5,4,16,24,16,9,,,,3.0,,,,,,,,,,,,,
0,20212022,Colorado Eagles,AHL,8957,17,3,49,61,49,20,,,,22.0,,,,,,,,,,,,,
