,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,shots,powerPlayGoals,gameWinningGoals,shortHandedGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20112012,Värmland 2,TV-Pucken,15216,2,2,0,8,0,-1.0,4,,,,,,,,,,,,,,,,
0,20112012,Färjestad BK U16,U16 SM,43127,1,1,0,6,0,1.0,2,,,,,,,,,,,,,,,,
0,20122013,Farjestad U18,Swe-U18,1,6,1,10,26,10,,7,,,,,,,,,,,,,,,,
0,20132014,Farjestad U18,Swe-U18,1,18,22,22,33,22,,40,,,,,,,,,,,,,,,,
0,20132014,Farjestad Jr.,Swe-Jr.,2,2,2,4,13,4,,4,,,,,,,,,,,,,,,,
0,20142015,Farjestad Jr.,Swe-Jr.,1,11,21,20,25,20,,32,,,,,,,,,,,,,,,,
0,20142015,Farjestad,Sweden,2,2,4,4,34,4,,6,,,,,,,,,,,,,,,,
0,20152016,Farjestad,Sweden,1,6,9,18,41,18,,15,,,,,,,,,,,,,,,,
0,20152016,Sweden,WJC-A,2,1,1,2,6,2,2.0,2,25.0,0.0,1.0,0.0,,,,,,,,,,,,
0,20152016,Färjestad BK,Champions HL,152,0,0,2,6,2,-3.0,0,,,,,,,,,,,,,,,,
0,20152016,Färjestad BK,SHL,839,6,9,18,41,18,7.0,15,,,,,,,,,,,,,,,,
0,20152016,Sweden U20,WJC-20,8596,1,1,2,6,2,2.0,2,,,,,,,,,,,,,,,,
0,20162017,Minnesota Wild,National Hockey League,1,4,3,4,15,4,1.0,7,15.0,0.0,1.0,0.0,159:11,23.0,0.0,01:28,155:15,41.28,20.0,0.0,0.0,02:28,8.0,244.0
0,20162017,Färjestad BK,Champions HL,152,0,0,2,2,2,-1.0,0,,,,,,,,,,,,,,,,
0,20162017,Färjestad BK,SHL,839,8,8,12,26,12,4.0,16,,,,,,,,,,,,,,,,
0,20162017,Sweden,WC,6815,2,1,4,10,4,5.0,3,,,,,,,,,,,,,,,,
0,20162017,Sweden U20,WJC-20,8596,3,6,4,7,4,8.0,9,,,,,,,,,,,,,,,,
0,20162017,Sweden,EHT,89816,2,1,4,6,4,-1.0,3,,,,,,,,,,,,,,,,
0,20162017,Iowa Wild,AHL,149087,0,1,0,1,0,-1.0,1,,,,,,,,,,,,,,,,
0,20172018,Minnesota Wild,National Hockey League,1,10,6,22,75,22,2.0,16,124.0,0.0,0.0,0.0,958:23,134.0,0.0,08:20,868:37,42.58,4.84,0.0,0.0,81:26,46.0,1271.0
0,20172018,Iowa Wild,AHL,149087,5,3,8,8,8,-1.0,8,,,,,,,,,,,,,,,,
0,20182019,Minnesota Wild,National Hockey League,1,7,7,20,58,20,-7.0,14,111.0,0.0,2.0,0.0,783:27,117.0,0.0,09:31,694:31,45.74,6.31,0.0,0.0,79:25,24.0,1076.0
0,20182019,Iowa Wild,AHL,149087,5,4,8,9,8,-3.0,9,,,,,,,,,,,,,,,,
0,20192020,Minnesota Wild,National Hockey League,1,21,8,22,62,22,7.0,29,102.0,1.0,4.0,0.0,974:28,93.0,1.0,04:36,846:21,46.16,7.8,0.0,1.0,123:31,43.0,1294.0
0,20202021,Minnesota Wild,National Hockey League,1,11,19,20,56,20,16.0,30,119.0,0.0,2.0,0.0,955:15,105.0,2.0,66:43,795:32,47.08,16.0,0.0,0.0,93:00,37.0,1164.0
0,20212022,Minnesota Wild,National Hockey League,1,23,26,28,77,28,16.0,49,223.0,12.0,3.0,0.0,1430:31,138.0,17.0,229:05,1036:03,47.58,11.7,2.0,0.0,165:23,44.0,1641.0
