,season,team,league,sequenceNumber,savePercentage,goalAgainstAverage,games
0,20132014,Blues U16,U16 SM-sarja,81233,1.0,0.0,1
0,20132014,Kiekko-Espoo U16 Ch,U16 SM-sarja,82093,0.877,,3
0,20142015,Blues U16,U16 SM-sarja,81233,0.916,,22
0,20152016,Kiekko-Espoo U18,U18 SM-sarja,25341,0.9,,3
0,20152016,Kiekko-Espoo U18 Akatemia,U18 SM-sarja,59451,0.928,,24
0,20162017,Kiekko-Espoo U18,U18 SM-sarja,25341,0.932,,36
0,20162017,Kiekko-Espoo U20 Ch,U20 Mestis,59299,0.875,,1
0,20172018,TUTO Hockey U20,U20 SM-sarja,21450,0.922,2.69,48
0,20182019,Univ. of Massachusetts,NCAA,11300,0.934,1.6,17
0,20182019,Finland U20,WJC-20,17116,1.0,0.0,1
0,20192020,Univ. of Massachusetts,NCAA,11300,0.927,1.91,18
0,20202021,Univ. of Massachusetts,NCAA,11300,0.949,1.24,15
0,20212022,Wilkes-Barre/Scranton Penguins,AHL,1077,0.915,2.76,7
