,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points
0,20152016,HC Prerov U16,Czechia U16,85250,1,0,2,2,2,-2.0,1
0,20162017,HC Prerov U18,Czechia U18 2,47275,0,0,10,5,10,-1.0,0
0,20162017,HC Prerov U16,Czechia U16,85250,13,3,42,34,42,16.0,16
0,20162017,Olomoucky kraj U15,MMCR,259296,4,0,8,5,8,-1.0,4
0,20172018,HC Zubr Prerov U18,Czechia U18 2,47275,4,1,8,6,8,7.0,5
0,20172018,HC Zubr Prerov U16,Czechia U16,85250,26,9,70,23,70,34.0,35
0,20172018,Olomoucky kraj U15,ODM,259415,5,1,0,7,0,,6
0,20182019,HC Kometa Brno U16,Czechia U16,84980,16,13,42,17,42,41.0,29
0,20192020,HC Kometa Brno,Czechia,13876,3,2,8,41,8,-1.0,5
0,20192020,HC Kometa Brno U20,DHL Cup,35242,5,1,2,10,2,-6.0,6
0,20192020,Czechia U17,WHC-17,61320,4,0,4,6,4,,4
0,20192020,Czechia U18,Hlinka Gretzky Cup,158320,0,0,6,4,6,1.0,0
0,20192020,HC Kometa Brno U17,Czechia U17,248232,7,1,0,3,0,10.0,8
0,20202021,HC Kometa Brno,Czechia,13876,2,1,8,30,8,-6.0,3
0,20202021,HC Zubr Prerov,Czechia2,15420,1,1,2,3,2,1.0,2
0,20202021,Czechia U18,WJC-18,17013,1,0,6,5,6,-3.0,1
0,20202021,Czechia U20,WJC-20,17046,1,0,16,5,16,-1.0,1
0,20202021,Czechia,EHT,68526,0,0,0,1,0,-1.0,0
0,20212022,Regina Pats,WHL,9641,31,10,23,59,23,-14.0,41
0,20212022,Czechia U20,WJC-20,17046,2,1,29,6,29,0.0,3
