,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,faceOffPct,points,powerPlayGoals,shortHandedGoals,plusMinus,gameWinningGoals,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20062007,Miss. Reps,GTHL,1,42,21,166,60,166,0.0,63,,,,,,,,,,,,,,,,
0,20072008,Guelph,OHL,1,0,0,14,31,14,,0,0.0,0.0,-3.0,,,,,,,,,,,,,
0,20082009,Guelph,OHL,1,10,2,111,67,111,,12,0.0,0.0,11.0,,,,,,,,,,,,,
0,20092010,Guelph,OHL,1,9,4,106,41,106,,13,0.0,0.0,6.0,,,,,,,,,,,,,
0,20092010,Sudbury,OHL,2,4,4,61,26,61,,8,1.0,0.0,-13.0,,,,,,,,,,,,,
0,20092010,Chicago,AHL,3,0,0,4,1,4,,0,0.0,0.0,-1.0,0.0,,,,,,,,,,,,
0,20102011,Sudbury,OHL,1,8,5,62,25,62,,13,2.0,1.0,-5.0,,,,,,,,,,,,,
0,20102011,Saginaw,OHL,2,19,5,51,39,51,,24,2.0,0.0,11.0,,,,,,,,,,,,,
0,20112012,St. John's,AHL,1,1,1,19,18,19,,2,0.0,0.0,-6.0,0.0,15.0,6.67,,,,,,,,,,
0,20112012,Colorado,ECHL,2,7,6,13,24,13,,13,0.0,0.0,-1.0,,,,,,,,,,,,,
0,20122013,St. John's,AHL,1,11,1,81,61,81,,12,0.0,0.0,-5.0,1.0,64.0,1.56,,,,,,,,,,
0,20132014,Winnipeg Jets,National Hockey League,1,0,0,0,1,0,0.0,0,0.0,0.0,-3.0,0.0,0.0,0.0,10:47,3.0,0.0,00:00,10:47,0.0,0.0,00:00,0.0,15.0
0,20132014,St. John's,AHL,2,14,6,96,65,96,,20,0.0,0.0,29.0,1.0,93.0,6.5,,,,,,,,,,
0,20142015,Winnipeg Jets,National Hockey League,1,6,2,22,40,22,0.0,8,0.0,0.0,5.0,0.0,37.0,5.41,680:55,70.0,0.0,02:02,645:41,0.0,0.0,33:12,51.0,869.0
0,20142015,St. John's,AHL,2,5,4,21,24,21,,9,3.0,0.0,0.0,0.0,64.0,6.3,,,,,,,,,,
0,20152016,Winnipeg Jets,National Hockey League,1,9,1,43,70,43,0.0,10,0.0,0.0,-9.0,0.0,74.0,1.35,1012:03,130.0,0.0,03:37,954:21,0.0,0.0,54:05,105.0,1259.0
0,20162017,Winnipeg Jets,National Hockey League,1,10,2,33,59,33,0.0,12,0.0,0.0,2.0,0.0,49.0,4.08,903:57,78.0,0.0,01:41,785:51,0.0,0.0,116:25,94.0,1166.0
0,20172018,Winnipeg Jets,National Hockey League,1,12,2,32,57,32,0.0,14,0.0,0.0,15.0,0.0,57.0,3.51,870:44,105.0,0.0,03:00,792:23,0.0,0.0,75:21,75.0,1058.0
0,20182019,Winnipeg Jets,National Hockey League,1,15,5,62,78,62,0.0,20,0.0,0.0,6.0,1.0,111.0,4.5,1452:04,171.0,0.0,02:07,1314:15,0.0,1.0,135:42,139.0,1629.0
0,20192020,Montréal Canadiens,National Hockey League,1,12,9,61,69,61,0.0,21,0.0,0.0,5.0,3.0,130.0,6.9,1596:13,152.0,0.0,18:36,1367:13,2.0,0.0,210:24,128.0,1740.0
0,20202021,Montréal Canadiens,National Hockey League,1,6,1,50,41,50,0.0,7,1.0,0.0,-16.0,0.0,81.0,1.2,893:17,77.0,1.0,09:51,771:35,0.0,0.0,111:51,60.0,998.0
0,20212022,Montréal Canadiens,National Hockey League,1,11,7,42,54,42,0.0,18,1.0,0.0,-18.0,1.0,96.0,7.3,1272:28,110.0,2.0,71:29,1029:01,1.0,1.0,171:58,91.0,1381.0
0,20212022,Florida Panthers,National Hockey League,2,6,2,6,20,6,0.0,8,1.0,0.0,4.0,0.0,47.0,4.3,418:41,47.0,1.0,01:08,370:05,0.0,0.0,47:28,39.0,531.0
