,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,faceOffPct,powerPlayGoals,shortHandedGoals,gameWinningGoals,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20032004,Toronto Marlboros Bantam AAA,GTBHL,138915,92,95,76.0,90,76,0.0,187,,,,,,,,,,,,,,,,
0,20042005,Tor. Marlboros,GTHL,1,67,91,,72,,,158,0.0,,,,,,,,,,,,,,,
0,20042005,Milton,OPJHL,2,15,13,10.0,20,10,,28,0.0,,,,,,,,,,,,,,,
0,20052006,Oshawa,OHL,1,32,45,72.0,65,72,-13.0,77,0.0,12.0,4.0,,,,,,,,,,,,,
0,20062007,Oshawa,OHL,1,62,72,60.0,67,60,25.0,134,0.0,34.0,6.0,,,,,,,,,,,,,
0,20062007,Canada,WJ18-A,2,3,2,4.0,7,4,4.0,5,,1.0,0.0,1.0,,,,,,,,,,,,
0,20072008,Oshawa,OHL,1,78,40,69.0,59,69,22.0,118,,14.0,4.0,,,,,,,,,,,,,
0,20072008,Canada,WJC-A,2,1,4,2.0,7,2,,5,0.0,,,,,,,,,,,,,,,
0,20082009,Oshawa,OHL,1,28,26,32.0,32,32,5.0,54,,9.0,5.0,,,,,,,,,,,,,
0,20082009,London,OHL,2,18,32,22.0,24,22,5.0,50,,12.0,1.0,,,,,,,,,,,,,
0,20082009,Canada,WJC-A,3,7,8,0.0,6,0,,15,0.0,,,,,,,,,,,,,,,
0,20092010,New York Islanders,National Hockey League,1,30,24,22.0,82,22,-15.0,54,47.48,11.0,0.0,2.0,1476:34,186.0,42.0,25.0,339:20,1133:02,12.9,0.0,0.0,04:12,28.0,1706.0
0,20092010,Canada,WC-A,5,0,7,6.0,7,6,,7,0.0,,,,,,,,,,,,,,,
0,20102011,New York Islanders,National Hockey League,1,38,29,53.0,79,53,-16.0,67,52.54,9.0,0.0,4.0,1520:45,243.0,22.0,24.0,276:35,1230:53,11.93,3.0,0.0,13:17,23.0,1715.0
0,20102011,Canada,WC-A,2,4,5,12.0,7,12,6.0,9,,0.0,0.0,0.0,,,,,,,,,,,,
0,20112012,New York Islanders,National Hockey League,1,50,31,26.0,82,26,-6.0,81,51.32,7.0,0.0,8.0,1686:36,286.0,27.0,25.0,260:08,1418:37,10.84,1.0,0.0,07:51,23.0,1777.0
0,20112012,Canada,WC-A,2,5,4,12.0,8,12,4.0,9,,0.0,0.0,0.0,,,,,,,,,,,,
0,20122013,New York Islanders,National Hockey League,1,19,28,18.0,48,18,-2.0,47,49.35,9.0,0.0,5.0,997:11,162.0,33.0,16.0,164:05,826:40,17.28,0.0,0.0,06:26,22.0,1072.0
0,20122013,Bern,Swiss,2,25,17,28.0,28,28,,42,,,,,,,,,,,,,,,,
0,20132014,New York Islanders,National Hockey League,1,42,24,40.0,59,40,-6.0,66,49.07,8.0,0.0,4.0,1253:16,188.0,23.0,25.0,241:10,1001:47,12.77,0.0,0.0,10:19,19.0,1318.0
0,20132014,Canada,Olympics,2,0,0,0.0,4,0,3.0,0,,0.0,0.0,0.0,,6.0,,,,,,,,,,
0,20142015,New York Islanders,National Hockey League,1,48,38,46.0,82,46,5.0,86,52.22,13.0,0.0,8.0,1695:12,278.0,48.0,31.0,303:38,1388:52,13.67,4.0,1.0,02:42,37.0,1851.0
0,20152016,New York Islanders,National Hockey League,1,37,33,38.0,78,38,6.0,70,54.09,7.0,0.0,5.0,1559:34,250.0,51.0,19.0,246:02,1310:03,13.2,0.0,0.0,03:29,29.0,1744.0
0,20162017,New York Islanders,National Hockey League,1,38,28,38.0,77,38,4.0,66,50.61,7.0,1.0,3.0,1572:15,260.0,42.0,18.0,246:00,1252:41,10.77,1.0,2.0,73:34,20.0,1906.0
0,20162017,Canada,WCup,17216,3,1,0.0,6,0,2.0,4,,,,,,,,,,,,,,,,
0,20172018,New York Islanders,National Hockey League,1,47,37,26.0,82,26,-12.0,84,52.9,12.0,2.0,3.0,1633:52,257.0,30.0,30.0,259:24,1246:35,14.4,2.0,3.0,127:53,34.0,1895.0
0,20182019,Toronto Maple Leafs,National Hockey League,1,41,47,34.0,82,34,19.0,88,54.45,10.0,0.0,8.0,1565:19,286.0,59.0,19.0,212:44,1336:22,16.43,1.0,0.0,16:13,53.0,1969.0
0,20192020,Toronto Maple Leafs,National Hockey League,1,34,26,24.0,63,24,-7.0,60,55.29,7.0,0.0,4.0,1231:37,197.0,32.0,21.0,189:40,1040:53,13.2,3.0,0.0,01:04,31.0,1388.0
0,20202021,Toronto Maple Leafs,National Hockey League,1,31,19,14.0,56,14,12.0,50,55.28,6.0,0.0,2.0,1019:02,163.0,51.0,12.0,145:39,871:20,11.7,0.0,0.0,02:03,28.0,1189.0
0,20212022,Toronto Maple Leafs,National Hockey League,1,49,27,32.0,79,32,-8.0,76,60.58,10.0,0.0,3.0,1427:51,237.0,90.0,26.0,236:44,1189:44,11.4,0.0,0.0,01:23,44.0,1672.0
