,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,powerPlayGoals,shortHandedGoals,shots,shotPct,gameWinningGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20122013,Eastman Selects Midget AAA,MMHL,54493,13,11,16,30,16,0.0,24,,,,,,,,,,,,,,,,
0,20132014,Eastman,MMHL,1,34,24,38,38,38,,58,,,,,,,,,,,,,,,,
0,20132014,Moose Jaw,WHL,2,0,1,2,5,2,0.0,1,1.0,0.0,,,,,,,,,,,,,,
0,20142015,Moose Jaw,WHL,1,24,22,24,68,24,-31.0,46,7.0,0.0,5.0,440.0,4.0,,,,,,,,,,,
0,20152016,Moose Jaw,WHL,1,40,24,61,68,61,-7.0,64,8.0,0.0,,,,,,,,,,,,,,
0,20152016,Canada,WJ18-A,2,3,5,8,6,8,2.0,8,1.0,0.0,11.0,,1.0,,,,,,,,,,,
0,20152016,Moose Jaw Warriors,WHL,7741,40,24,61,68,61,-7.0,64,,,,,,,,,,,,,,,,
0,20152016,Canada U18,WJC-18,17193,3,5,8,6,8,2.0,8,,,,,,,,,,,,,,,,
0,20152016,Canada U18,Hlinka Gretzky Cup,144760,1,0,4,4,4,0.0,1,,,,,,,,,,,,,,,,
0,20152016,Team Red,U18-Dev,178681,2,1,2,3,2,,3,,,,,,,,,,,,,,,,
0,20162017,Syracuse Crunch,AHL,1057,1,3,2,5,2,1.0,4,,,,,,,,,,,,,,,,
0,20162017,Moose Jaw Warriors,WHL,7741,43,38,73,58,73,14.0,81,,,,,,,,,,,,,,,,
0,20172018,Moose Jaw Warriors,WHL,7741,51,24,42,49,42,28.0,75,,,,,,,,,,,,,,,,
0,20172018,Canada U20,WJC-20,17216,4,3,4,7,4,9.0,7,,,,,,,,,,,,,,,,
0,20182019,New York Rangers,National Hockey League,1,17,6,14,66,14,-16.0,23,0.0,0.0,74.0,8.11,1.0,985:57,64.0,2.0,90:19,812:51,48.42,0.0,0.0,82:47,47.0,1322.0
0,20192020,New York Rangers,National Hockey League,1,10,9,28,70,28,-11.0,19,1.0,0.0,64.0,14.1,2.0,919:59,69.0,2.0,20:17,759:03,48.18,0.0,2.0,140:39,67.0,1331.0
0,20202021,New York Rangers,National Hockey League,1,6,1,11,42,11,-2.0,7,0.0,0.0,33.0,3.0,0.0,527:30,57.0,0.0,09:30,432:53,46.64,0.0,1.0,85:07,35.0,766.0
0,20212022,Vegas Golden Knights,National Hockey League,1,11,9,12,47,12,9.0,20,0.0,0.0,39.0,23.1,2.0,500:49,62.0,0.0,01:40,478:49,48.11,0.0,2.0,20:20,36.0,725.0
