,season,team,league,sequenceNumber,assists,goals,pim,shots,games,powerPlayGoals,penaltyMinutes,shotPct,gameWinningGoals,shortHandedGoals,plusMinus,points,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20082009,Sioux Falls,USHL,1,11,0,30,30.0,55,0.0,30,0.0,0.0,0.0,12.0,11,,,,,,,,,,,
0,20092010,Sioux Falls,USHL,1,17,5,55,78.0,59,2.0,55,6.41,0.0,1.0,20.0,22,,,,,,,,,,,
0,20102011,U. Mass-Lowell,H-East,1,13,2,10,,32,2.0,10,,0.0,0.0,,15,,,,,,,,,,,
0,20112012,U. Mass-Lowell,H-East,1,19,6,26,,37,2.0,26,,1.0,0.0,,25,,,,,,,,,,,
0,20122013,Buffalo Sabres,National Hockey League,1,0,0,0,8.0,7,0.0,0,0.0,0.0,0.0,0.0,0,99:23,7.0,0.0,00:02,98:12,0.0,0.0,0.0,01:09,8.0,130.0
0,20122013,U. Mass-Lowell,H-East,2,16,7,20,,41,3.0,20,,2.0,1.0,,23,,,,,,,,,,,
0,20132014,Buffalo Sabres,National Hockey League,1,1,0,2,35.0,21,0.0,2,0.0,0.0,0.0,-3.0,1,375:27,20.0,1.0,17:02,333:42,0.0,0.0,0.0,24:43,29.0,485.0
0,20132014,Rochester,AHL,2,24,4,22,77.0,47,3.0,22,5.2,1.0,0.0,-1.0,28,,,,,,,,,,,
0,20142015,Buffalo Sabres,National Hockey League,1,1,0,0,4.0,4,0.0,0,0.0,0.0,0.0,3.0,1,49:51,6.0,0.0,00:43,49:08,0.0,0.0,0.0,00:00,2.0,66.0
0,20142015,Rochester,AHL,2,26,10,22,167.0,72,8.0,22,6.0,3.0,0.0,-6.0,36,,,,,,,,,,,
0,20152016,Buffalo Sabres,National Hockey League,1,0,0,2,1.0,1,0.0,2,0.0,0.0,0.0,0.0,0,15:30,3.0,0.0,02:01,13:29,0.0,0.0,0.0,00:00,2.0,23.0
0,20152016,Rochester,AHL,2,16,10,26,144.0,59,5.0,26,6.9,2.0,0.0,-19.0,26,,,,,,,,,,,
0,20152016,Rochester Americans,AHL,1047,16,10,26,,59,,26,,,,-19.0,26,,,,,,,,,,,
0,20162017,Pittsburgh Penguins,National Hockey League,1,8,2,8,45.0,34,0.0,8,4.44,0.0,0.0,9.0,10,589:26,36.0,3.0,32:07,518:51,0.0,0.0,0.0,38:28,26.0,806.0
0,20162017,Wilkes-Barre/Scranton Penguins,AHL,1077,12,4,12,,28,,12,,,,0.0,16,,,,,,,,,,,
0,20172018,Pittsburgh Penguins,National Hockey League,1,3,2,16,67.0,44,0.0,16,2.99,0.0,0.0,-8.0,5,691:56,67.0,0.0,06:29,660:57,0.0,0.0,0.0,24:30,43.0,955.0
0,20182019,Pittsburgh Penguins,National Hockey League,1,1,1,4,22.0,18,0.0,4,4.55,1.0,0.0,-9.0,2,292:58,40.0,0.0,01:34,268:19,0.0,0.0,0.0,23:05,16.0,401.0
0,20182019,Wilkes-Barre/Scranton Penguins,AHL,1077,4,1,2,,5,,2,,,,8.0,5,,,,,,,,,,,
0,20192020,Pittsburgh Penguins,National Hockey League,1,4,2,12,44.0,41,0.0,12,4.5,0.0,0.0,4.0,6,605:32,74.0,0.0,01:14,551:56,0.0,0.0,0.0,52:22,25.0,880.0
0,20202021,Pittsburgh Penguins,National Hockey League,1,2,0,14,16.0,17,0.0,14,0.0,0.0,0.0,3.0,2,249:47,32.0,0.0,00:30,219:12,0.0,0.0,0.0,30:05,13.0,352.0
0,20212022,Pittsburgh Penguins,National Hockey League,1,9,4,14,82.0,78,0.0,14,4.9,0.0,0.0,2.0,13,1195:47,149.0,0.0,00:22,1058:09,0.0,0.0,0.0,137:16,86.0,1596.0
