,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20102011,Tappara U16,U16 SM-sarja,80793,10,3,2,20,2,13,
0,20112012,Tappara U16,U16 SM-sarja,80793,47,22,44,26,44,69,
0,20122013,Tappara U20,U20 SM-sarja,18680,1,0,4,7,4,1,-4.0
0,20122013,Tappara U18,U18 SM-sarja,25881,42,30,30,43,30,72,
0,20132014,Tappara U20,U20 SM-sarja,18680,17,8,10,37,10,25,7.0
0,20142015,Tappara U20,U20 SM-sarja,18680,25,17,46,47,46,42,0.0
0,20152016,LeKi,Mestis,7347,1,0,0,9,0,1,-2.0
0,20152016,Tappara U20,U20 SM-sarja,18680,31,18,54,41,54,49,12.0
0,20162017,Tappara,Liiga,959,0,0,0,13,0,0,-1.0
0,20162017,LeKi,Mestis,7347,17,11,35,35,35,28,-3.0
0,20162017,Tappara U20,U20 SM-sarja,18680,5,0,0,3,0,5,1.0
0,20172018,Tappara,Champions HL,582,0,0,0,4,0,0,1.0
0,20172018,Tappara,Liiga,959,1,0,4,17,4,1,0.0
0,20172018,LeKi,Mestis,7347,15,9,14,27,14,24,9.0
0,20172018,LeKi,Suomen Cup,7683,0,0,0,1,0,0,
0,20182019,Tappara,Champions HL,582,3,1,2,8,2,4,3.0
0,20182019,Tappara,Liiga,959,19,4,18,59,18,23,12.0
0,20192020,Tappara,Champions HL,582,3,1,8,8,8,4,3.0
0,20192020,Tappara,Liiga,959,33,13,20,59,20,46,14.0
0,20202021,Tappara,Liiga,959,29,16,20,49,20,45,9.0
0,20212022,Tappara,Champions HL,582,7,3,2,12,2,10,-2.0
0,20212022,Tappara,Liiga,959,35,26,46,55,46,61,23.0
0,20212022,Finland,EHT,68516,1,1,0,2,0,2,3.0
