,season,team,league,sequenceNumber,savePercentage,goalAgainstAverage,games,timeOnIce,shutouts,ties,wins,losses,goalsAgainst,saves,shotsAgainst,ot,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
0,20102011,Team Michigan,USHS-MI,107477,0.878,3.29,3,,,,,,,,,,,,,,,,,,,
0,20112012,Odessa,NAHL,1,,2.49,53,3085:00,3.0,5.0,26.0,21.0,128.0,,,,,,,,,,,,,
0,20122013,U. Mass-Lowell,H-East,1,,1.37,24,1397:00,6.0,0.0,20.0,3.0,32.0,,,,,,,,,,,,,
0,20132014,U. Mass-Lowell,H-East,1,,1.79,29,1748:00,6.0,2.0,18.0,9.0,52.0,,,,,,,,,,,,,
0,20142015,St. John's,AHL,1,0.921,2.58,58,3332:00,6.0,5.0,28.0,22.0,143.0,1666.0,1809.0,,,,,,,,,,,
0,20142015,USA,WC,17215,0.948,1.37,8,,,,,,,,,,,,,,,,,,,
0,20142015,St. John's IceCaps,AHL,99687,0.921,2.58,58,,,,,,,,,,,,,,,,,,,
0,20152016,Winnipeg Jets,National Hockey League,1,0.918009,2.343968,26,1433:28,2.0,,13.0,11.0,56.0,627.0,683.0,1.0,95.0,8.0,524.0,9.0,559.0,115.0,26.0,82.6086956521739,88.88888888888889,93.73881932021467
0,20152016,Manitoba Moose,AHL,877,0.922,2.49,30,,,,,,,,,,,,,,,,,,,
0,20162017,Winnipeg Jets,National Hockey League,1,0.907125,2.887738,56,3033:31,4.0,,26.0,19.0,146.0,1426.0,1572.0,4.0,231.0,40.0,1155.0,44.0,1259.0,269.0,53.0,85.87360594795538,90.9090909090909,91.73947577442415
0,20162017,USA,WC,17215,0.922,2.5,2,,,,,,,,,,,,,,,,,,,
0,20172018,Winnipeg Jets,National Hockey League,1,0.923828,2.36012,67,3965:54,6.0,0.0,44.0,11.0,156.0,1892.0,2048.0,9.0,347.0,60.0,1485.0,64.0,1599.0,385.0,64.0,90.12987012987013,93.75,92.87054409005628
0,20182019,Winnipeg Jets,National Hockey League,1,0.912725,2.89949,63,3704:06,2.0,0.0,34.0,23.0,179.0,1872.0,2051.0,3.0,274.0,57.0,1541.0,62.0,1675.0,314.0,62.0,87.26114649681529,91.93548387096774,92.0
0,20192020,Winnipeg Jets,National Hockey League,1,0.922,2.5699,58,3268:33,6.0,0.0,31.0,21.0,140.0,1656.0,1796.0,5.0,189.0,49.0,1418.0,50.0,1530.0,216.0,56.0,87.5,98.0,92.6797385620915
0,20202021,Winnipeg Jets,National Hockey League,1,0.916,2.5818,45,2602:49,4.0,0.0,24.0,17.0,112.0,1223.0,1335.0,3.0,169.0,44.0,1010.0,45.0,1098.0,192.0,45.0,88.02083333333334,97.77777777777777,91.98542805100182
0,20212022,Winnipeg Jets,National Hockey League,1,0.91,2.96657,66,3903:30,4.0,0.0,29.0,27.0,193.0,1962.0,2155.0,10.0,271.0,67.0,1624.0,72.0,1768.0,315.0,66.0,86.03174603174604,93.05555555555556,91.8552036199095
