,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,shortHandedGoals,plusMinus,gameWinningGoals,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20102011,Colorado Thunderbirds 14U AAA,14U AAA,131868,9,13,12,29,12,22,,,,,,,,,,,,,,,,,
0,20112012,Col. T-birds U16,T1EHL,1,11,6,20,40,20,17,,,,,,,,,,,,,,,,,
0,20122013,Col. T-birds U16,T1EHL,1,37,10,58,41,58,47,,,,,,,,,,,,,,,,,
0,20132014,Tri-City,WHL,1,10,3,66,71,66,13,0.0,0.0,-13.0,,,,,,,,,,,,,,
0,20142015,Tri-City,WHL,1,21,4,90,63,90,25,1.0,0.0,-15.0,1.0,,,,,,,,,,,,,
0,20142015,U.S.A.,WJC-A,2,1,0,0,5,0,1,0.0,0.0,1.0,0.0,4.0,,,,,,,,,,,,
0,20152016,Tri-City,WHL,1,23,4,94,52,94,27,0.0,0.0,8.0,,,,,,,,,,,,,,
0,20152016,U.S.A.,WJC-A,2,2,2,4,7,4,4,0.0,0.0,9.0,0.0,9.0,,,,,,,,,,,,
0,20152016,Providence,AHL,3,1,0,0,7,0,1,0.0,0.0,3.0,0.0,5.0,0.0,,,,,,,,,,,
0,20152016,Providence Bruins,AHL,897,1,0,0,7,0,1,,,3.0,,,,,,,,,,,,,,
0,20152016,Tri-City Americans,WHL,9481,22,5,94,52,94,27,,,8.0,,,,,,,,,,,,,,
0,20152016,USA U20,WJC-20,17276,2,2,4,7,4,4,,,9.0,,,,,,,,,,,,,,
0,20162017,Boston Bruins,National Hockey League,1,10,6,59,82,59,16,0.0,1.0,9.0,0.0,88.0,6.82,1706:54,87.0,0.0,07:14,1485:09,0.0,0.0,1.0,214:31,115.0,2080.0
0,20172018,Boston Bruins,National Hockey League,1,6,0,45,76,45,6,0.0,0.0,10.0,0.0,76.0,0.0,1462:01,89.0,0.0,03:41,1247:10,100.0,0.0,1.0,211:10,84.0,1857.0
0,20182019,Boston Bruins,National Hockey League,1,8,2,47,72,47,10,0.0,0.0,22.0,0.0,116.0,1.72,1506:26,134.0,0.0,04:02,1302:27,100.0,0.0,2.0,199:57,88.0,1840.0
0,20192020,Boston Bruins,National Hockey League,1,15,4,33,67,33,19,0.0,0.0,16.0,0.0,111.0,3.6,1371:59,126.0,0.0,03:28,1160:09,0.0,0.0,0.0,208:22,76.0,1742.0
0,20202021,Boston Bruins,National Hockey League,1,1,3,12,27,12,4,0.0,0.0,1.0,1.0,43.0,7.0,505:09,38.0,0.0,00:55,429:17,0.0,0.0,0.0,74:57,35.0,656.0
0,20212022,Boston Bruins,National Hockey League,1,9,6,31,79,31,15,0.0,1.0,2.0,0.0,125.0,4.8,1556:43,143.0,1.0,04:50,1335:54,0.0,0.0,1.0,215:59,104.0,2049.0
