,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals
0,20112012,Boston Advantage Bantam AAA,Bantam,162505,4,0,0.0,5,0,0.0,4,,,,,
0,20122013,Bos. College High,High-MA,1,9,3,,23,,,12,,,,,
0,20132014,Cape Cod U16,Minor-MA,1,7,1,4.0,12,4,,8,,,,,
0,20132014,Bos. College High,High-MA,2,16,5,,19,,,21,,,,,
0,20142015,Cape Cod U18,Minor-MA,1,6,3,0.0,14,0,,9,,,,,
0,20142015,Bos. College High,High-MA,2,29,6,,22,,,35,,,,,
0,20142015,Youngstown,USHL,3,0,0,0.0,2,0,-2.0,0,1.0,0.0,0.0,0.0,0.0
0,20152016,Youngstown,USHL,1,5,2,32.0,28,32,0.0,7,,,,,
0,20152016,Youngstown Phantoms,USHL,27206,5,2,32.0,28,32,0.0,7,,,,,
0,20162017,Northeastern Univ.,NCAA,15210,13,1,8.0,38,8,13.0,14,,,,,
0,20172018,Northeastern Univ.,NCAA,15210,16,1,24.0,38,24,19.0,17,,,,,
0,20182019,Northeastern Univ.,NCAA,15210,13,3,12.0,39,12,23.0,16,,,,,
0,20192020,Northeastern Univ.,NCAA,15210,26,5,10.0,34,10,0.0,31,,,,,
0,20202021,USA,WC,17215,1,0,0.0,3,0,2.0,1,,,,,
0,20202021,Texas Stars,AHL,45177,6,0,10.0,27,10,-13.0,6,,,,,
0,20212022,Texas Stars,AHL,45177,29,3,23.0,66,23,-4.0,32,,,,,
