,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20102011,Colorado Thunderbirds 14U AAA,14U AAA,131868,16,19,24,24,24,35,,,,,,,,,,,,,,,,,
0,20112012,Colorado Thunderbirds  U16,T1EHL U16,96518,18,10,26,36,26,28,0.0,,,,,,,,,,,,,,,,
0,20122013,Fargo Force,USHL,11938,0,0,0,4,0,0,-2.0,,,,,,,,,,,,,,,,
0,20132014,Fargo,USHL,1,16,14,64,58,64,30,-16.0,138.0,6.0,10.1,1.0,0.0,,,,,,,,,,,
0,20142015,Fargo,USHL,1,19,17,46,46,46,36,3.0,133.0,4.0,12.8,1.0,0.0,,,,,,,,,,,
0,20142015,Sioux Falls,USHL,2,8,5,16,14,16,13,3.0,47.0,0.0,10.6,2.0,0.0,,,,,,,,,,,
0,20152016,St. Cloud State,NCHC,1,19,14,20,40,20,33,14.0,102.0,5.0,13.7,2.0,0.0,,,,,,,,,,,
0,20152016,St. Cloud State Univ.,NCAA,8290,19,14,20,40,20,33,14.0,,,,,,,,,,,,,,,,
0,20162017,St. Cloud State Univ.,NCAA,8290,16,14,20,36,20,30,-8.0,,,,,,,,,,,,,,,,
0,20172018,St. Cloud State Univ.,NCAA,8290,22,17,30,39,30,39,12.0,,,,,,,,,,,,,,,,
0,20172018,Ontario Reign,AHL,26957,1,0,0,3,0,1,1.0,,,,,,,,,,,,,,,,
0,20182019,Ontario Reign,AHL,26957,10,10,47,63,47,20,-11.0,,,,,,,,,,,,,,,,
0,20192020,Ontario Reign,AHL,26957,16,12,70,56,70,28,0.0,,,,,,,,,,,,,,,,
0,20202021,Ontario Reign,AHL,26957,8,9,49,40,49,17,-7.0,,,,,,,,,,,,,,,,
0,20212022,Winnipeg Jets,National Hockey League,1,0,0,0,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,05:49,0.0,0.0,00:00,05:49,0.0,0.0,0.0,00:00,0.0,12.0
0,20212022,Manitoba Moose,AHL,877,24,18,90,58,90,42,15.0,,,,,,,,,,,,,,,,
