,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20082009,Jokerit U16,Jr. C SM-sarja Q,10153658,6,4,2,8,2,0.0,10,,,,,,,,,,,,,,,,
0,20092010,Jokerit U18,Fin-U18,1,14,16,6,29,6,,30,,,,,,,,,,,,,,,,
0,20102011,Jokerit U18,Fin-U18,1,3,1,2,4,2,,4,,,,,,,,,,,,,,,,
0,20102011,Jokerit Jr.,Fin-Jr.,2,17,3,8,26,8,,20,,,,,,,,,,,,,,,,
0,20112012,Jokerit Jr.,Fin-Jr.,1,8,12,4,11,4,,20,,,,,,,,,,,,,,,,
0,20112012,K-Vantaa,Finland-2,2,2,1,0,3,0,,3,,,,,,,,,,,,,,,,
0,20112012,Jokerit,Finland,3,7,11,6,40,6,,18,,,,,,,,,,,,,,,,
0,20112012,Finland,WJ18-A,4,6,2,2,6,2,2.0,8,0.0,0.0,0.0,,,,,,,,,,,,,
0,20122013,K-Vantaa,Finland-2,1,1,0,0,1,0,,1,,,,,,,,,,,,,,,,
0,20122013,Jokerit,Finland,2,18,13,6,44,6,,31,,,,,,,,,,,,,,,,
0,20122013,Finland,WJC-A,3,6,5,2,6,2,6.0,11,3.0,0.0,0.0,,,,,,,,,,,,,
0,20132014,Chicago Blackhawks,National Hockey League,1,0,0,0,3,0,0.0,0,0.0,0.0,0.0,42:17,4.0,1.0,0.0,04:58,37:19,52.0,0.0,0.0,0.0,00:00,0.0,56.0
0,20132014,Finland,WJC-A,2,13,2,2,7,2,11.0,15,0.0,0.0,0.0,,21.0,,,,,,,,,,,
0,20132014,Jokerit,Finland,3,35,9,12,49,12,,44,,,,,,,,,,,,,,,,
0,20132014,Rockford,AHL,4,0,2,2,5,2,2.0,2,1.0,0.0,0.0,,6.0,,,,,,33.3,,,,,
0,20142015,Chicago Blackhawks,National Hockey League,1,5,4,2,34,2,4.0,9,0.0,1.0,0.0,434:40,66.0,11.0,1.0,25:42,408:08,46.77,6.06,0.0,0.0,00:50,14.0,607.0
0,20142015,Rockford,AHL,2,19,6,6,39,6,-6.0,25,2.0,0.0,1.0,,98.0,,,,,,6.1,,,,,
0,20152016,Chicago Blackhawks,National Hockey League,1,22,13,20,78,20,-2.0,35,2.0,3.0,0.0,1196:54,136.0,24.0,9.0,137:04,999:06,40.45,9.56,0.0,1.0,60:44,31.0,1668.0
0,20162017,Carolina Hurricanes,National Hockey League,1,27,15,16,81,16,-6.0,42,5.0,2.0,0.0,1315:27,169.0,27.0,15.0,181:06,1133:04,46.73,8.88,1.0,0.0,01:17,33.0,1710.0
0,20162017,Finland,WCup,17116,0,0,0,2,0,-1.0,0,,,,,,,,,,,,,,,,
0,20172018,Carolina Hurricanes,National Hockey League,1,41,23,14,82,14,8.0,64,5.0,3.0,0.0,1384:45,185.0,26.0,20.0,219:17,1164:32,30.61,12.43,0.0,0.0,00:56,22.0,1791.0
0,20172018,Finland,WC,17055,9,5,8,8,8,14.0,14,,,,,,,,,,,,,,,,
0,20172018,Finland,EHT,68516,1,0,0,1,0,1.0,1,,,,,,,,,,,,,,,,
0,20182019,Carolina Hurricanes,National Hockey League,1,55,21,12,82,12,30.0,76,8.0,1.0,1.0,1469:13,167.0,35.0,24.0,223:43,1172:28,41.86,12.57,1.0,5.0,73:02,23.0,1898.0
0,20192020,Carolina Hurricanes,National Hockey League,1,48,15,8,68,8,20.0,63,4.0,1.0,1.0,1305:08,182.0,18.0,21.0,204:28,980:03,49.06,8.2,0.0,4.0,120:37,30.0,1577.0
0,20202021,Carolina Hurricanes,National Hockey League,1,10,5,4,21,4,5.0,15,0.0,2.0,0.0,345:16,49.0,8.0,2.0,36:00,288:07,65.0,10.2,0.0,0.0,21:09,9.0,451.0
0,20212022,Carolina Hurricanes,National Hockey League,1,43,22,24,77,24,22.0,65,9.0,2.0,2.0,1362:52,202.0,15.0,31.0,226:33,1013:37,54.55,10.9,0.0,3.0,122:42,30.0,1699.0
