,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points
0,20122013,HC Letnany U16,Czech U16,83597,1,0,4,3,4,-2.0,1
0,20132014,HC Letnany U16,Czech U16,83597,13,11,14,36,14,12.0,24
0,20142015,HC Letnany U16,Czech U16,83597,32,16,10,35,10,16.0,48
0,20142015,HC Letnany U18,Czech U18,87522,2,0,2,4,2,0.0,2
0,20152016,HC Letci Letnany U18,Czechia U18,89344,15,15,32,44,32,-10.0,30
0,20162017,HC Letci Letnany U18,Czechia U18,89344,45,37,30,40,30,39.0,82
0,20172018,HC Sparta Praha,Czechia,3616,2,0,0,26,0,2.0,2
0,20172018,HC Sparta Praha U20,Czechia U20,17967,16,10,6,18,6,12.0,26
0,20172018,HC Stadion Litomerice,Czechia2,36600,0,0,0,1,0,0.0,0
0,20172018,Czechia U19,WJAC-19,113792,1,1,0,4,0,,2
0,20172018,HC Letci Letnany,Czechia3,140722,5,4,0,4,0,0.0,9
0,20182019,HC Sparta Praha,Czechia,3616,5,4,4,34,4,-1.0,9
0,20182019,HC Stadion Litomerice,Czechia2,36600,8,7,4,16,4,2.0,15
0,20182019,Czechia,EHT,68526,0,0,2,3,2,0.0,0
0,20182019,Czechia U19,WJAC-19,113792,1,0,0,6,0,,1
0,20192020,HC Sparta Praha,Czechia,3616,15,14,14,52,14,5.0,29
0,20192020,Czechia,EHT,68526,0,0,0,4,0,0.0,0
0,20202021,HC Sparta Praha,Czechia,3616,24,14,8,49,8,18.0,38
0,20202021,Czechia,EHT,68526,0,0,2,3,2,0.0,0
0,20212022,Rochester Americans,AHL,1047,3,1,2,19,2,-5.0,4
