,Unnamed: 0,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts,team_switch,fullName,diff
24,0,20192020,Anaheim Ducks,National Hockey League,1,1,0,6.0,10,6.0,-1.0,1,17.0,0.0,0.0,0.0,0.0,133:16,24.0,0.0,00:25,122:45,75.0,0.0,0.0,10:06,4.0,188.0,False,Kiefer Sherwood,
25,0,20202021,Colorado Avalanche,National Hockey League,1,3,0,0.0,16,0.0,2.0,3,18.0,0.0,0.0,0.0,0.0,140:45,40.0,0.0,00:33,137:34,50.0,0.0,0.0,02:38,6.0,209.0,True,Kiefer Sherwood,0.0
26,0,20192020,St. Louis Blues,National Hockey League,1,0,1,2.0,9,2.0,-4.0,1,7.0,0.0,14.3,0.0,0.0,87:18,12.0,0.0,07:41,79:37,100.0,0.0,0.0,00:00,1.0,120.0,False,Robby Fabbri,
27,0,20192020,Detroit Red Wings,National Hockey League,2,17,14,18.0,52,18.0,-29.0,31,104.0,6.0,13.5,3.0,0.0,897:46,63.0,9.0,147:25,749:36,39.39,0.0,0.0,00:45,13.0,1053.0,True,Robby Fabbri,13.0
28,0,20172018,Chicago Blackhawks,National Hockey League,1,17,8,58.0,57,58.0,5.0,25,96.0,1.0,8.33,0.0,0.0,729:49,94.0,2.0,49:23,679:50,46.15,0.0,0.0,00:36,25.0,950.0,False,Ryan Hartman,
29,0,20172018,Nashville Predators,National Hockey League,2,3,3,14.0,21,14.0,-4.0,6,33.0,0.0,9.09,2.0,0.0,289:02,19.0,0.0,02:14,263:39,37.5,0.0,0.0,23:09,13.0,420.0,True,Ryan Hartman,-5.0
30,0,20182019,Nashville Predators,National Hockey League,1,10,10,44.0,64,44.0,7.0,20,113.0,0.0,8.85,2.0,0.0,859:57,69.0,0.0,21:17,804:25,15.38,0.0,0.0,34:15,21.0,1188.0,False,Ryan Hartman,
31,0,20182019,Philadelphia Flyers,National Hockey League,2,4,2,30.0,19,30.0,-6.0,6,32.0,0.0,6.25,0.0,0.0,228:50,38.0,0.0,00:32,227:58,66.67,0.0,0.0,00:20,18.0,288.0,True,Ryan Hartman,-8.0
32,0,20182019,Philadelphia Flyers,National Hockey League,2,4,2,30.0,19,30.0,-6.0,6,32.0,0.0,6.25,0.0,0.0,228:50,38.0,0.0,00:32,227:58,66.67,0.0,0.0,00:20,18.0,288.0,False,Ryan Hartman,
33,0,20192020,Minnesota Wild,National Hockey League,1,11,9,69.0,69,69.0,4.0,20,114.0,1.0,7.9,1.0,0.0,845:38,44.0,1.0,06:00,765:05,54.61,0.0,0.0,74:33,54.0,1128.0,True,Ryan Hartman,7.0
34,0,20162017,Washington Capitals,National Hockey League,1,0,0,0.0,3,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,25:44,1.0,0.0,00:00,25:44,0.0,0.0,0.0,00:00,0.0,37.0,False,Riley Barber,
35,0,20192020,Montréal Canadiens,National Hockey League,1,0,0,2.0,9,2.0,-1.0,0,6.0,0.0,0.0,0.0,0.0,74:19,15.0,0.0,00:00,74:19,100.0,0.0,0.0,00:00,1.0,107.0,True,Riley Barber,0.0
36,0,20192020,Montréal Canadiens,National Hockey League,1,0,0,2.0,9,2.0,-1.0,0,6.0,0.0,0.0,0.0,0.0,74:19,15.0,0.0,00:00,74:19,100.0,0.0,0.0,00:00,1.0,107.0,False,Riley Barber,
37,0,20212022,Detroit Red Wings,National Hockey League,1,0,0,2.0,4,2.0,-2.0,0,4.0,0.0,0.0,0.0,0.0,33:46,3.0,0.0,03:49,29:57,0.0,0.0,0.0,00:00,1.0,44.0,True,Riley Barber,0.0
