,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20122013,Team Minnesota,Brick Invitational,128896,4,5,0.0,6,0,9,
0,20162017,MN Gentry Galaxy 13U AAA,T1EHL 13U,234933,4,13,4.0,10,4,17,
0,20172018,MN Blackhawks 14U AAA,MNBEL 14U,259158,13,22,,14,,35,
0,20182019,Gentry Academy 15U AAA,NAPHL 15U,271419,23,39,2.0,13,2,62,
0,20192020,U.S. National U18 Team,USDP,19564,2,0,0.0,6,0,2,
0,20192020,U.S. National U17 Team,USDP,19734,19,31,10.0,46,10,50,
0,20192020,USNTDP Juniors,USHL,52486,14,8,6.0,32,6,22,-6.0
0,20192020,USA U17,WHC-17,61270,3,7,0.0,6,0,10,
0,20202021,U.S. National U18 Team,USDP,19564,7,13,6.0,13,6,20,9.0
0,20202021,USNTDP Juniors,USHL,52486,5,13,6.0,12,6,18,6.0
0,20212022,Univ. of Minnesota,NCAA,8320,10,9,23.0,24,23,19,5.0
