,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,shots,powerPlayGoals,gameWinningGoals,shortHandedGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20102011,TPS U16,Jr. C SM-sarja Q,10154148,7,7,8,10,8,0.0,14,,,,,,,,,,,,,,,,
0,20112012,TPS U18,Fin-U18,1,8,5,6,22,6,,13,,,,,,,,,,,,,,,,
0,20122013,TPS U18,Fin-U18,1,6,2,0,5,0,,8,,,,,,,,,,,,,,,,
0,20122013,TPS Jr.,Fin-Jr.,2,14,10,14,35,14,,24,,,,,,,,,,,,,,,,
0,20122013,TPS ,Finland,3,1,2,4,15,4,,3,,,,,,,,,,,,,,,,
0,20132014,TPS U18,Fin-U18,1,2,0,0,2,0,,2,,,,,,,,,,,,,,,,
0,20132014,TPS Jr.,Fin-Jr.,2,13,5,8,17,8,,18,,,,,,,,,,,,,,,,
0,20132014,TPS ,Finland,3,4,5,10,37,10,,9,,,,,,,,,,,,,,,,
0,20132014,Finland,WJ18-A,4,2,3,0,5,0,2.0,5,12.0,1.0,1.0,1.0,,,,,,,,,,,,
0,20142015,TPS ,Finland,1,19,9,22,56,22,,28,,,,,,,,,,,,,,,,
0,20152016,Colorado Avalanche,National Hockey League,1,0,0,2,9,2,-7.0,0,9.0,0.0,0.0,0.0,80:37,0.0,0.0,00:00,80:19,54.17,0.0,0.0,0.0,00:18,11.0,115.0
0,20152016,San Antonio,AHL,2,36,24,42,52,42,20.0,60,140.0,5.0,4.0,1.0,,,,,,,17.1,,,,,
0,20152016,Finland,WJC-A,3,3,2,2,7,2,-2.0,5,14.0,1.0,0.0,1.0,,,,,,,,,,,,
0,20152016,Finland,WC-A,4,1,0,2,5,2,1.0,1,5.0,0.0,0.0,0.0,,,,,,,,,,,,
0,20152016,San Antonio Rampage,AHL,8497,36,24,42,52,42,20.0,60,,,,,,,,,,,,,,,,
0,20152016,Finland,WC,17055,1,0,2,5,2,1.0,1,,,,,,,,,,,,,,,,
0,20152016,Finland U20,WJC-20,17116,3,2,2,7,2,-2.0,5,,,,,,,,,,,,,,,,
0,20152016,Finland,EHT,68516,3,0,2,3,2,1.0,3,,,,,,,,,,,,,,,,
0,20162017,Colorado Avalanche,National Hockey League,1,18,20,22,75,22,-25.0,38,133.0,4.0,2.0,0.0,1354:22,29.0,10.0,204:20,1144:16,58.0,15.04,1.0,0.0,05:46,33.0,1667.0
0,20162017,San Antonio Rampage,AHL,8497,2,0,4,4,4,0.0,2,,,,,,,,,,,,,,,,
0,20162017,Finland,WC,17055,6,4,0,10,0,2.0,10,,,,,,,,,,,,,,,,
0,20162017,Finland,EHT,68516,1,0,0,3,0,-1.0,1,,,,,,,,,,,,,,,,
0,20172018,Colorado Avalanche,National Hockey League,1,55,29,34,81,34,0.0,84,178.0,12.0,3.0,0.0,1535:59,32.0,35.0,303:04,1231:25,51.28,16.29,0.0,0.0,01:30,40.0,1845.0
0,20172018,Finland,WC,17055,6,5,6,8,6,1.0,11,,,,,,,,,,,,,,,,
0,20182019,Colorado Avalanche,National Hockey League,1,56,31,54,74,54,13.0,87,193.0,16.0,4.0,0.0,1542:18,59.0,33.0,302:42,1238:05,36.96,16.06,1.0,0.0,01:31,41.0,1704.0
0,20192020,Colorado Avalanche,National Hockey League,1,22,19,14,42,14,-2.0,41,107.0,8.0,5.0,0.0,795:53,28.0,14.0,147:01,648:17,58.67,17.8,0.0,0.0,00:35,23.0,892.0
0,20202021,Colorado Avalanche,National Hockey League,1,36,30,34,52,34,30.0,66,177.0,9.0,7.0,0.0,1035:44,26.0,24.0,208:27,825:44,50.0,16.9,0.0,0.0,01:33,20.0,1178.0
0,20212022,Colorado Avalanche,National Hockey League,1,56,36,56,75,56,35.0,92,254.0,16.0,2.0,0.0,1573:52,58.0,35.0,293:58,1277:51,46.33,14.2,0.0,0.0,02:03,43.0,1807.0
