,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,shortHandedGoals,plusMinus,shots,shotPct,gameWinningGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20102011,Halton,Minor-ON,1,34,45,22,59,22,79,,,,,,,,,,,,,,,,,
0,20112012,Guelph,OHL,1,22,13,24,63,24,35,6.0,0.0,-15.0,,,,,,,,,,,,,,
0,20122013,Guelph,OHL,1,29,18,31,66,31,47,6.0,0.0,19.0,,,,,,,,,,,,,,
0,20122013,Canada,WJ18-A,2,1,0,4,3,4,1,0.0,0.0,3.0,3.0,0.0,0.0,,,,,,,,,,,
0,20132014,Guelph,OHL,1,52,26,42,68,42,78,9.0,0.0,42.0,,,4.0,,,,,,,,,,,
0,20142015,Guelph,OHL,1,44,27,32,56,32,71,6.0,6.0,12.0,,,4.0,,,,,,,,,,,
0,20142015,Texas,AHL,2,3,0,0,2,0,3,0.0,0.0,2.0,4.0,0.0,0.0,,,,,,,,,,,
0,20152016,Dallas Stars,National Hockey League,1,0,1,0,1,0,1,0.0,0.0,1.0,2.0,50.0,0.0,11:55,0.0,0.0,00:00,11:55,14.29,0.0,0.0,00:00,1.0,17.0
0,20152016,Texas,AHL,2,31,22,32,73,32,53,7.0,3.0,10.0,140.0,15.7,4.0,,,,,,,,,,,
0,20152016,Texas Stars,AHL,45177,31,22,32,73,32,53,,,10.0,,,,,,,,,,,,,,
0,20162017,Dallas Stars,National Hockey League,1,0,2,0,10,0,2,0.0,0.0,-3.0,9.0,22.22,0.0,117:54,8.0,0.0,00:03,117:05,30.77,0.0,0.0,00:46,4.0,173.0
0,20162017,Texas Stars,AHL,45177,21,9,41,58,41,30,,,-9.0,,,,,,,,,,,,,,
0,20172018,Dallas Stars,National Hockey League,1,2,0,17,27,17,2,0.0,0.0,-2.0,16.0,0.0,0.0,230:25,45.0,0.0,01:18,228:11,48.59,0.0,0.0,00:56,5.0,354.0
0,20172018,Texas Stars,AHL,45177,10,18,32,42,32,28,,,-3.0,,,,,,,,,,,,,,
0,20182019,Dallas Stars,National Hockey League,1,16,6,23,67,23,22,0.0,0.0,9.0,94.0,6.38,2.0,896:01,106.0,0.0,06:48,790:44,42.86,2.0,0.0,98:29,50.0,1392.0
0,20192020,Dallas Stars,National Hockey League,1,12,9,6,65,6,21,0.0,0.0,7.0,85.0,10.6,1.0,973:23,89.0,0.0,04:22,828:32,43.85,0.0,1.0,140:29,55.0,1415.0
0,20202021,Dallas Stars,National Hockey League,1,8,7,18,51,18,15,0.0,0.0,-2.0,66.0,10.6,2.0,825:54,78.0,1.0,08:28,731:23,46.28,1.0,0.0,86:03,49.0,1200.0
0,20212022,Vancouver Canucks,National Hockey League,1,6,5,19,62,19,11,0.0,0.0,-1.0,66.0,7.6,0.0,808:36,101.0,0.0,05:53,712:17,42.56,0.0,0.0,90:26,43.0,1197.0
