,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points
0,20172018,HC Sparta Praha U16,Czechia U16,85080,8,7,34,31,34,29.0,15
0,20172018,Hlavni mesto Praha U15,ODM,259375,1,1,4,7,4,0.0,2
0,20182019,Tappara U18,U18 SM-sarja,25881,1,0,0,5,0,,1
0,20182019,Tappara U16,U16 SM-sarja,80793,6,6,8,15,8,,12
0,20192020,Tappara U18,U18 SM-sarja,25881,22,10,16,46,16,,32
0,20192020,Tappara U16,U16 SM-sarja,80793,2,4,2,4,2,,6
0,20202021,Czechia U18,WJC-18,17013,1,0,0,2,0,0.0,1
0,20202021,Tappara U20,U20 SM-sarja,18680,15,3,24,35,24,7.0,18
0,20212022,Tappara,Champions HL,582,0,0,0,4,0,-1.0,0
0,20212022,Tappara,Liiga,959,2,0,8,24,8,2.0,2
0,20212022,Czechia U18,WJC-18,17013,8,0,8,6,8,-3.0,8
0,20212022,Czechia U20,WJC-20,17046,1,0,0,7,0,2.0,1
0,20212022,Tappara U20,U20 SM-sarja,18680,19,6,16,32,16,5.0,25
0,20212022,KeuPa HT,Mestis,51227,2,0,0,2,0,-2.0,2
0,20212022,Czechia U18,EYOF,158247,3,0,4,4,4,0.0,3
