,season,team,league,sequenceNumber,savePercentage,goalAgainstAverage,games,timeOnIce,shutouts,goalsAgainst,ties,wins,losses,saves,shotsAgainst,ot,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
0,20062007,Frölunda HC U16,U16 SM,43301,0.888,3.68,5,,,,,,,,,,,,,,,,,,,
0,20072008,Frolunda U18,Swe-U18,1,,1.78,19,1147:00,6.0,34.0,,,,,,,,,,,,,,,,
0,20082009,Frolunda U18,Swe-U18,1,,2.56,2,117:00,0.0,5.0,,,,,,,,,,,,,,,,
0,20082009,Frolunda Jr.,Swe-Jr.,2,,3.05,22,1318:00,1.0,67.0,,,,,,,,,,,,,,,,
0,20082009,Sweden,WJ18-A,3,0.916031,2.8,4,236:00,1.0,11.0,0.0,2.0,2.0,120.0,131.0,,,,,,,,,,,
0,20092010,Sault Ste. Marie,OHL,1,0.918,2.797,47,2574:00,5.0,120.0,3.0,27.0,13.0,1337.0,1457.0,,,,,,,,,,,
0,20092010,Binghamton,AHL,2,0.898,3.0,2,120:00,0.0,6.0,0.0,2.0,0.0,53.0,59.0,,,,,,,,,,,
0,20102011,Ottawa Senators,National Hockey League,1,0.88764,3.520438,8,340:52,0.0,20.0,,1.0,4.0,158.0,178.0,0.0,33.0,4.0,121.0,4.0,136.0,38.0,5.0,86.8421052631579,100.0,88.97058823529412
0,20102011,Binghamton,AHL,2,0.912,2.7,22,1246:00,3.0,56.0,2.0,10.0,8.0,637.0,581.0,,,,,,,,,,,
0,20102011,Sweden,WJC-A,3,,2.77,3,195:00,1.0,9.0,,,,,,,,,,,,,,,,
0,20112012,Ottawa Senators,National Hockey League,1,0.935065,2.005906,5,299:07,1.0,10.0,,3.0,2.0,144.0,154.0,0.0,16.0,1.0,127.0,1.0,134.0,19.0,5.0,84.21052631578947,100.0,94.77611940298507
0,20112012,Binghamton,AHL,2,0.907,3.26,40,2192:00,2.0,119.0,1.0,13.0,22.0,1156.0,1275.0,,,,,,,,,,,
0,20122013,Ottawa Senators,National Hockey League,1,0.936321,2.204682,12,734:48,0.0,27.0,,5.0,3.0,397.0,424.0,4.0,57.0,10.0,330.0,11.0,353.0,60.0,12.0,95.0,90.9090909090909,93.48441926345609
0,20122013,Binghamton,AHL,2,0.938,2.12,31,1841:00,3.0,65.0,2.0,18.0,10.0,981.0,1046.0,,,,,,,,,,,
0,20132014,Ottawa Senators,National Hockey League,1,0.913234,3.05844,36,1942:10,1.0,99.0,,12.0,15.0,1042.0,1141.0,6.0,178.0,30.0,834.0,33.0,911.0,197.0,30.0,90.35532994923858,90.9090909090909,91.5477497255763
0,20142015,Ottawa Senators,National Hockey League,1,0.905006,3.017671,25,1471:35,0.0,74.0,,9.0,12.0,705.0,779.0,3.0,96.0,15.0,594.0,17.0,650.0,112.0,24.0,85.71428571428571,88.23529411764706,91.38461538461539
0,20152016,Buffalo Sabres,National Hockey League,1,0.92429,2.47405,21,1164:05,1.0,48.0,,5.0,9.0,586.0,634.0,5.0,93.0,13.0,480.0,14.0,520.0,100.0,21.0,93.0,92.85714285714286,92.3076923076923
0,20152016,Rochester,AHL,2,0.888,3.36,3,179:00,0.0,10.0,0.0,1.0,2.0,79.0,89.0,,,,,,,,,,,
0,20152016,Rochester Americans,AHL,1047,0.888,3.36,3,,,,,,,,,,,,,,,,,,,
0,20162017,Buffalo Sabres,National Hockey League,1,0.920419,2.678047,59,3405:28,2.0,152.0,,23.0,26.0,1758.0,1910.0,8.0,262.0,43.0,1453.0,46.0,1570.0,294.0,58.0,89.1156462585034,93.47826086956522,92.54777070063695
0,20172018,Buffalo Sabres,National Hockey League,1,0.908333,3.008398,53,2852:01,3.0,143.0,0.0,14.0,26.0,1417.0,1560.0,9.0,201.0,46.0,1170.0,53.0,1279.0,228.0,50.0,88.1578947368421,86.79245283018868,91.47771696637999
0,20182019,New York Islanders,National Hockey League,1,0.929705,2.133177,46,2615:49,6.0,93.0,0.0,25.0,13.0,1230.0,1323.0,5.0,159.0,37.0,1034.0,37.0,1107.0,179.0,43.0,88.8268156424581,100.0,93.4056007226739
0,20192020,Chicago Blackhawks,National Hockey League,1,0.918,3.0073,33,1875:28,0.0,94.0,0.0,16.0,10.0,1058.0,1152.0,5.0,162.0,34.0,862.0,39.0,937.0,176.0,31.0,92.04545454545455,87.17948717948718,91.9957310565635
0,20192020,Vegas Golden Knights,National Hockey League,2,0.94,1.6667,3,180:00,1.0,5.0,0.0,3.0,0.0,78.0,83.0,0.0,5.0,1.0,72.0,1.0,76.0,6.0,3.0,83.33333333333334,100.0,94.73684210526315
0,20202021,Vegas Golden Knights,National Hockey League,1,0.913,2.2851,19,1155:19,1.0,44.0,0.0,13.0,4.0,461.0,505.0,2.0,66.0,18.0,377.0,20.0,413.0,72.0,19.0,91.66666666666666,90.0,91.28329297820824
0,20212022,Vegas Golden Knights,National Hockey League,1,0.907,2.82724,44,2546:39,1.0,120.0,0.0,23.0,17.0,1168.0,1288.0,2.0,140.0,33.0,995.0,35.0,1090.0,163.0,44.0,85.88957055214725,94.28571428571428,91.28440366972477
