,season,team,league,sequenceNumber,timeOnIce,assists,goals,pim,games,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shortHandedTimeOnIce,points,shifts,powerPlayGoals,shortHandedGoals,plusMinus,shots,hits,powerPlayPoints,shotPct,gameWinningGoals,overTimeGoals,shortHandedPoints,blocked
0,20052006,Markham,Minor-ON,1,00:00,90,30,90,73,00:00,00:00,90,0.0,00:00,120,0.0,,,,,,,,,,,
0,20062007,Oshawa,OHL,1,,47,10,78,64,,,78,0.0,,57,,8.0,0.0,-1.0,,,,,,,,
0,20072008,Oshawa,OHL,1,,47,16,82,64,,,82,,,63,,8.0,5.0,7.0,,,,,,,,
0,20082009,Oshawa,OHL,1,,26,7,48,34,,,48,,,33,,4.0,0.0,-12.0,,,,,,,,
0,20082009,London,OHL,2,,24,6,30,28,,,30,,,30,,2.0,0.0,9.0,,,,,,,,
0,20092010,New York Rangers,National Hockey League,1,1517:35,28,9,32,80,306:17,1173:15,32,0.0,38:03,37,1791.0,4.0,0.0,-20.0,81.0,162.0,22.0,11.11,1.0,0.0,0.0,92.0
0,20092010,Canada,WC-A,5,,0,0,0,5,,,0,0.0,,0,,,,,,,,,,,,
0,20102011,New York Rangers,National Hockey League,1,915:49,9,2,20,47,176:40,714:23,20,0.0,24:46,11,1066.0,2.0,0.0,-5.0,58.0,92.0,7.0,3.45,0.0,0.0,0.0,72.0
0,20102011,Connecticut,AHL,2,,7,0,8,11,,,8,,,7,,0.0,0.0,0.0,24.0,,,0.0,0.0,,,
0,20112012,New York Rangers,National Hockey League,1,1727:44,31,10,36,77,322:32,1297:39,36,0.0,107:33,41,1942.0,1.0,1.0,20.0,113.0,156.0,14.0,8.85,2.0,0.0,3.0,95.0
0,20122013,New York Rangers,National Hockey League,1,1066:02,18,3,18,46,133:26,860:01,18,0.0,72:35,21,1228.0,0.0,1.0,6.0,81.0,77.0,8.0,3.7,0.0,0.0,1.0,64.0
0,20122013,Rapperswil,Swiss,2,,5,2,10,9,,,10,,,7,,,,,,,,,,,,
0,20132014,New York Rangers,National Hockey League,1,745:28,9,2,10,42,82:29,650:52,10,0.0,12:07,11,971.0,1.0,0.0,-5.0,64.0,50.0,5.0,3.13,0.0,0.0,0.0,47.0
0,20132014,Nashville Predators,National Hockey League,2,407:27,4,1,8,25,05:57,392:37,8,0.0,08:53,5,531.0,0.0,0.0,-4.0,26.0,28.0,0.0,3.85,0.0,0.0,0.0,28.0
0,20142015,Philadelphia Flyers,National Hockey League,1,1403:09,22,10,34,64,111:08,1168:34,34,0.0,123:27,32,1781.0,1.0,1.0,-5.0,119.0,153.0,8.0,8.4,4.0,0.0,1.0,128.0
0,20152016,Philadelphia Flyers,National Hockey League,1,1217:28,9,4,16,52,73:46,1012:22,16,0.0,131:20,13,1511.0,0.0,0.0,-8.0,98.0,140.0,1.0,4.08,1.0,1.0,0.0,104.0
0,20162017,Philadelphia Flyers,National Hockey League,1,994:42,12,6,28,51,48:46,880:40,28,0.0,65:16,18,1314.0,0.0,0.0,-5.0,92.0,173.0,1.0,6.52,0.0,0.0,1.0,85.0
0,20172018,Vancouver Canucks,National Hockey League,1,1705:56,16,6,48,82,74:54,1454:22,48,0.0,176:40,22,2166.0,0.0,0.0,-8.0,128.0,244.0,5.0,4.69,0.0,0.0,0.0,127.0
0,20182019,Vancouver Canucks,National Hockey League,1,412:44,3,1,8,23,02:31,356:06,8,0.0,54:07,4,524.0,0.0,0.0,3.0,21.0,89.0,0.0,4.76,0.0,0.0,0.0,31.0
0,20182019,Anaheim Ducks,National Hockey League,2,211:11,3,0,0,12,00:16,193:33,0,0.0,17:22,3,282.0,0.0,0.0,-3.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,19.0
0,20182019,St. Louis Blues,National Hockey League,3,91:17,3,0,0,7,00:59,90:10,0,0.0,00:08,3,119.0,0.0,0.0,-2.0,5.0,21.0,0.0,0.0,0.0,0.0,0.0,3.0
0,20192020,Anaheim Ducks,National Hockey League,1,916:55,13,2,14,49,38:47,809:42,14,0.0,68:26,15,1195.0,0.0,0.0,5.0,57.0,101.0,1.0,3.5,0.0,0.0,0.0,55.0
0,20202021,Columbus Blue Jackets,National Hockey League,1,947:59,9,4,8,53,22:18,867:22,8,0.0,58:19,13,1184.0,0.0,0.0,5.0,77.0,125.0,0.0,5.2,0.0,0.0,0.0,54.0
0,20212022,Ottawa Senators,National Hockey League,1,474:40,10,3,4,26,36:12,426:24,4,0.0,12:04,13,616.0,1.0,0.0,-4.0,35.0,42.0,2.0,8.6,0.0,0.0,0.0,34.0
0,20212022,Belleville Senators,AHL,227817,,17,10,18,26,,,18,,,27,,,,2.0,,,,,,,,
