,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20142015,Finland Selects U12,WSI U12,206796,2,4,6,7,6,6,
0,20152016,Pro Hockey Selects U13,WSI U13,206577,0,0,0,8,0,0,
0,20162017,KKP U17,U17 SM-sarja,61806,0,0,0,2,0,0,
0,20162017,Finland Selects U14,WSI U14,206438,0,4,0,7,0,4,
0,20172018,Kärpät U18,U18 SM-sarja,26831,0,0,0,2,0,0,
0,20172018,Kärpät U16,U16 SM-sarja,81423,11,13,18,18,18,24,
0,20182019,Kärpät U18,U18 SM-sarja,26831,32,24,8,41,8,56,
0,20182019,Kärpät U16,U16 SM-sarja,81423,0,1,0,1,0,1,
0,20192020,Kärpät U20,U20 SM-sarja,23090,8,15,12,40,12,23,1.0
0,20192020,Finland U17,WHC-17,61280,2,3,0,5,0,5,
0,20202021,Kärpät,Liiga,919,0,0,0,5,0,0,1.0
0,20202021,Finland U18,WJC-18,17093,6,5,0,7,0,11,0.0
0,20202021,Kärpät U20,U20 SM-sarja,23090,16,15,28,30,28,31,19.0
0,20212022,Jukurit,Liiga,4659,1,0,6,8,6,1,0.0
0,20212022,Sport,Liiga,4719,1,1,2,13,2,2,0.0
0,20212022,Lehigh Valley Phantoms,AHL,173347,0,0,0,2,0,0,0.0
