,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,faceOffPct,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20062007,St.L. AAA Blues,Minor-MO,1,21,9,122,62,122,0.0,30,,,,,,,,,,,,,,,,
0,20062007,St. Louis,NAHL,2,0,0,0,1,0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,
0,20072008,Cedar Rapids,USHL,1,12,2,51,53,51,,14,0.0,0.0,0.0,-1.0,,,,,,,,,,,,
0,20082009,Miami U.,CCHA,1,26,0,56,39,56,,26,,,,,,,,,,,,,,,,
0,20092010,Miami U.,CCHA,1,17,5,63,44,63,,22,,,,,,,,,,,,,,,,
0,20102011,Miami U.,CCHA,1,20,3,32,39,32,,23,3.0,0.0,0.0,,,,,,,,,,,,,
0,20112012,Miami U.,CCHA,1,20,4,40,41,40,,24,3.0,1.0,0.0,,,,,,,,,,,,,
0,20122013,Binghamton,AHL,1,16,2,46,60,46,,18,0.0,1.0,0.0,8.0,115.0,1.74,,,,,,,,,,
0,20122013,Elmira,ECHL,2,5,0,7,5,7,,5,0.0,,0.0,2.0,,,,,,,,,,,,
0,20132014,Binghamton,AHL,1,42,9,101,73,101,,51,7.0,2.0,0.0,5.0,139.0,6.5,,,,,,,,,,
0,20142015,Binghamton,AHL,1,42,19,116,75,116,,61,7.0,3.0,0.0,9.0,229.0,8.3,,,,,,,,,,
0,20152016,Ottawa Senators,National Hockey League,1,7,6,34,64,34,0.0,13,1.0,2.0,0.0,4.0,87.0,6.9,892:49,57.0,2.0,39:20,846:30,0.0,0.0,06:59,71.0,1225.0
0,20152016,U.S.A.,WC-A,2,4,2,8,10,8,,6,2.0,1.0,0.0,3.0,17.0,,,,,,,,,,,
0,20152016,USA,WC,17215,4,2,8,10,8,,6,,,,3.0,,,,,,,,,,,,
0,20162017,Ottawa Senators,National Hockey League,1,12,5,46,76,46,0.0,17,1.0,1.0,0.0,7.0,123.0,4.07,1060:57,68.0,5.0,115:00,940:32,0.0,0.0,05:25,68.0,1597.0
0,20172018,Ottawa Senators,National Hockey League,1,5,3,6,16,6,0.0,8,2.0,0.0,0.0,5.0,24.0,12.5,184:54,17.0,2.0,34:01,150:03,0.0,0.0,00:50,9.0,279.0
0,20182019,Ottawa Senators,National Hockey League,1,3,2,12,19,12,0.0,5,0.0,1.0,0.0,-9.0,19.0,10.53,257:22,26.0,1.0,47:43,209:16,0.0,0.0,00:23,25.0,364.0
0,20182019,Edmonton Oilers,National Hockey League,2,2,0,4,5,4,0.0,2,0.0,0.0,0.0,-2.0,6.0,0.0,57:11,7.0,0.0,05:16,51:55,0.0,0.0,00:00,1.0,86.0
0,20182019,Florida Panthers,National Hockey League,3,0,0,2,1,2,0.0,0,0.0,0.0,0.0,-1.0,2.0,0.0,11:53,2.0,0.0,00:39,11:14,0.0,0.0,00:00,0.0,20.0
0,20182019,Wilkes-Barre/Scranton Penguins,AHL,1077,2,0,7,3,7,,2,,,,-2.0,,,,,,,,,,,,
0,20182019,Springfield Thunderbirds,AHL,39667,10,3,12,16,12,,13,,,,-2.0,,,,,,,,,,,,
0,20192020,San Diego Gulls,AHL,85177,22,9,73,53,73,,31,,,,1.0,,,,,,,,,,,,
0,20202021,Torpedo Nizhny Novgorod,KHL,2444,32,9,73,59,73,,41,,,,0.0,,,,,,,,,,,,
0,20202021,USA,WC,17215,0,0,2,9,2,,0,,,,1.0,,,,,,,,,,,,
0,20212022,Montréal Canadiens,National Hockey League,1,23,4,67,64,67,0.0,27,0.0,1.0,0.0,-25.0,76.0,5.3,952:04,44.0,12.0,158:57,790:02,0.0,0.0,03:05,46.0,1232.0
