,season,team,league,sequenceNumber,timeOnIce,assists,goals,pim,games,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shortHandedTimeOnIce,points,shifts,shots,hits,powerPlayGoals,powerPlayPoints,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,blocked,plusMinus
0,20012002,Brynas U18,Swe-U18,1,00:00,0,0,0,2,00:00,00:00,0,0.0,00:00,0,0.0,,,,,,,,,,,
0,20022003,Brynäs IF J20,J20 Nationell,5789,,3,1,2,12,,,2,,,4,,,,,,,,,,,,
0,20022003,Gästrikland,TV-Pucken,10966,,10,5,8,8,,,8,,,15,,,,,,,,,,,,
0,20032004,Brynas U18,Swe-U18,1,00:00,5,9,4,6,00:00,00:00,4,0.0,00:00,14,0.0,,,,,,,,,,,
0,20032004,Brynas Jr.,Swe-Jr.,2,00:00,6,2,2,21,00:00,00:00,2,0.0,00:00,8,0.0,,,,,,,,,,,
0,20042005,Brynas Jr.,Swe-Jr.,1,00:00,17,17,24,29,00:00,00:00,24,0.0,00:00,34,0.0,,,,,,,,,,,
0,20042005,Brynas,Sweden,3,00:00,0,0,2,19,00:00,00:00,2,0.0,00:00,0,0.0,,,,,,,,,,,
0,20052006,Brynas,Sweden,1,00:00,16,10,30,46,00:00,00:00,30,0.0,00:00,26,0.0,,,,,,,,,,,
0,20052006,Sweden,WC-A,3,,0,0,0,4,,,0,0.0,,0,,,,,,,,,,,,
0,20062007,Brynas,Sweden,1,,28,12,46,45,,,46,,,40,,,,,,,,,,,,
0,20062007,Sweden,WJC-A,2,,7,0,20,7,,,20,,,7,,,,,,,,,,,,
0,20062007,Sweden,WC-A,3,,5,1,4,9,,,4,,,6,,,,,,,,,,,,
0,20072008,Washington Capitals,National Hockey League,1,1557:25,55,14,24,82,332:00,1204:38,24,46.34,20:47,69,1637.0,153.0,34.0,3.0,25.0,9.15,4.0,1.0,0.0,0.0,34.0,13.0
0,20072008,Sweden,WC-A,2,00:00,4,3,4,9,00:00,00:00,4,0.0,00:00,7,0.0,,,,,,,,,,,
0,20082009,Washington Capitals,National Hockey League,1,1635:23,66,22,46,82,316:17,1247:31,46,48.68,71:35,88,1734.0,174.0,52.0,14.0,42.0,12.64,1.0,0.0,0.0,0.0,46.0,16.0
0,20092010,Washington Capitals,National Hockey League,1,1676:35,68,33,50,82,297:40,1290:02,50,49.93,88:53,101,1763.0,222.0,90.0,11.0,37.0,14.86,4.0,1.0,0.0,0.0,62.0,37.0
0,20092010,Sweden,Olympics,3,,5,1,0,4,,,0,0.0,,6,,,,,,,,,,,,
0,20102011,Washington Capitals,National Hockey League,1,1586:00,47,18,40,77,255:58,1218:51,40,52.47,111:11,65,1823.0,202.0,69.0,4.0,22.0,8.91,2.0,0.0,1.0,1.0,64.0,24.0
0,20112012,Washington Capitals,National Hockey League,1,804:54,30,14,24,42,140:10,622:29,24,51.09,42:15,44,950.0,95.0,31.0,3.0,19.0,14.74,4.0,1.0,0.0,0.0,25.0,-4.0
0,20112012,Sweden,WC-A,2,,1,0,2,2,,,2,,,1,,,,0.0,,,0.0,,0.0,,,1.0
0,20122013,Washington Capitals,National Hockey League,1,955:14,40,8,20,48,171:15,710:40,20,51.43,73:19,48,1118.0,82.0,31.0,3.0,18.0,9.76,1.0,0.0,0.0,0.0,35.0,8.0
0,20122013,Dynamo Moscow,KHL,2,,15,10,10,19,,,10,,,25,,,,,,,,,,,,
0,20132014,Washington Capitals,National Hockey League,1,1623:46,61,18,54,82,301:06,1243:08,54,50.46,79:32,79,1911.0,196.0,89.0,6.0,44.0,9.18,1.0,0.0,1.0,1.0,54.0,-20.0
0,20132014,Sweden,Olympics,2,,4,0,0,5,,,0,,,4,,7.0,,0.0,,,0.0,,0.0,,,3.0
0,20142015,Washington Capitals,National Hockey League,1,1683:28,60,18,40,82,254:03,1350:22,40,53.57,79:03,78,1996.0,153.0,91.0,3.0,33.0,11.76,3.0,1.0,0.0,0.0,52.0,5.0
0,20152016,Washington Capitals,National Hockey League,1,1438:38,50,20,36,75,230:20,1141:01,36,48.56,67:17,70,1743.0,129.0,51.0,3.0,30.0,15.5,4.0,0.0,0.0,0.0,50.0,17.0
0,20162017,Washington Capitals,National Hockey League,1,1497:19,63,23,38,82,251:01,1189:22,38,51.39,56:56,86,1842.0,162.0,45.0,8.0,35.0,14.2,5.0,2.0,0.0,0.0,33.0,17.0
0,20162017,Sweden,WC,6815,,4,3,8,5,,,8,,,7,,,,,,,,,,,,6.0
0,20162017,Sweden,WCup,8596,,2,2,2,4,,,2,,,4,,,,,,,,,,,,3.0
0,20172018,Washington Capitals,National Hockey League,1,1592:30,50,21,46,81,284:50,1233:34,46,51.2,74:06,71,1811.0,165.0,37.0,7.0,26.0,12.73,4.0,1.0,0.0,0.0,51.0,5.0
0,20182019,Washington Capitals,National Hockey League,1,1596:13,52,22,30,80,295:54,1226:25,30,48.64,73:54,74,1759.0,169.0,54.0,7.0,25.0,13.02,5.0,1.0,0.0,0.0,30.0,2.0
0,20192020,Washington Capitals,National Hockey League,1,1160:28,42,12,14,61,228:52,917:50,14,49.24,13:46,54,1282.0,132.0,30.0,2.0,18.0,9.1,0.0,0.0,0.0,0.0,45.0,-1.0
0,20202021,Washington Capitals,National Hockey League,1,1022:43,38,15,14,55,169:35,836:02,14,48.29,17:06,53,1221.0,91.0,25.0,5.0,22.0,16.5,0.0,0.0,0.0,0.0,27.0,0.0
0,20212022,Washington Capitals,National Hockey League,1,822:04,25,6,12,47,172:35,644:24,12,46.38,05:05,31,949.0,68.0,16.0,1.0,14.0,8.8,1.0,1.0,0.0,0.0,16.0,-8.0
