,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,shots,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20102011,Östergötland,TV-Pucken,11056,1,0,0,8,0,1,,,,,,,,,,,,,,,,,
0,20102011,Linköping HC U16,U16 SM,44037,0,0,0,3,0,0,,,,,,,,,,,,,,,,,
0,20112012,Linkoping U18,Swe-U18,1,3,5,10,27,10,8,,,,,,,,,,,,,,,,,
0,20122013,Linkoping U18,Swe-U18,1,8,7,20,31,20,15,,,,,,,,,,,,,,,,,
0,20122013,Linkoping Jr.,Swe-Jr.,2,1,0,8,14,8,1,,,,,,,,,,,,,,,,,
0,20132014,Linkoping U18,Swe-U18,1,3,3,2,5,2,6,,,,,,,,,,,,,,,,,
0,20132014,Linkoping Jr.,Swe-Jr.,2,12,6,36,44,36,18,,,,,,,,,,,,,,,,,
0,20132014,Sweden,WJ18-A,3,1,4,2,7,2,5,23.0,4.0,0.0,0.0,2.0,,,,,,,,,,,,
0,20142015,Linkoping,Sweden,1,3,3,8,38,8,6,,,,,,,,,,,,,,,,,
0,20142015,Sweden,WJC-A,2,5,3,0,7,0,8,14.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,
0,20152016,Linkoping,Sweden,1,15,6,4,48,4,21,,,,,,,,,,,,,,,,,
0,20152016,Sweden,WJC-A,2,1,2,0,6,0,3,24.0,2.0,0.0,0.0,2.0,,,,,,,,,,,,
0,20152016,Linköping HC,Champions HL,172,3,2,4,5,4,5,,,,,1.0,,,,,,,,,,,,
0,20152016,Linköping HC,SHL,859,15,6,4,48,4,21,,,,,21.0,,,,,,,,,,,,
0,20152016,Sweden U20,WJC-20,8596,1,2,0,6,0,3,,,,,2.0,,,,,,,,,,,,
0,20152016,Sweden,EHT,89816,1,0,2,2,2,1,,,,,3.0,,,,,,,,,,,,
0,20162017,Chicago Blackhawks,National Hockey League,1,3,2,4,38,4,5,48.0,0.0,0.0,0.0,3.0,563:07,16.0,1.0,35:33,524:26,0.0,4.17,0.0,0.0,03:08,17.0,734.0
0,20162017,Linköping HC,Champions HL,172,3,0,2,4,2,3,,,,,1.0,,,,,,,,,,,,
0,20162017,Rockford IceHogs,AHL,8267,7,1,12,30,12,8,,,,,-13.0,,,,,,,,,,,,
0,20172018,Chicago Blackhawks,National Hockey League,1,10,3,8,41,8,13,82.0,1.0,1.0,0.0,-2.0,785:24,26.0,4.0,47:59,634:22,0.0,3.66,1.0,1.0,103:03,56.0,1144.0
0,20172018,Rockford IceHogs,AHL,8267,3,2,6,18,6,5,,,,,-4.0,,,,,,,,,,,,
0,20182019,Chicago Blackhawks,National Hockey League,1,6,3,30,43,30,9,57.0,0.0,0.0,0.0,-9.0,734:35,38.0,0.0,09:18,678:34,0.0,5.26,0.0,0.0,46:43,38.0,994.0
0,20182019,Rockford IceHogs,AHL,8267,2,0,2,5,2,2,,,,,1.0,,,,,,,,,,,,
0,20192020,Charlotte Checkers,AHL,2357,18,8,30,57,30,26,,,,,20.0,,,,,,,,,,,,
0,20202021,Florida Panthers,National Hockey League,1,12,5,8,43,8,17,94.0,1.0,0.0,0.0,17.0,857:33,30.0,4.0,19:35,730:56,0.0,5.3,0.0,0.0,107:02,42.0,1114.0
0,20212022,Florida Panthers,National Hockey League,1,27,10,18,71,18,37,145.0,0.0,1.0,0.0,41.0,1506:52,45.0,0.0,12:42,1318:29,0.0,6.9,1.0,0.0,175:41,86.0,2054.0
