,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points
0,20082009,Airdrie Xtreme Bantam AAA,AMBHL,54198,1,2,2,1,2,0.0,3
0,20092010,Airdrie Xtreme Bantam AAA,AMBHL,54198,29,30,36,27,36,0.0,59
0,20102011,Airdrie CFR Bisons,AMHL,36977,33,20,16,33,16,0.0,53
0,20112012,Kootenay Ice,WHL,8616,1,1,2,17,2,-3.0,2
0,20122013,Kootenay Ice,WHL,8616,25,20,24,66,24,3.0,45
0,20132014,Kootenay Ice,WHL,8616,46,31,31,71,31,2.0,77
0,20142015,Kootenay Ice,WHL,8616,52,30,28,71,28,16.0,82
0,20152016,Red Deer Rebels,M-Cup,9111,1,2,0,4,0,-3.0,3
0,20152016,Winnipeg Ice,WHL,9601,16,13,30,22,30,-7.0,29
0,20152016,Red Deer Rebels,WHL,9631,8,8,6,17,6,7.0,16
0,20162017,Univ. of Alberta,USports,12772,8,10,33,26,33,,18
0,20172018,Univ. of Alberta,USports,12772,29,11,14,28,14,,40
0,20182019,Univ. of Alberta,USports,12772,24,21,30,24,30,,45
0,20192020,Stockton Heat,AHL,186037,12,19,20,52,20,2.0,31
0,20202021,Stockton Heat,AHL,186037,9,8,8,30,8,-1.0,17
0,20212022,Stockton Heat,AHL,186037,23,21,16,66,16,24.0,44
