,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,powerPlayGoals,shortHandedGoals,gameWinningGoals,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20092010,SSAC Lions Bantam AAA,AMBHL,47158,0,0,0,2,0,0.0,0,,,,,,,,,,,,,,,,
0,20102011,SSAC Lions Bantam AAA,AMBHL,47158,28,11,18,33,18,0.0,39,,,,,,,,,,,,,,,,
0,20112012,SSAC Bulldogs,AMMHL,1,20,13,24,26,24,,33,,,,,,,,,,,,,,,,
0,20122013,SSAC Athletics,AMHL,1,27,25,26,34,26,,52,,,,,,,,,,,,,,,,
0,20132014,Swift Current,WHL,1,24,15,21,72,21,8.0,39,6.0,0.0,,,,,,,,,,,,,,
0,20142015,Swift Current,WHL,1,39,42,40,72,40,-9.0,81,13.0,0.0,4.0,,,,,,,,,,,,,
0,20152016,Swift Current,WHL,1,17,9,15,24,15,-5.0,26,2.0,2.0,,,,,,,,,,,,,,
0,20152016,Red Deer,WHL,2,27,12,32,37,32,15.0,39,3.0,0.0,,,,,,,,,,,,,,
0,20152016,Red Deer Rebels,M-Cup,9111,3,1,0,4,0,-4.0,4,,,,,,,,,,,,,,,,
0,20152016,Swift Current Broncos,WHL,9491,17,9,15,24,15,-5.0,26,,,,,,,,,,,,,,,,
0,20152016,Red Deer Rebels,WHL,9631,27,12,32,37,32,15.0,39,,,,,,,,,,,,,,,,
0,20162017,Providence Bruins,AHL,897,30,19,30,74,30,11.0,49,,,,,,,,,,,,,,,,
0,20172018,Boston Bruins,National Hockey League,1,27,16,19,70,19,13.0,43,2.0,0.0,5.0,1005:59,143.0,70.0,9.0,126:19,874:01,43.33,11.19,0.0,0.0,05:39,26.0,1272.0
0,20182019,Boston Bruins,National Hockey League,1,15,27,18,68,18,2.0,42,8.0,0.0,4.0,1099:00,156.0,45.0,11.0,181:14,902:22,21.05,17.31,0.0,0.0,15:24,24.0,1319.0
0,20192020,Boston Bruins,National Hockey League,1,16,19,14,65,14,-1.0,35,7.0,0.0,5.0,1043:18,161.0,35.0,10.0,166:25,876:26,34.62,11.8,0.0,0.0,00:27,15.0,1229.0
0,20202021,Boston Bruins,National Hockey League,1,9,5,6,41,6,1.0,14,2.0,0.0,1.0,610:39,92.0,33.0,3.0,56:28,525:12,40.0,5.4,0.0,0.0,28:59,20.0,788.0
0,20212022,Boston Bruins,National Hockey League,1,17,25,10,77,10,6.0,42,3.0,0.0,8.0,1157:48,184.0,62.0,4.0,100:12,1009:11,45.45,13.6,2.0,0.0,48:25,25.0,1504.0
