,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,faceOffPct,points,powerPlayGoals,shortHandedGoals,plusMinus,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,shotPct,gameWinningGoals,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20062007,Cent. Ont. Wolves,Minor-ON,1,37,69,36,52,36,0.0,106,,,,,,,,,,,,,,,,
0,20072008,Brampton,OHL,1,20,30,22,64,22,,50,8.0,1.0,-2.0,,,,,,,,,,,,,
0,20072008,Canada,WJ18-A,2,3,5,6,7,6,0.0,8,,,,,,,,,,,,,,,,
0,20082009,Brampton,OHL,1,48,31,42,57,42,,79,12.0,4.0,32.0,,,,,,,,,,,,,
0,20092010,Colorado Avalanche,National Hockey League,1,31,24,16,81,16,44.03,55,10.0,1.0,1.0,1436:22,180.0,51.0,21.0,246:52,1155:03,13.33,2.0,0.0,1.0,34:27,28.0,1879.0
0,20092010,Canada,WC-A,5,3,4,0,7,0,0.0,7,,,,,,,,,,,,,,,,
0,20102011,Colorado Avalanche,National Hockey League,1,40,27,33,80,33,50.4,67,3.0,0.0,-8.0,1515:35,202.0,57.0,15.0,227:57,1281:49,13.37,2.0,1.0,0.0,05:49,48.0,1846.0
0,20102011,Canada,WC-A,2,0,0,2,7,2,,0,0.0,0.0,1.0,,,,,,,,0.0,,,,,
0,20112012,Colorado Avalanche,National Hockey League,1,14,14,8,58,8,51.15,28,5.0,0.0,-11.0,944:44,132.0,43.0,9.0,139:40,802:34,10.61,2.0,1.0,0.0,02:30,41.0,1172.0
0,20122013,Colorado Avalanche,National Hockey League,1,26,17,12,47,12,54.65,43,2.0,0.0,-12.0,983:16,132.0,48.0,9.0,132:26,745:51,12.88,3.0,1.0,1.0,104:59,47.0,1268.0
0,20122013,Canada,WC-A,3,1,4,0,8,0,,5,0.0,0.0,3.0,,,,,,,,0.0,,,,,
0,20122013,Ambri,Swiss,4,3,2,2,4,2,,5,,,,,,,,,,,,,,,,
0,20122013,Frolunda,Sweden,99,10,4,12,19,12,,14,,,,,,,,,,,,,,,,
0,20132014,Colorado Avalanche,National Hockey League,1,47,23,19,71,19,50.28,70,5.0,0.0,8.0,1313:16,217.0,53.0,17.0,193:58,1100:23,10.6,6.0,1.0,0.0,18:55,44.0,1563.0
0,20132014,Canada,Olympics,2,0,0,0,4,0,,0,0.0,0.0,1.0,,6.0,,,,,,0.0,,,,,
0,20142015,Colorado Avalanche,National Hockey League,1,34,21,16,82,16,52.18,55,2.0,0.0,3.0,1522:53,207.0,43.0,7.0,188:42,1321:28,10.14,4.0,0.0,0.0,12:43,74.0,1852.0
0,20142015,Canada,WC-A,2,8,4,2,10,2,,12,0.0,0.0,10.0,,23.0,,,,,,1.0,,,,,
0,20152016,Colorado Avalanche,National Hockey League,1,29,30,24,76,24,57.92,59,8.0,0.0,-8.0,1412:53,200.0,41.0,15.0,212:59,1184:54,15.0,6.0,0.0,0.0,15:00,37.0,1746.0
0,20152016,Canada,WC-A,2,5,5,2,10,2,,10,1.0,0.0,10.0,,22.0,,,,,,0.0,,,,,
0,20152016,Canada,WC,17155,5,5,2,10,2,,10,,,10.0,,,,,,,,,,,,,
0,20162017,Colorado Avalanche,National Hockey League,1,23,18,12,77,12,62.57,41,3.0,1.0,-34.0,1409:25,160.0,42.0,9.0,193:21,1142:20,11.25,3.0,1.0,1.0,73:44,41.0,1797.0
0,20162017,Canada,WC,17155,0,1,0,10,0,,1,,,2.0,,,,,,,,,,,,,
0,20162017,Canada,WCup,17216,2,2,2,6,2,,4,,,3.0,,,,,,,,,,,,,
0,20172018,Colorado Avalanche,National Hockey League,1,6,4,4,14,4,56.5,10,1.0,0.0,1.0,220:45,23.0,6.0,1.0,33:07,180:16,17.39,1.0,0.0,0.0,07:22,3.0,286.0
0,20172018,Ottawa Senators,National Hockey League,2,26,23,14,68,14,52.34,49,8.0,0.0,-23.0,1282:29,167.0,54.0,12.0,186:42,1082:27,13.77,2.0,1.0,0.0,13:20,46.0,1550.0
0,20182019,Ottawa Senators,National Hockey League,1,31,27,6,50,6,55.06,58,5.0,0.0,-2.0,962:10,126.0,17.0,12.0,133:51,816:32,21.43,1.0,0.0,0.0,11:47,28.0,1130.0
0,20182019,Columbus Blue Jackets,National Hockey League,2,8,4,2,23,2,55.92,12,1.0,0.0,-1.0,412:44,46.0,11.0,2.0,53:37,358:32,8.7,0.0,0.0,0.0,00:35,12.0,471.0
0,20192020,Nashville Predators,National Hockey League,1,29,13,24,66,24,56.12,42,5.0,0.0,-4.0,1114:07,136.0,40.0,11.0,174:38,937:57,9.6,1.0,0.0,0.0,01:32,22.0,1337.0
0,20202021,Nashville Predators,National Hockey League,1,7,6,6,34,6,53.82,13,1.0,0.0,-12.0,538:18,73.0,30.0,3.0,79:44,457:37,8.2,0.0,0.0,0.0,00:57,10.0,652.0
0,20212022,Nashville Predators,National Hockey League,1,43,43,38,78,38,54.09,86,16.0,0.0,6.0,1483:04,228.0,31.0,29.0,247:10,1234:19,18.9,6.0,3.0,0.0,01:35,28.0,1698.0
