,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20092010,Van. NW Giants,BCMML,2,0,2,0,5,0,2,,,,,,,,,,,,,,,,,
0,20102011,Van. NW Giants,BCMML,1,40,38,6,34,6,78,,,,,,,,,,,,,,,,,
0,20102011,Kootenay,WHL,2,0,2,0,4,0,2,0.0,1.0,0.0,4.0,,,,,,,,,,,,,
0,20112012,Kootenay,WHL,1,34,28,2,67,2,62,6.0,5.0,0.0,16.0,,,,,,,,,,,,,
0,20122013,Kootenay,WHL,1,50,35,22,72,22,85,9.0,7.0,2.0,8.0,,,,,,,,,,,,,
0,20132014,Kootenay,WHL,1,69,36,11,60,11,105,12.0,6.0,2.0,24.0,,,,,,,,,,,,,
0,20142015,Buffalo Sabres,National Hockey League,1,1,0,2,9,2,1,0.0,0.0,0.0,-1.0,93:16,3.0,3.0,0.0,01:06,92:10,24.42,0.0,0.0,0.0,00:00,5.0,111.0
0,20142015,Kootenay,WHL,2,46,19,20,47,20,65,7.0,2.0,1.0,6.0,,,,,,,,,,,,,
0,20142015,Canada,WJC-A,3,6,5,6,7,6,11,1.0,3.0,0.0,13.0,,20.0,,,,,,,,,,,
0,20142015,Rochester,AHL,4,3,0,0,3,0,3,0.0,0.0,0.0,0.0,,5.0,,,,,,0.0,,,,,
0,20152016,Buffalo Sabres,National Hockey League,1,19,23,8,79,8,42,8.0,3.0,0.0,-8.0,1330:03,165.0,26.0,10.0,231:44,1096:19,33.33,13.94,0.0,0.0,02:00,26.0,1605.0
0,20152016,Canada,WC-A,2,4,0,0,10,0,4,0.0,0.0,0.0,3.0,,7.0,,,,,,,,,,,
0,20152016,Canada,WC,17155,4,0,0,10,0,4,,,,3.0,,,,,,,,,,,,,
0,20162017,Buffalo Sabres,National Hockey League,1,30,17,8,79,8,47,9.0,3.0,0.0,-11.0,1360:09,178.0,21.0,17.0,231:43,1124:27,40.95,9.55,0.0,0.0,03:59,40.0,1592.0
0,20172018,Buffalo Sabres,National Hockey League,1,25,25,26,82,26,50,12.0,5.0,0.0,-24.0,1402:19,188.0,48.0,21.0,270:19,1131:04,39.44,13.3,0.0,0.0,00:56,42.0,1718.0
0,20182019,Buffalo Sabres,National Hockey League,1,43,22,16,82,16,65,2.0,1.0,0.0,-10.0,1554:32,180.0,38.0,15.0,262:09,1286:29,35.63,12.22,0.0,0.0,05:54,47.0,1730.0
0,20182019,Canada,WC,17155,2,3,0,10,0,5,,,,3.0,,,,,,,,,,,,,
0,20192020,Buffalo Sabres,National Hockey League,1,28,22,20,69,20,50,5.0,2.0,0.0,-15.0,1423:22,144.0,36.0,12.0,239:00,1181:00,35.71,15.3,0.0,0.0,03:22,27.0,1598.0
0,20202021,Buffalo Sabres,National Hockey League,1,15,25,10,54,10,40,10.0,5.0,0.0,-28.0,1055:06,130.0,15.0,16.0,164:20,888:35,45.65,19.2,0.0,0.0,02:11,27.0,1194.0
0,20212022,Florida Panthers,National Hockey League,1,49,33,13,78,13,82,16.0,6.0,0.0,25.0,1385:11,186.0,49.0,31.0,261:20,1073:35,48.47,17.7,0.0,2.0,50:16,30.0,1596.0
