,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,shots,powerPlayGoals,gameWinningGoals,shortHandedGoals,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20092010,HC Letnany U16,Czech U16,83597,1,4,2,17,2,-10.0,5,,,,,,,,,,,,,,,,
0,20102011,Letnany U18,CzR-U18,1,10,19,10,26,10,,29,,,,,,,,,,,,,,,,
0,20112012,Linkoping U18,Swe-U18,1,17,28,6,32,6,,45,,,,,,,,,,,,,,,,
0,20112012,Linkoping Jr.,Swe-Jr.,2,0,1,2,3,2,,1,,,,,,,,,,,,,,,,
0,20122013,Linkoping U18,Swe-U18,1,2,3,2,3,2,,5,,,,,,,,,,,,,,,,
0,20122013,Linkoping Jr.,Swe-Jr.,2,12,20,49,32,49,,32,,,,,,,,,,,,,,,,
0,20122013,Linkoping,Sweden,3,0,0,0,5,0,,0,,,,,,,,,,,,,,,,
0,20132014,Linkoping U18,Swe-U18,1,0,0,0,1,0,,0,,,,,,,,,,,,,,,,
0,20132014,Linkoping Jr.,Swe-Jr.,2,11,14,26,24,26,,25,,,,,,,,,,,,,,,,
0,20132014,Linkoping,Sweden,3,1,2,2,24,2,,3,,,,,,,,,,,,,,,,
0,20132014,Czech Republic,WJ18-A,4,2,8,4,7,4,3.0,10,30.0,1.0,2.0,0.0,,,,,,,,,,,,
0,20142015,Linkoping,Sweden,1,12,12,12,44,12,,24,,,,,,,,,,,,,,,,
0,20142015,Czech Republic,WJC-A,2,1,2,2,5,2,2.0,3,23.0,0.0,0.0,0.0,,,,,,,,,,,,
0,20142015,Hershey,AHL,3,5,0,0,3,0,2.0,5,7.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
0,20152016,Hershey,AHL,1,18,16,20,36,20,7.0,34,101.0,5.0,1.0,0.0,15.8,,,,,,,,,,,
0,20152016,Hershey Bears,AHL,997,18,16,20,36,20,7.0,34,,,,,,,,,,,,,,,,
0,20162017,Washington Capitals,National Hockey League,1,3,3,2,21,2,2.0,6,32.0,3.0,2.0,0.0,9.38,233:17,6.0,4.0,37:56,195:21,0.0,0.0,0.0,00:00,7.0,291.0
0,20162017,Hershey Bears,AHL,997,17,19,28,49,28,12.0,36,,,,,,,,,,,,,,,,
0,20172018,Washington Capitals,National Hockey League,1,14,13,12,73,12,2.0,27,133.0,1.0,2.0,0.0,9.77,912:24,31.0,3.0,48:54,863:14,52.0,0.0,0.0,00:16,16.0,1140.0
0,20182019,Washington Capitals,National Hockey League,1,23,24,27,82,27,20.0,47,161.0,1.0,4.0,0.0,14.91,1151:18,47.0,4.0,93:17,1057:31,40.0,0.0,0.0,00:30,32.0,1415.0
0,20182019,Czechia,WC,17015,1,4,0,9,0,4.0,5,,,,,,,,,,,,,,,,
0,20192020,Washington Capitals,National Hockey League,1,27,25,18,69,18,3.0,52,187.0,1.0,6.0,0.0,13.4,1026:53,29.0,12.0,134:00,891:29,54.55,1.0,0.0,01:24,16.0,1232.0
0,20202021,Washington Capitals,National Hockey League,1,14,11,8,39,8,9.0,25,68.0,0.0,4.0,0.0,16.2,560:22,26.0,4.0,91:19,468:24,40.0,1.0,0.0,00:39,4.0,737.0
0,20202021,Detroit Red Wings,National Hockey League,2,3,8,2,11,2,1.0,11,32.0,0.0,3.0,0.0,25.0,189:59,3.0,1.0,21:51,168:07,50.0,0.0,0.0,00:01,4.0,222.0
0,20202021,Czechia,WC,17015,2,2,4,7,4,1.0,4,,,,,,,,,,,,,,,,
0,20212022,Detroit Red Wings,National Hockey League,1,6,13,16,26,16,-8.0,19,65.0,5.0,3.0,0.0,20.0,388:16,14.0,6.0,61:00,327:13,33.33,0.0,0.0,00:03,9.0,473.0
0,20212022,Czechia,WC,17015,0,1,4,10,4,0.0,1,,,,,,,,,,,,,,,,
