,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20022003,Peninsula Panthers,VIJHL,54867,0,0,0,2,0,0.0,0,,,,,,,,,,,,,,,,
0,20032004,Peninsula Panthers,VIJHL,54867,3,2,2,9,2,0.0,5,,,,,,,,,,,,,,,,
0,20042005,Victoria Grizzlies,BCHL,21052,1,0,6,4,6,0.0,1,,,,,,,,,,,,,,,,
0,20052006,Victoria Grizzlies,BCHL,21052,20,5,61,55,61,0.0,25,,,,,,,,,,,,,,,,
0,20062007,Victoria,BCHL,1,37,4,62,53,62,,41,3.0,0.0,0.0,,,,,,,,,,,,,
0,20072008,Victoria,BCHL,1,32,15,78,60,78,,47,8.0,2.0,0.0,,,,,,,,,,,,,
0,20082009,Victoria,ECHL,1,11,1,26,55,26,-7.0,12,0.0,0.0,0.0,,,,,,,,,,,,,
0,20092010,Allen,CHL,1,9,9,55,45,55,0.0,18,,,,,,,,,,,,,,,,
0,20102011,Texas,AHL,1,10,2,39,60,39,,12,,,,,,,,,,,,,,,,
0,20112012,Dallas Stars,National Hockey League,1,2,0,0,3,0,1.0,2,0.0,0.0,0.0,41:52,1.0,3.0,0.0,02:42,36:55,0.0,0.0,0.0,0.0,02:15,2.0,58.0
0,20112012,Texas,AHL,2,23,9,33,62,33,-9.0,32,5.0,0.0,0.0,,130.0,,,,,,6.92,,,,,
0,20122013,Dallas Stars,National Hockey League,1,5,1,10,26,10,-4.0,6,1.0,0.0,0.0,450:13,31.0,25.0,1.0,38:23,360:29,0.0,3.23,0.0,0.0,51:21,31.0,631.0
0,20122013,Texas,AHL,2,14,7,33,43,33,5.0,21,5.0,3.0,0.0,,111.0,,,,,,6.31,,,,,
0,20132014,Dallas Stars,National Hockey League,1,17,3,30,78,30,16.0,20,1.0,0.0,0.0,1494:07,91.0,118.0,2.0,47:05,1313:12,100.0,3.3,0.0,1.0,133:50,122.0,1968.0
0,20142015,Dallas Stars,National Hockey League,1,14,2,34,73,34,-5.0,16,0.0,0.0,0.0,1318:48,70.0,92.0,2.0,49:39,1136:37,0.0,2.86,0.0,0.0,132:32,121.0,1902.0
0,20152016,Dallas Stars,National Hockey League,1,9,3,21,64,21,2.0,12,1.0,2.0,0.0,1001:47,58.0,90.0,1.0,16:59,860:39,0.0,5.17,0.0,1.0,124:09,94.0,1453.0
0,20162017,Dallas Stars,National Hockey League,1,13,2,24,58,24,-3.0,15,0.0,0.0,0.0,1079:26,59.0,52.0,2.0,70:01,864:25,0.0,3.39,0.0,1.0,145:00,113.0,1514.0
0,20162017,Montréal Canadiens,National Hockey League,2,0,2,4,13,4,-1.0,2,0.0,1.0,0.0,218:54,9.0,12.0,0.0,00:00,195:38,0.0,22.22,0.0,0.0,23:16,31.0,298.0
0,20172018,Montréal Canadiens,National Hockey League,1,11,4,34,77,34,-2.0,15,0.0,0.0,0.0,1460:47,106.0,90.0,0.0,01:52,1289:45,0.0,3.77,0.0,0.0,169:10,153.0,2082.0
0,20182019,Montréal Canadiens,National Hockey League,1,17,5,39,81,39,15.0,22,0.0,1.0,0.0,1473:42,93.0,124.0,0.0,01:54,1246:40,0.0,5.38,0.0,0.0,225:08,128.0,1947.0
0,20192020,Vancouver Canucks,National Hockey League,1,6,1,17,44,17,-7.0,7,0.0,1.0,0.0,716:36,58.0,45.0,0.0,00:47,612:11,0.0,1.7,0.0,0.0,103:38,62.0,1000.0
0,20202021,Vancouver Canucks,National Hockey League,1,8,1,9,31,9,5.0,9,0.0,0.0,0.0,454:52,39.0,14.0,0.0,00:08,405:17,0.0,2.6,0.0,0.0,49:27,46.0,625.0
0,20202021,Winnipeg Jets,National Hockey League,2,1,0,0,8,0,2.0,1,0.0,0.0,0.0,120:35,6.0,5.0,0.0,00:00,116:39,0.0,0.0,0.0,0.0,03:56,5.0,154.0
0,20212022,Minnesota Wild,National Hockey League,1,7,1,10,39,10,1.0,8,0.0,0.0,0.0,584:12,37.0,51.0,0.0,01:39,548:57,0.0,2.7,0.0,0.0,33:36,41.0,761.0
