,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20132014,Miss. Senators,GTHL,1,8,9,71,26,71,17,,,,,,,,,,,,,,,,,
0,20142015,Barrie,OHL,1,4,0,20,31,20,4,0.0,0.0,0.0,3.0,,,,,,,,,,,,,
0,20142015,Guelph,OHL,2,8,7,56,30,56,15,1.0,1.0,0.0,4.0,,,,,,,,,,,,,
0,20152016,Guelph Storm,OHL,6238,19,23,146,65,146,42,,,,-27.0,,,,,,,,,,,,,
0,20162017,Grand Rapids Griffins,AHL,987,0,0,2,3,2,0,,,,-2.0,,,,,,,,,,,,,
0,20162017,Guelph Storm,OHL,6238,18,26,139,64,139,44,,,,-9.0,,,,,,,,,,,,,
0,20172018,Guelph Storm,OHL,6238,3,8,14,19,14,11,,,,-5.0,,,,,,,,,,,,,
0,20172018,Kitchener Rangers,OHL,9418,10,9,36,27,36,19,,,,6.0,,,,,,,,,,,,,
0,20182019,Grand Rapids Griffins,AHL,987,7,6,86,64,86,13,,,,2.0,,,,,,,,,,,,,
0,20192020,Detroit Red Wings,National Hockey League,1,1,2,9,21,9,3,0.0,0.0,0.0,-2.0,203:20,22.0,42.0,0.0,28:02,175:18,0.0,9.1,0.0,0.0,00:00,3.0,259.0
0,20192020,Grand Rapids Griffins,AHL,987,10,9,75,37,75,19,,,,-6.0,,,,,,,,,,,,,
0,20202021,Detroit Red Wings,National Hockey League,1,3,1,21,16,21,4,0.0,1.0,0.0,-5.0,169:25,20.0,28.0,0.0,11:14,157:48,0.0,5.0,0.0,0.0,00:23,4.0,232.0
0,20202021,Grand Rapids Griffins,AHL,987,6,9,54,25,54,15,,,,-5.0,,,,,,,,,,,,,
0,20212022,Detroit Red Wings,National Hockey League,1,3,4,108,46,108,7,0.0,0.0,0.0,-6.0,389:43,50.0,86.0,0.0,00:02,389:31,50.0,8.0,0.0,0.0,00:10,20.0,553.0
