,season,team,league,sequenceNumber,timeOnIce,assists,goals,pim,games,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shortHandedTimeOnIce,points,shifts,powerPlayGoals,shortHandedGoals,plusMinus,shots,hits,powerPlayPoints,shotPct,gameWinningGoals,overTimeGoals,shortHandedPoints,blocked
0,20052006,Tor. Jr. Canadiens,GTHL,1,00:00,31,13,33,44,00:00,00:00,33,0.0,00:00,44,0.0,,,,,,,,,,,
0,20062007,Mississauga,OHL,1,,45,7,45,59,,,45,0.0,,52,,3.0,0.0,40.0,,,,,,,,
0,20072008,Niagara,OHL,1,,40,13,94,60,,,94,,,53,,6.0,2.0,29.0,,,,,,,,
0,20082009,St. Louis Blues,National Hockey League,1,132:07,1,0,2,8,19:12,111:26,2,0.0,01:29,1,171.0,0.0,0.0,0.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0
0,20082009,Canada,WJC-A,2,,2,1,0,6,,,0,0.0,,3,,,,,,,,,,,,
0,20082009,Peoria,AHL,3,,0,0,4,1,,,4,,,0,,0.0,0.0,0.0,,,,,0.0,,,
0,20082009,Niagara,OHL,4,,21,8,32,36,,,32,,,29,,2.0,0.0,1.0,,,,,,,,
0,20092010,St. Louis Blues,National Hockey League,1,149:10,1,1,6,9,24:09,123:51,6,0.0,01:10,2,207.0,0.0,0.0,-9.0,7.0,4.0,1.0,14.29,0.0,0.0,0.0,7.0
0,20092010,Barrie,OHL,2,,20,9,27,25,,,27,,,29,,4.0,1.0,20.0,,,,,,,,
0,20092010,Canada,WJC-A,3,,9,3,14,6,,,14,0.0,,12,,,,,,,,,,,,
0,20102011,St. Louis Blues,National Hockey League,1,1738:05,32,11,19,79,237:21,1344:07,19,0.0,156:37,43,2229.0,4.0,0.0,18.0,161.0,57.0,14.0,6.83,1.0,0.0,1.0,121.0
0,20102011,Canada,WC-A,2,,3,2,2,7,,,2,,,5,,0.0,0.0,9.0,,,,,1.0,,,
0,20112012,St. Louis Blues,National Hockey League,1,2003:14,39,12,36,81,233:03,1510:22,36,0.0,259:49,51,2668.0,6.0,0.0,16.0,202.0,90.0,24.0,5.94,6.0,1.0,1.0,133.0
0,20122013,St. Louis Blues,National Hockey League,1,1180:18,19,5,10,47,134:11,904:02,10,0.0,142:05,24,1524.0,2.0,0.0,0.0,93.0,24.0,6.0,5.38,0.0,0.0,1.0,101.0
0,20132014,St. Louis Blues,National Hockey League,1,2054:05,43,8,32,81,227:29,1554:32,32,0.0,272:04,51,2583.0,2.0,0.0,20.0,164.0,24.0,18.0,4.88,1.0,0.0,1.0,164.0
0,20132014,Canada,Olympics,2,,1,0,0,6,,,0,,,1,,0.0,0.0,4.0,12.0,,,,0.0,,,
0,20142015,St. Louis Blues,National Hockey League,1,2058:07,39,7,28,81,197:44,1610:49,28,0.0,249:34,46,2570.0,1.0,0.0,-2.0,195.0,70.0,12.0,3.59,2.0,0.0,0.0,161.0
0,20152016,St. Louis Blues,National Hockey League,1,1920:15,30,7,20,73,167:21,1520:05,20,0.0,232:49,37,2257.0,1.0,0.0,10.0,182.0,48.0,5.0,3.85,1.0,1.0,1.0,136.0
0,20162017,St. Louis Blues,National Hockey League,1,2022:33,34,14,24,80,196:07,1584:25,24,0.0,242:01,48,2468.0,6.0,0.0,3.0,181.0,38.0,19.0,7.73,4.0,0.0,0.0,158.0
0,20162017,Canada,WCup,17216,,2,1,2,6,,,2,,,3,,,,5.0,,,,,,,,
0,20172018,St. Louis Blues,National Hockey League,1,2007:27,39,15,22,78,237:09,1588:28,22,0.0,181:50,54,2179.0,3.0,0.0,8.0,216.0,48.0,13.0,6.94,5.0,1.0,1.0,164.0
0,20182019,St. Louis Blues,National Hockey League,1,1709:28,28,13,22,71,195:30,1367:50,22,0.0,146:08,41,2061.0,3.0,0.0,2.0,168.0,62.0,15.0,7.74,2.0,0.0,1.0,139.0
0,20192020,St. Louis Blues,National Hockey League,1,1692:50,36,16,20,70,216:41,1347:28,20,0.0,128:41,52,1998.0,6.0,0.0,11.0,225.0,47.0,22.0,7.1,3.0,0.0,1.0,89.0
0,20202021,Vegas Golden Knights,National Hockey League,1,1001:44,16,7,16,41,108:18,801:53,16,0.0,91:33,23,1095.0,0.0,0.0,20.0,126.0,28.0,4.0,5.6,2.0,1.0,1.0,80.0
0,20212022,Vegas Golden Knights,National Hockey League,1,1971:54,31,13,42,80,177:03,1598:57,42,0.0,195:54,44,2173.0,3.0,1.0,7.0,227.0,66.0,13.0,5.7,0.0,0.0,4.0,164.0
