,season,team,league,sequenceNumber,savePercentage,goalAgainstAverage,games,timeOnIce,ot,shutouts,ties,wins,losses,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,shotsAgainst,goalsAgainst,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
0,20162017,Dizel Penza,VHL,18377,0.918,2.27,8,,,,,,,,,,,,,,,,,,,
0,20162017,Dizelist Penza,NMHL,82960,0.915,1.66,6,,,,,,,,,,,,,,,,,,,
0,20172018,Kapitan Stupino,MHL,19502,0.917,3.28,31,,,,,,,,,,,,,,,,,,,
0,20182019,Russia U20,WJC-20,17546,0.953,1.45,5,,,,,,,,,,,,,,,,,,,
0,20182019,Ryazan-VDV,VHL,28907,0.93,2.13,18,,,,,,,,,,,,,,,,,,,
0,20182019,HK Sochi,KHL,172104,0.911,2.57,2,,,,,,,,,,,,,,,,,,,
0,20192020,SKA St. Petersburg,KHL,2434,0.887,2.62,6,,,,,,,,,,,,,,,,,,,
0,20192020,Vityaz Podolsk,KHL,2454,0.917,3.09,8,,,,,,,,,,,,,,,,,,,
0,20192020,SKA-Neva St. Petersburg,VHL,46357,0.94,1.95,2,,,,,,,,,,,,,,,,,,,
0,20192020,Russkie Vityazi Chekhov,MHL,49792,0.908,3.5,2,,,,,,,,,,,,,,,,,,,
0,20202021,Torpedo Nizhny Novgorod,KHL,2444,0.931,2.63,6,,,,,,,,,,,,,,,,,,,
0,20202021,Vityaz Podolsk,KHL,2454,0.909,2.69,4,,,,,,,,,,,,,,,,,,,
0,20202021,Ryazan-VDV,VHL,28907,0.904,2.46,5,,,,,,,,,,,,,,,,,,,
0,20212022,Carolina Hurricanes,National Hockey League,1,0.902,2.42261,3,148:36,0.0,0.0,0.0,3.0,0.0,55.0,8.0,2.0,45.0,2.0,49.0,10.0,2.0,61.0,6.0,80.0,100.0,91.83673469387756
0,20212022,Chicago Wolves,AHL,957,0.921,2.09,15,,,,,,,,,,,,,,,,,,,
0,20212022,Torpedo Nizhny Novgorod,KHL,2444,0.926,2.23,23,,,,,,,,,,,,,,,,,,,
