,season,team,league,sequenceNumber,timeOnIce,shutouts,goalAgainstAverage,games,goalsAgainst,ties,wins,losses,saves,savePercentage,shotsAgainst,ot,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
0,20072008,Miss. Senators,GTHL,1,1305:00,2.0,2.17,29,63.0,,,,,,,,,,,,,,,,,
0,20082009,Plymouth,OHL,1,158:00,0.0,4.56,6,12.0,0.0,0.0,2.0,88.0,0.88,100.0,,,,,,,,,,,
0,20092010,Plymouth,OHL,1,938:00,1.0,3.262,18,51.0,0.0,5.0,9.0,507.0,0.909,558.0,,,,,,,,,,,
0,20102011,Plymouth,OHL,1,3046:00,2.0,2.994,55,152.0,2.0,28.0,18.0,1500.0,0.908,1652.0,,,,,,,,,,,
0,20112012,Plymouth,OHL,1,2482:00,3.0,3.02,43,125.0,3.0,28.0,10.0,1278.0,0.911,1403.0,,,,,,,,,,,
0,20112012,Canada,WJC-A,2,149:00,1.0,2.42,3,6.0,0.0,2.0,0.0,65.0,0.915493,71.0,,,,,,,,,,,
0,20122013,Trenton,ECHL,1,2741:00,1.0,3.22,48,147.0,5.0,20.0,22.0,1329.0,0.9,1476.0,,,,,,,,,,,
0,20122013,Albany,AHL,2,242:00,0.0,3.47,5,14.0,0.0,2.0,2.0,109.0,0.886,123.0,,,,,,,,,,,
0,20132014,Albany,AHL,1,1980:00,4.0,2.39,36,79.0,3.0,16.0,14.0,702.0,0.899,781.0,,,,,,,,,,,
0,20142015,Albany,AHL,1,2014:00,2.0,2.74,36,92.0,6.0,13.0,14.0,859.0,0.903,951.0,,,,,,,,,,,
0,20142015,Albany Devils,AHL,70157,,,2.74,36,,,,,,0.903,,,,,,,,,,,,
0,20152016,New Jersey Devils,National Hockey League,1,240:45,1.0,1.246106,4,5.0,,2.0,1.0,111.0,0.956897,116.0,1.0,17.0,2.0,92.0,2.0,96.0,18.0,4.0,94.44444444444444,100.0,95.83333333333334
0,20152016,Adirondack,ECHL,3,60:00,0.0,2.0,1,2.0,0.0,1.0,0.0,,,,,,,,,,,,,,
0,20152016,Albany Devils,AHL,70157,,,1.55,22,,,,,,0.933,,,,,,,,,,,,
0,20152016,Adirondack Thunder,ECHL,185555,,,2.0,1,,,,,,0.951,,,,,,,,,,,,
0,20162017,Albany Devils,AHL,70157,,,2.18,10,,,,,,0.912,,,,,,,,,,,,
0,20172018,Arizona Coyotes,National Hockey League,2,1096:30,1.0,3.447332,20,63.0,0.0,5.0,9.0,524.0,0.892675,587.0,4.0,42.0,13.0,469.0,16.0,520.0,51.0,17.0,82.35294117647058,81.25,90.1923076923077
0,20172018,Ontario Reign,AHL,26957,,,3.21,6,,,,,,0.901,,,,,,,,,,,,
0,20172018,Binghamton Devils,AHL,233827,,,1.0,1,,,,,,0.973,,,,,,,,,,,,
0,20182019,Rochester Americans,AHL,1047,,,2.68,48,,,,,,0.908,,,,,,,,,,,,
0,20192020,Syracuse Crunch,AHL,1057,,,3.01,26,,,,,,0.893,,,,,,,,,,,,
0,20202021,New Jersey Devils,National Hockey League,1,888:02,2.0,3.108,16,46.0,0.0,3.0,8.0,412.0,0.9,458.0,3.0,52.0,7.0,353.0,8.0,388.0,62.0,15.0,83.87096774193549,87.5,90.97938144329896
0,20212022,New Jersey Devils,National Hockey League,1,169:26,0.0,3.18709,3,9.0,0.0,0.0,2.0,66.0,0.88,75.0,1.0,5.0,2.0,59.0,2.0,66.0,7.0,2.0,71.42857142857143,100.0,89.39393939393939
0,20212022,Arizona Coyotes,National Hockey League,2,1481:26,0.0,3.1591,26,78.0,0.0,10.0,12.0,800.0,0.911,878.0,2.0,117.0,19.0,664.0,19.0,727.0,132.0,23.0,88.63636363636364,100.0,91.33425034387895
0,20212022,Dallas Stars,National Hockey League,3,452:16,1.0,3.0513,8,23.0,0.0,3.0,1.0,242.0,0.913,265.0,3.0,22.0,4.0,216.0,5.0,235.0,25.0,7.0,88.0,80.0,91.91489361702128
