,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,shortHandedGoals,plusMinus,gameWinningGoals,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20082009,Notre Dame,Minor-SK,1,43,41,10,43,10,84,,,,,,,,,,,,,,,,,
0,20092010,Notre Dame,SMHL,1,37,18,20,43,20,55,,,,,,,,,,,,,,,,,
0,20102011,Moose Jaw,WHL,1,22,6,21,65,21,28,3.0,0.0,-15.0,,,,,,,,,,,,,,
0,20112012,Moose Jaw,WHL,1,15,3,2,18,2,18,0.0,0.0,6.0,,,,,,,,,,,,,,
0,20122013,Moose Jaw,WHL,1,42,12,19,60,19,54,6.0,0.0,-8.0,,,,,,,,,,,,,,
0,20122013,Canada,WJC-A,2,2,1,0,6,0,3,1.0,0.0,2.0,0.0,,,,,,,,,,,,,
0,20122013,Toronto,AHL,3,2,1,0,14,0,3,0.0,0.0,-1.0,0.0,40.0,2.5,,,,,,,,,,,
0,20132014,Toronto Maple Leafs,National Hockey League,1,25,2,12,73,12,27,1.0,0.0,-13.0,0.0,96.0,2.08,1287:18,96.0,12.0,140:19,1136:41,0.0,0.0,0.0,10:18,92.0,1748.0
0,20132014,Canada,WC-A,2,2,1,0,7,0,3,1.0,0.0,3.0,1.0,5.0,,,,,,,,,,,,
0,20142015,Toronto Maple Leafs,National Hockey League,1,21,8,14,81,14,29,1.0,0.0,-16.0,0.0,148.0,5.41,1647:21,98.0,9.0,198:08,1388:36,0.0,0.0,0.0,60:37,103.0,2010.0
0,20152016,Toronto Maple Leafs,National Hockey League,1,27,9,28,82,28,36,2.0,1.0,-17.0,0.0,167.0,5.39,1904:37,58.0,8.0,149:54,1561:04,0.0,0.0,1.0,193:39,122.0,2493.0
0,20152016,Canada,WC-A,2,2,1,2,10,2,3,0.0,0.0,7.0,1.0,17.0,,,,,,,,,,,,
0,20152016,Canada,WC,17155,2,1,2,10,2,3,,,7.0,,,,,,,,,,,,,,
0,20162017,Toronto Maple Leafs,National Hockey League,1,21,6,21,76,21,27,1.0,0.0,-20.0,1.0,171.0,3.51,1684:49,46.0,5.0,73:38,1431:00,0.0,1.0,0.0,180:11,120.0,2335.0
0,20162017,Team North America,WCup,176776,1,1,0,3,0,2,,,0.0,,,,,,,,,,,,,,
0,20172018,Toronto Maple Leafs,National Hockey League,1,46,6,14,76,14,52,1.0,0.0,-4.0,0.0,182.0,3.3,1641:35,48.0,25.0,166:51,1388:01,0.0,0.0,0.0,86:43,84.0,2260.0
0,20182019,Toronto Maple Leafs,National Hockey League,1,52,20,14,82,14,72,3.0,0.0,24.0,5.0,223.0,8.97,1896:01,61.0,21.0,213:35,1594:13,0.0,2.0,0.0,88:13,114.0,2364.0
0,20192020,Toronto Maple Leafs,National Hockey League,1,24,3,24,47,24,27,0.0,0.0,6.0,2.0,123.0,2.4,1137:26,38.0,7.0,109:58,934:13,0.0,1.0,0.0,93:15,67.0,1323.0
0,20202021,Toronto Maple Leafs,National Hockey League,1,30,5,14,55,14,35,1.0,0.0,11.0,1.0,101.0,5.0,1298:41,63.0,12.0,160:30,1116:02,0.0,1.0,1.0,22:09,61.0,1425.0
0,20212022,Toronto Maple Leafs,National Hockey League,1,58,10,40,82,40,68,2.0,0.0,16.0,3.0,221.0,4.5,1946:31,92.0,23.0,237:29,1570:26,0.0,0.0,3.0,138:36,87.0,2242.0
