,season,team,league,sequenceNumber,assists,goals,games,points,pim,powerPlayGoals,penaltyMinutes,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20072008,Salisbury,High-CT,1,10,8,23,18,,,,,,,,,,,,,,,,,,,
0,20082009,USNTDP,NAHL,1,24,11,38,35,14.0,3.0,14,0.0,1.0,26.0,,,,,,,,,,,,,
0,20082009,USNTDP,U-17,2,9,9,14,18,8.0,,8,,,,,,,,,,,,,,,,
0,20082009,USNTDP,U-18,3,8,6,13,14,14.0,,14,,,,,,,,,,,,,,,,
0,20082009,United States,WJ18-A,4,0,4,7,4,12.0,1.0,12,1.0,0.0,5.0,,,,,,,,,,,,,
0,20092010,USNTDP,USHL,1,14,15,24,29,19.0,2.0,19,2.0,1.0,20.0,,,,,,,,,,,,,
0,20092010,USNTDP,U-18,2,12,13,30,25,12.0,,12,,,,,,,,,,,,,,,,
0,20092010,U.S.A.,WJ18-A,3,3,1,7,4,4.0,0.0,4,0.0,0.0,2.0,,,,,,,,,,,,,
0,20102011,Boston University,H-East,1,13,10,39,23,16.0,,16,,,,,,,,,,,,,,,,
0,20112012,Boston University,H-East,1,26,16,37,42,26.0,5.0,26,3.0,1.0,,,,,,,,,,,,,,
0,20122013,Boston University,H-East,1,19,18,39,37,24.0,6.0,24,2.0,0.0,,,,,,,,,,,,,,
0,20122013,Worcester Sharks,AHL,19317,4,2,11,6,0.0,,0,,,-4.0,,,,,,,,,,,,,
0,20132014,San Jose Sharks,National Hockey League,1,14,10,66,24,16.0,1.0,16,2.0,0.0,-4.0,929:04,124.0,7.0,4.0,55:27,835:54,27.27,8.06,0.0,0.0,37:43,45.0,1377.0
0,20132014,Worcester,AHL,2,3,2,2,5,0.0,1.0,0,1.0,0.0,5.0,,8.0,,,,,,25.0,,,,,
0,20142015,San Jose Sharks,National Hockey League,1,17,10,72,27,20.0,1.0,20,1.0,0.0,-12.0,1098:23,135.0,24.0,4.0,68:54,957:07,0.0,7.41,0.0,1.0,72:22,38.0,1610.0
0,20152016,San Jose Sharks,National Hockey League,1,9,8,67,17,10.0,0.0,10,1.0,2.0,-8.0,881:41,90.0,33.0,1.0,04:46,796:13,25.0,8.89,0.0,2.0,80:42,33.0,1347.0
0,20162017,San Jose Sharks,National Hockey League,1,2,0,16,2,4.0,0.0,4,0.0,0.0,-3.0,195:25,24.0,23.0,0.0,02:10,170:26,0.0,0.0,0.0,0.0,22:49,8.0,301.0
0,20162017,Colorado Avalanche,National Hockey League,2,4,7,43,11,4.0,0.0,4,1.0,0.0,-9.0,685:09,61.0,18.0,0.0,30:45,578:49,50.0,11.48,0.0,1.0,75:35,26.0,912.0
0,20172018,Colorado Avalanche,National Hockey League,1,11,15,74,26,14.0,0.0,14,1.0,1.0,6.0,1103:16,84.0,27.0,0.0,06:29,928:10,30.77,17.86,0.0,1.0,168:37,56.0,1495.0
0,20182019,Colorado Avalanche,National Hockey League,1,19,4,64,23,8.0,0.0,8,1.0,1.0,2.0,881:19,86.0,50.0,0.0,03:34,709:31,52.94,4.65,0.0,3.0,168:14,26.0,1240.0
0,20192020,Colorado Avalanche,National Hockey League,1,13,8,70,21,6.0,0.0,6,3.0,2.0,7.0,945:14,85.0,37.0,0.0,02:04,778:28,40.0,9.4,0.0,2.0,164:42,23.0,1300.0
0,20202021,San Jose Sharks,National Hockey League,1,2,5,28,7,4.0,0.0,4,0.0,0.0,-4.0,391:51,45.0,25.0,0.0,03:14,310:48,57.14,11.1,0.0,0.0,77:49,19.0,547.0
0,20212022,San Jose Sharks,National Hockey League,1,11,6,70,17,19.0,0.0,19,0.0,0.0,-20.0,1008:15,82.0,96.0,0.0,04:51,880:50,15.38,7.3,0.0,0.0,122:34,47.0,1507.0
