,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points
0,20132014,Shattuck St. Mary's Bantam T1,Bantam,91025,48,48,132,65,132,0.0,96
0,20142015,Shattuck St. Mary's Midget Prep,USHS-Prep,23168,31,31,64,52,64,0.0,62
0,20152016,U.S. National U17 Team,USDP,19734,21,23,88,58,88,,44
0,20152016,USNTDP Juniors,USHL,52486,9,14,54,35,54,-12.0,23
0,20152016,USA U17,WHC-17,61270,3,2,6,5,6,,5
0,20162017,USA U18,WJC-18,17253,5,3,10,7,10,4.0,8
0,20162017,U.S. National U18 Team,USDP,19564,35,26,106,65,106,,61
0,20162017,USNTDP Juniors,USHL,52486,16,8,44,26,44,12.0,24
0,20172018,Univ. of North Dakota,NCAA,11930,13,9,35,38,35,4.0,22
0,20182019,Univ. of North Dakota,NCAA,11930,5,5,27,24,27,-3.0,10
0,20192020,Univ. of North Dakota,NCAA,11930,12,8,18,35,18,17.0,20
0,20202021,Univ. of North Dakota,NCAA,11930,9,10,35,20,35,8.0,19
0,20212022,Milwaukee Admirals,AHL,1017,6,6,20,57,20,-13.0,12
