,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points
0,20122013,HK Michalovce U18,Slovakia U18 2,59864,0,0,0,2,0,-3,0
0,20132014,HK Michalovce U18,Slovakia U18 2,59864,18,24,8,22,8,33,42
0,20142015,HK Spisska Nova Ves U18,Slovakia U18,45273,17,14,63,40,63,-2,31
0,20142015,HK Michalovce U18,Slovakia U18 2,59864,8,15,69,13,69,18,23
0,20152016,HK Michalovce U20,Slovakia U20,82355,0,1,4,7,4,-4,1
0,20152016,Team Slovakia U18,Slovakia U20,162365,8,5,22,34,22,5,13
0,20162017,Slovakia U18,WJC-18,17353,1,0,0,5,0,2,1
0,20162017,Team Slovakia U18,Slovakia U20,162365,22,15,28,44,28,25,37
0,20172018,Linköping HC J20,J20 Nationell,5939,3,7,24,44,24,4,10
0,20182019,Växjö Lakers HC J20,J20 Nationell,14929,16,11,18,42,18,8,27
0,20182019,Slovakia U20,WJC-20,17376,2,1,2,5,2,1,3
0,20192020,Kiekko-Vantaa,Mestis,4697,1,0,0,1,0,1,1
0,20192020,Jokerit U20,U20 SM-sarja,25980,18,15,88,47,88,10,33
0,20202021,HK Dukla Michalovce,Slovakia,12788,14,11,64,50,64,3,25
0,20212022,HK Dukla Michalovce,Slovakia,12788,24,15,55,43,55,17,39
0,20212022,Slovakia,OG,17072,3,1,6,7,6,5,4
0,20212022,Slovakia,WC,17315,1,5,4,8,4,-4,6
