,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20092010,Moose Jaw Warriors Midget AAA,SSMHL,54079,10,1,24,42,24,0,11,,,,,,,,,,,,,,,,
0,20102011,Moose Jaw Generals,SMHL,78951,23,12,43,42,43,0,35,,,,,,,,,,,,,,,,
0,20112012,Edmonton,WHL,1,10,2,38,59,38,29,12,0.0,0.0,0.0,,,,,,,,,,,,,
0,20122013,Edmonton,WHL,1,10,2,28,62,28,22,12,0.0,1.0,0.0,,,,,,,,,,,,,
0,20132014,Edmonton,WHL,1,34,8,26,72,26,59,42,4.0,1.0,0.0,,,,,,,,,,,,,
0,20142015,Edmonton,WHL,1,39,12,38,72,38,15,51,4.0,3.0,0.0,,,,,,,,,,,,,
0,20152016,Utica,AHL,1,7,4,12,50,12,-1,11,0.0,0.0,0.0,54.0,7.4,,,,,,,,,,,
0,20152016,Utica Comets,AHL,152247,7,4,12,50,12,-1,11,,,,,,,,,,,,,,,,
0,20162017,Utica Comets,AHL,152247,5,0,30,47,30,-4,5,,,,,,,,,,,,,,,,
0,20172018,Vancouver Canucks,National Hockey League,1,2,0,2,5,2,4,2,0.0,0.0,0.0,3.0,0.0,66:48,9.0,0.0,00:00,66:48,0.0,0.0,0.0,00:00,5.0,88.0
0,20172018,Utica Comets,AHL,152247,10,3,55,61,55,9,13,,,,,,,,,,,,,,,,
0,20182019,Vancouver Canucks,National Hockey League,1,1,0,2,17,2,-2,1,0.0,0.0,0.0,21.0,0.0,247:15,25.0,0.0,00:06,243:21,0.0,0.0,0.0,03:48,17.0,358.0
0,20182019,Utica Comets,AHL,152247,5,3,22,31,22,4,8,,,,,,,,,,,,,,,,
0,20192020,Vancouver Canucks,National Hockey League,1,0,0,0,1,0,0,0,0.0,0.0,0.0,1.0,0.0,02:49,0.0,0.0,00:00,02:49,0.0,0.0,0.0,00:00,0.0,4.0
0,20192020,Utica Comets,AHL,152247,11,1,41,51,41,-5,12,,,,,,,,,,,,,,,,
0,20202021,Manitoba Moose,AHL,877,0,0,0,2,0,-5,0,,,,,,,,,,,,,,,,
0,20212022,Abbotsford Canucks,AHL,33767,10,3,28,41,28,4,13,,,,,,,,,,,,,,,,
