,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,faceOffPct,points,powerPlayGoals,shortHandedGoals,plusMinus,gameWinningGoals,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20062007,Sem. St-Francois,QAAA,1,16,10,52,44,52,0.0,26,,,,,,,,,,,,,,,,
0,20072008,Baie-Comeau,QMJHL,1,6,1,22,35,22,,7,1.0,0.0,-2.0,,,,,,,,,,,,,
0,20072008,Moncton,QMJHL,2,5,0,18,32,18,,5,0.0,,-19.0,,,,,,,,,,,,,
0,20082009,Moncton,QMJHL,1,35,9,33,68,33,,44,6.0,0.0,29.0,,,,,,,,,,,,,
0,20092010,Moncton,QMJHL,1,64,13,36,64,36,,77,7.0,0.0,32.0,4.0,,,,,,,,,,,,
0,20102011,Springfield,AHL,1,32,11,18,72,18,,43,2.0,0.0,-6.0,1.0,95.0,11.58,,,,,,,,,,
0,20112012,Columbus Blue Jackets,National Hockey League,1,8,2,16,31,16,0.0,10,1.0,0.0,0.0,0.0,34.0,5.88,513:49,30.0,4.0,71:43,436:26,0.0,0.0,05:40,15.0,621.0
0,20112012,Springfield,AHL,2,18,4,72,44,72,,22,2.0,0.0,6.0,1.0,59.0,6.78,,,,,,,,,,
0,20122013,Columbus Blue Jackets,National Hockey League,1,0,0,0,4,0,0.0,0,0.0,0.0,-3.0,0.0,1.0,0.0,52:48,4.0,0.0,00:20,49:37,0.0,0.0,02:51,2.0,68.0
0,20122013,Springfield,AHL,2,26,5,40,60,40,,31,2.0,1.0,12.0,0.0,104.0,4.81,,,,,,,,,,
0,20132014,Columbus Blue Jackets,National Hockey League,1,10,5,28,70,28,100.0,15,1.0,0.0,2.0,1.0,63.0,7.94,1248:01,149.0,4.0,40:51,1113:03,0.0,0.0,94:07,81.0,1401.0
0,20142015,Columbus Blue Jackets,National Hockey League,1,25,11,71,82,71,100.0,36,3.0,0.0,0.0,3.0,112.0,9.82,1881:24,195.0,10.0,159:57,1486:10,0.0,0.0,235:17,105.0,2165.0
0,20142015,Canada,WC-A,2,4,0,6,10,6,,4,0.0,0.0,10.0,0.0,13.0,,,,,,,,,,,
0,20152016,Columbus Blue Jackets,National Hockey League,1,21,4,45,65,45,0.0,25,1.0,0.0,-7.0,0.0,122.0,3.28,1506:13,122.0,5.0,138:21,1177:58,0.0,1.0,189:54,111.0,1753.0
0,20162017,Columbus Blue Jackets,National Hockey League,1,17,6,44,74,44,0.0,23,0.0,0.0,33.0,0.0,135.0,4.44,1615:40,127.0,0.0,15:26,1418:34,0.0,2.0,181:40,126.0,2056.0
0,20172018,Columbus Blue Jackets,National Hockey League,1,12,4,32,81,32,0.0,16,0.0,0.0,2.0,0.0,145.0,2.76,1569:47,144.0,0.0,14:22,1376:13,0.0,1.0,179:12,143.0,1984.0
0,20182019,Columbus Blue Jackets,National Hockey League,1,16,8,36,82,36,0.0,24,0.0,0.0,19.0,1.0,124.0,6.45,1618:59,122.0,0.0,06:37,1472:11,0.0,0.0,140:11,123.0,2083.0
0,20192020,Columbus Blue Jackets,National Hockey League,1,11,0,35,68,35,0.0,11,0.0,0.0,-3.0,0.0,97.0,0.0,1406:37,129.0,2.0,14:28,1267:25,0.0,0.0,124:44,163.0,1760.0
0,20202021,Columbus Blue Jackets,National Hockey League,1,5,1,24,40,24,0.0,6,0.0,0.0,-19.0,1.0,48.0,2.1,785:38,95.0,0.0,05:56,707:58,0.0,1.0,71:44,89.0,981.0
0,20202021,Tampa Bay Lightning,National Hockey League,2,0,0,0,14,0,0.0,0,0.0,0.0,-8.0,0.0,21.0,0.0,286:03,37.0,0.0,01:09,254:09,0.0,0.0,30:45,20.0,340.0
0,20212022,Montréal Canadiens,National Hockey League,1,14,3,36,62,36,0.0,17,0.0,0.0,-22.0,0.0,66.0,4.5,1289:01,134.0,0.0,03:41,1111:37,0.0,1.0,173:43,127.0,1434.0
