,season,team,league,sequenceNumber,timeOnIce,shutouts,ties,wins,losses,goalAgainstAverage,games,goalsAgainst,savePercentage,shotsAgainst,ot,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
0,20132014,St.L. AAA Blues,T1EHL,1,981:00,3.0,1.0,13.0,4.0,1.71,18,31.0,,,,,,,,,,,,,,
0,20142015,USNTDP,USHL,1,983:00,0.0,0.0,3.0,15.0,4.21,18,69.0,,,,,,,,,,,,,,
0,20142015,USNTDP,U-17,2,603:00,0.0,0.0,6.0,3.0,2.29,11,23.0,,,,,,,,,,,,,,
0,20142015,U.S. National U17 Team,USDP,19734,,,,,,3.48,29,,0.886,,,,,,,,,,,,,
0,20142015,USNTDP Juniors,USHL,52486,,,,,,4.21,18,,0.878,,,,,,,,,,,,,
0,20142015,USA U17,WHC-17,61270,,,,,,2.33,3,,0.905,,,,,,,,,,,,,
0,20152016,USAHNTDP,USHL,1,670:00,0.0,1.0,6.0,4.0,2.6,12,29.0,,,,,,,,,,,,,,
0,20152016,USAHNTDP,U-18,2,1182:00,2.0,3.0,14.0,2.0,1.88,21,37.0,,,,,,,,,,,,,,
0,20152016,U.S.A.,WJ18-A,3,180:00,1.0,0.0,2.0,1.0,1.34,3,4.0,,75.0,,,,,,,,,,,,
0,20152016,USA U18,WJC-18,17253,,,,,,1.34,3,,0.947,,,,,,,,,,,,,
0,20152016,U.S. National U18 Team,USDP,19564,,,,,,2.14,33,,0.918,,,,,,,,,,,,,
0,20152016,USNTDP Juniors,USHL,52486,,,,,,2.6,12,,0.898,,,,,,,,,,,,,
0,20162017,Boston College,NCAA,9670,,,,,,2.64,34,,0.913,,,,,,,,,,,,,
0,20162017,USA U20,WJC-20,17276,,,,,,1.5,2,,0.935,,,,,,,,,,,,,
0,20172018,Boston College,NCAA,9670,,,,,,2.48,30,,0.915,,,,,,,,,,,,,
0,20172018,USA U20,WJC-20,17276,,,,,,2.71,5,,0.886,,,,,,,,,,,,,
0,20182019,Boston College,NCAA,9670,,,,,,2.41,37,,0.919,,,,,,,,,,,,,
0,20192020,Toronto Marlies,AHL,13377,,,,,,3.75,32,,0.88,,,,,,,,,,,,,
0,20202021,Toronto Marlies,AHL,13377,,,,,,3.54,15,,0.892,,,,,,,,,,,,,
0,20212022,Toronto Maple Leafs,National Hockey League,1,239:54,1.0,0.0,3.0,1.0,2.75115,4,11.0,0.911,123.0,0.0,112.0,12.0,3.0,97.0,3.0,105.0,15.0,4.0,80.0,100.0,92.38095238095238
0,20212022,Toronto Marlies,AHL,13377,,,,,,3.36,15,,0.907,,,,,,,,,,,,,
