,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,shortHandedGoals,plusMinus,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20062007,Burnaby W.C.,Minor-BC,1,43,43,34,65,34,86,,,,,,,,,,,,,,,,,
0,20072008,Burnaby W.C.,Minor-BC,1,95,119,84,66,84,214,,,,,,,,,,,,,,,,,
0,20082009,Van. NW Giants,BCMML,1,47,40,78,36,78,87,,,,,,,,,,,,,,,,,
0,20082009,Red Deer,WHL,2,4,2,0,5,0,6,1.0,0.0,-6.0,,,,,,,,,,,,,,
0,20092010,Red Deer,WHL,1,41,24,28,67,28,65,11.0,0.0,-4.0,,,,,,,,,,,,,,
0,20102011,Red Deer,WHL,1,75,31,51,69,51,106,11.0,0.0,30.0,,,,,,,,,,,,,,
0,20112012,Edmonton Oilers,National Hockey League,1,34,18,16,62,16,52,3.0,0.0,-2.0,1091:33,134.0,38.0,23.0,186:45,902:48,37.52,13.43,2.0,0.0,0.0,02:00,33.0,1301.0
0,20112012,Canada,WC-A,2,2,4,4,8,4,6,1.0,0.0,2.0,,,,,,,,,0.0,,,,,
0,20122013,Edmonton Oilers,National Hockey League,1,20,4,8,40,8,24,2.0,0.0,3.0,754:37,78.0,27.0,11.0,121:34,624:04,41.02,5.13,0.0,0.0,0.0,08:59,27.0,919.0
0,20122013,Canada,WJC-A,2,11,4,4,6,4,15,1.0,0.0,6.0,,,,,,,,,0.0,,,,,
0,20122013,Oklahoma City,AHL,3,12,8,6,19,6,20,3.0,0.0,7.0,,50.0,,,,,,16.0,2.0,,,,,
0,20132014,Edmonton Oilers,National Hockey League,1,37,19,26,80,26,56,6.0,0.0,-12.0,1631:30,178.0,72.0,20.0,239:28,1292:28,42.42,10.67,4.0,1.0,0.0,99:34,35.0,2089.0
0,20142015,Edmonton Oilers,National Hockey League,1,32,24,25,76,25,56,2.0,0.0,-12.0,1568:43,189.0,92.0,14.0,206:36,1237:22,45.72,12.7,2.0,1.0,1.0,124:45,37.0,2028.0
0,20152016,Edmonton Oilers,National Hockey League,1,22,12,18,55,18,34,4.0,0.0,-9.0,1048:26,108.0,39.0,11.0,143:51,852:10,44.84,11.11,1.0,0.0,0.0,52:25,36.0,1333.0
0,20162017,Edmonton Oilers,National Hockey League,1,25,18,29,82,29,43,5.0,0.0,-10.0,1450:45,200.0,47.0,11.0,155:03,1153:57,43.85,9.0,4.0,1.0,0.0,141:45,35.0,1964.0
0,20162017,Team North America,WCup,176776,2,1,2,3,2,3,,,1.0,,,,,,,,,,,,,,
0,20172018,Edmonton Oilers,National Hockey League,1,24,24,20,62,20,48,4.0,2.0,10.0,1121:35,151.0,44.0,9.0,121:35,899:39,48.76,15.89,2.0,1.0,3.0,100:21,39.0,1397.0
0,20172018,Canada,WC,17155,3,5,2,10,2,8,,,5.0,,,,,,,,,,,,,,
0,20182019,Edmonton Oilers,National Hockey League,1,41,28,26,82,26,69,8.0,1.0,-13.0,1648:23,208.0,69.0,26.0,265:49,1243:31,45.12,13.46,3.0,0.0,3.0,139:03,40.0,1997.0
0,20192020,Edmonton Oilers,National Hockey League,1,39,22,33,65,33,61,7.0,0.0,1.0,1330:20,172.0,33.0,24.0,243:29,975:40,50.74,12.8,4.0,0.0,0.0,111:11,44.0,1387.0
0,20202021,Edmonton Oilers,National Hockey League,1,19,16,22,52,22,35,9.0,0.0,-4.0,1080:10,135.0,26.0,20.0,219:06,763:58,45.63,11.9,2.0,0.0,0.0,97:06,29.0,1085.0
0,20212022,Edmonton Oilers,National Hockey League,1,39,11,16,63,16,50,1.0,3.0,3.0,1217:03,154.0,42.0,23.0,218:36,871:35,40.73,7.1,1.0,0.0,5.0,126:52,34.0,1334.0
