,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,timeOnIce,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shortHandedTimeOnIce,shifts,shots,hits,powerPlayGoals,powerPlayPoints,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,blocked
0,20002001,Russia U17,EYOF,60527,1,0,0,4,0,0.0,1,,,,,,,,,,,,,,,,
0,20012002,Dyn'o Moscow 2,Russia-3,1,8,18,20,19,20,,26,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20012002,Russia,WJ18-A,2,4,14,0,8,0,,18,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20012002,Dynamo Moscow,Russia,3,2,2,4,22,4,,4,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20022003,Dynamo Moscow,Russia,1,7,8,28,40,28,,15,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20022003,Russia,WJC-A,2,1,6,4,6,4,,7,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20022003,Russia,WJ18-A,3,4,9,8,6,8,,13,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20032004,Dynamo Moscow,Russia,1,11,13,40,53,40,,24,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20032004,Russia,WJC-A,2,2,5,0,6,0,,7,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20032004,Russia,WC-A,3,1,1,0,6,0,,2,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20042005,Dynamo Moscow,Russia,2,13,13,32,37,32,,26,,00:00,00:00,,00:00,0.0,,,,,,,,,,
0,20042005,Russia,WJC-A,3,4,7,4,6,4,,11,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20042005,Russia,WC-A,4,3,5,4,8,4,,8,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20052006,Washington Capitals,National Hockey League,1,54,52,52,81,52,2.0,106,1751:22,544:33,1140:57,12.5,65:52,1959.0,425.0,172.0,21.0,52.0,12.24,5.0,2.0,3.0,3.0,20.0
0,20052006,Russia,Olympics,3,0,5,8,8,8,,5,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20052006,Russia,WC-A,5,3,6,6,7,6,,9,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20062007,Washington Capitals,National Hockey League,1,46,46,52,82,52,-19.0,92,1753:50,453:26,1284:04,47.06,16:20,1985.0,392.0,184.0,16.0,37.0,11.73,8.0,1.0,0.0,0.0,44.0
0,20062007,Russia,WC-A,3,2,1,29,8,29,,3,,,,,,,,,,,,,,,,
0,20072008,Washington Capitals,National Hockey League,1,47,65,40,82,40,28.0,112,1894:19,465:11,1415:59,38.89,13:09,1750.0,446.0,220.0,22.0,37.0,14.57,11.0,2.0,0.0,0.0,44.0
0,20072008,Russia,WC-A,3,6,6,8,9,8,,12,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
