,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,faceOffPct,powerPlayGoals,gameWinningGoals,shortHandedGoals,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20072008,Frölunda HC U16,U16 SM,43301,4,2,2,6,2,9.0,6,,,,,,,,,,,,,,,,
0,20082009,Frolunda U18,Swe-U18,1,12,3,12,30,12,,15,0.0,,,,,,,,,,,,,,,
0,20092010,Frolunda U18,Swe-U18,1,13,3,22,20,22,,16,0.0,,,,,,,,,,,,,,,
0,20092010,Frolunda Jr.,Swe-Jr.,2,5,0,32,27,32,,5,0.0,,,,,,,,,,,,,,,
0,20102011,Frolunda,Sweden,1,5,0,10,26,10,,5,,,,,,,,,,,,,,,,
0,20102011,Boras,Sweden-2,2,0,1,2,7,2,,1,,,,,,,,,,,,,,,,
0,20102011,Sweden,WJC-A,3,1,1,0,6,0,2.0,2,,0.0,0.0,0.0,,,,,,,,,,,,
0,20102011,Frolunda Jr.,Swe-Jr.,4,14,3,29,13,29,,17,,,,,,,,,,,,,,,,
0,20112012,Sweden,WJC-A,1,3,0,4,6,4,1.0,3,,0.0,0.0,0.0,,,,,,,,,,,,
0,20112012,Jokerit,Finland,2,2,1,8,20,8,,3,,,,,,,,,,,,,,,,
0,20112012,Skelleftea,Sweden,3,3,1,6,16,6,,4,,,,,,,,,,,,,,,,
0,20122013,Skelleftea Jr.,Swe-Jr.,1,0,0,0,1,0,,0,,,,,,,,,,,,,,,,
0,20122013,Skelleftea,Sweden,2,12,1,6,25,6,,13,,,,,,,,,,,,,,,,
0,20132014,Frolunda,Sweden,1,17,11,12,50,12,,28,,,,,,,,,,,,,,,,
0,20132014,Texas,AHL,2,1,0,4,3,4,2.0,1,,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,
0,20142015,Dallas Stars,National Hockey League,1,29,11,32,65,32,5.0,40,0.0,2.0,3.0,0.0,98.0,11.22,1419:42,54.0,12.0,191:02,1218:50,1.0,0.0,09:50,77.0,1755.0
0,20142015,Texas,AHL,2,8,4,6,10,6,5.0,12,,1.0,1.0,0.0,22.0,18.2,,,,,,,,,,
0,20142015,Sweden,WC-A,3,4,2,0,7,0,9.0,6,,1.0,0.0,0.0,15.0,,,,,,,,,,,
0,20152016,Dallas Stars,National Hockey League,1,48,10,30,76,30,22.0,58,0.0,2.0,4.0,0.0,171.0,5.85,1724:18,44.0,22.0,243:01,1473:45,3.0,0.0,07:32,68.0,2060.0
0,20162017,Dallas Stars,National Hockey League,1,36,13,34,80,34,2.0,49,100.0,4.0,3.0,0.0,124.0,10.48,1868:28,42.0,17.0,254:22,1596:29,0.0,0.0,17:37,117.0,2209.0
0,20162017,Sweden,WC,6815,4,2,2,10,2,7.0,6,,,,,,,,,,,,,,,,
0,20162017,Sweden,EHT,89816,2,2,4,2,4,1.0,4,,,,,,,,,,,,,,,,
0,20172018,Dallas Stars,National Hockey League,1,59,8,26,82,26,10.0,67,0.0,1.0,3.0,0.0,204.0,3.92,1974:07,44.0,23.0,299:18,1583:03,0.0,0.0,91:46,109.0,2272.0
0,20172018,Sweden,WC,6815,5,1,4,10,4,6.0,6,,,,,,,,,,,,,,,,
0,20172018,Sweden,EHT,89816,1,0,2,3,2,-2.0,1,,,,,,,,,,,,,,,,
0,20182019,Dallas Stars,National Hockey League,1,35,10,12,64,12,6.0,45,0.0,5.0,5.0,0.0,153.0,6.54,1569:57,42.0,20.0,190:43,1330:47,0.0,0.0,48:27,77.0,1719.0
0,20182019,Sweden,WC,6815,2,2,2,5,2,-1.0,4,,,,,,,,,,,,,,,,
0,20192020,Dallas Stars,National Hockey League,1,26,6,22,58,22,-10.0,32,0.0,2.0,0.0,0.0,120.0,5.0,1285:34,29.0,17.0,147:37,1120:31,0.0,0.0,17:26,72.0,1500.0
0,20202021,Dallas Stars,National Hockey League,1,29,7,23,53,23,-15.0,36,0.0,2.0,1.0,0.0,108.0,6.5,1202:53,49.0,17.0,159:44,1033:35,0.0,0.0,09:34,52.0,1390.0
0,20212022,Dallas Stars,National Hockey League,1,41,6,34,74,34,-28.0,47,0.0,1.0,2.0,0.0,139.0,4.3,1643:28,57.0,20.0,209:59,1414:27,2.0,0.0,19:02,77.0,1827.0
