,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,shifts
0,20112012,CSKA Jr.,Russia-Jr.,1,4,2,63,41,63,6,,,,,,,,,,,,,,,,,
0,20122013,London,OHL,1,19,6,54,63,54,25,,,,,,,,,,,,,,,,,
0,20132014,Buffalo Sabres,National Hockey League,1,0,1,4,7,4,1,120:12,4.0,25.0,0.0,0.0,01:17,112:00,0.0,25.0,0.0,0.0,0.0,0.0,06:55,3.0,-4.0,142.0
0,20132014,London,OHL,2,19,11,43,36,43,30,,,,5.0,,,,,,2.0,,1.0,,,,30.0,
0,20132014,Russia,WJC-A,3,1,4,6,7,6,5,,7.0,,2.0,,,,,,1.0,,1.0,,,,4.0,
0,20142015,Buffalo Sabres,National Hockey League,1,12,3,51,60,51,15,1062:27,52.0,134.0,2.0,5.0,84:02,954:30,100.0,5.77,1.0,1.0,0.0,0.0,23:55,73.0,-10.0,1350.0
0,20152016,Colorado Avalanche,National Hockey League,1,2,0,12,22,12,2,372:31,18.0,53.0,0.0,0.0,09:36,344:08,0.0,0.0,0.0,0.0,0.0,0.0,18:47,16.0,-5.0,469.0
0,20152016,San Antonio,AHL,2,19,10,90,52,90,29,,98.0,,3.0,,,,,10.2,1.0,,0.0,,,,-9.0,
0,20152016,San Antonio Rampage,AHL,8497,19,10,90,52,90,29,,,,,,,,,,,,,,,,-9.0,
0,20162017,Colorado Avalanche,National Hockey League,1,10,0,73,56,73,10,1066:00,61.0,153.0,0.0,2.0,35:40,910:34,0.0,0.0,0.0,0.0,0.0,0.0,119:46,69.0,-20.0,1432.0
0,20172018,Colorado Avalanche,National Hockey League,1,13,7,103,77,103,20,1498:49,94.0,278.0,0.0,1.0,10:59,1328:14,0.0,7.45,1.0,0.0,0.0,0.0,159:36,106.0,4.0,1894.0
0,20182019,Colorado Avalanche,National Hockey League,1,7,7,75,70,75,14,1204:16,100.0,228.0,0.0,0.0,04:54,1081:35,0.0,7.0,0.0,0.0,0.0,0.0,117:47,67.0,19.0,1487.0
0,20182019,Russia,WC,17485,1,0,14,9,14,1,,,,,,,,,,,,,,,,4.0,
0,20192020,Colorado Avalanche,National Hockey League,1,9,4,65,64,65,13,1136:58,65.0,175.0,0.0,0.0,04:29,1023:48,0.0,6.2,0.0,0.0,0.0,0.0,108:41,66.0,6.0,1386.0
0,20202021,Chicago Blackhawks,National Hockey League,1,7,1,36,55,36,8,1056:16,52.0,190.0,0.0,0.0,02:12,956:46,0.0,1.9,0.0,0.0,0.0,0.0,97:18,74.0,1.0,1256.0
0,20202021,Russia,WC,17485,3,0,2,8,2,3,,,,,,,,,,,,,,,,11.0,
0,20212022,Calgary Flames,National Hockey League,1,18,4,77,74,77,22,1251:21,106.0,181.0,0.0,0.0,13:51,1180:42,0.0,3.8,0.0,0.0,0.0,0.0,56:48,49.0,11.0,1852.0
