,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,shots,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20102011,Mississauga Rebels Bantam AAA,GTBHL,138525,0,0,2,4,2,-1.0,0,,,,,,,,,,,,,,,,
0,20112012,Miss. Rebels,GTHL,1,55,34,38,77,38,,89,,,,,,,,,,,,,,,,
0,20112012,St. Michael's,ON-Jr.A,2,2,2,0,5,0,,4,0.0,0.0,0.0,,,,,,,,,,,,,
0,20122013,St. Michael's,ON-Jr.A,1,32,12,45,50,45,,44,3.0,3.0,0.0,,,,,,,,,,,,,
0,20132014,St. Michael's,ON-Jr.A,1,47,16,79,49,79,,63,2.0,3.0,1.0,,,,,,,,,,,,,
0,20142015,U. of Notre Dame,H-East,1,10,7,22,41,22,,17,1.0,1.0,0.0,,,,,,,,,,,,,
0,20152016,U. of Notre Dame,H-East,1,25,8,29,37,29,15.0,33,4.0,1.0,0.0,55.0,,,,,,,,,,,,
0,20152016,Univ. of Notre Dame,NCAA,16100,25,8,29,37,29,15.0,33,,,,,,,,,,,,,,,,
0,20162017,Univ. of Notre Dame,NCAA,16100,29,13,47,40,47,11.0,42,,,,,,,,,,,,,,,,
0,20172018,Univ. of Notre Dame,NCAA,16100,33,13,18,40,18,9.0,46,,,,,,,,,,,,,,,,
0,20172018,Team Canada,Spengler Cup,250335,0,0,0,4,0,-1.0,0,,,,,,,,,,,,,,,,
0,20182019,Laval Rocket,AHL,222817,32,13,26,67,26,-11.0,45,,,,,,,,,,,,,,,,
0,20192020,Montréal Canadiens,National Hockey League,1,1,2,0,13,0,1.0,3,0.0,0.0,0.0,14.0,134:35,16.0,0.0,06:22,120:52,51.79,14.3,0.0,0.0,07:21,5.0,195.0
0,20192020,Laval Rocket,AHL,222817,24,14,26,51,26,-5.0,38,,,,,,,,,,,,,,,,
0,20202021,Montréal Canadiens,National Hockey League,1,10,3,29,47,29,2.0,13,0.0,0.0,1.0,55.0,556:15,79.0,0.0,03:24,467:12,50.12,5.5,0.0,2.0,85:39,26.0,832.0
0,20212022,Montréal Canadiens,National Hockey League,1,16,13,22,72,22,-5.0,29,0.0,0.0,0.0,124.0,1122:58,88.0,0.0,22:50,961:18,49.78,10.5,0.0,1.0,138:50,37.0,1581.0
