,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20082009,Plzensky kraj U15,MMCR,259266,1,2,2,6,2,0.0,3,,,,,,,,,,,,,,,,
0,20092010,HC Plzen U16,Czech U16,83587,24,39,6,33,6,62.0,63,,,,,,,,,,,,,,,,
0,20102011,Plzen U18,CzR-U18,1,21,38,32,42,32,,59,,,,,,,,,,,,,,,,
0,20112012,Plzen U18,CzR-U18,1,16,22,12,20,12,,38,,,,,,,,,,,,,,,,
0,20112012,Plzen Jr.,CzRep-Jr.,2,6,11,22,24,22,,17,,,,,,,,,,,,,,,,
0,20112012,Plzen,CzRep,3,0,1,0,8,0,,1,,,,,,,,,,,,,,,,
0,20122013,Sudbury,OHL,1,17,17,25,67,25,-3.0,34,1.0,4.0,0.0,,,,,,,,,,,,,
0,20122013,Czech Republic,WJ18-A,2,5,0,14,5,14,1.0,5,0.0,0.0,0.0,22.0,0.0,,,,,,,,,,,
0,20132014,Sudbury,OHL,1,10,13,35,36,35,0.0,23,4.0,3.0,0.0,,,,,,,,,,,,,
0,20132014,Kitchener,OHL,2,1,5,11,23,11,-16.0,6,0.0,0.0,0.0,,,,,,,,,,,,,
0,20142015,Plzen,CzRep,1,4,3,35,35,35,,7,,,,,,,,,,,,,,,,
0,20142015,Czech Republic,WJC-A,2,0,1,0,5,0,-3.0,1,0.0,14.0,0.0,,,,,,,,,,,,,
0,20152016,Plzen,CzRep,1,15,25,20,48,20,,40,,,,,,,,,,,,,,,,
0,20152016,HC Plzen,Czech,6516,15,25,20,48,20,1.0,40,,,,,,,,,,,,,,,,
0,20152016,Czechia,EHT,68526,1,0,2,7,2,-1.0,1,,,,,,,,,,,,,,,,
0,20162017,HC Plzen,Champions HL,6482,2,4,33,6,33,4.0,6,,,,,,,,,,,,,,,,
0,20162017,HC Plzen,Czech,6516,19,29,22,51,22,3.0,48,,,,,,,,,,,,,,,,
0,20162017,Czechia,EHT,68526,5,1,4,6,4,1.0,6,,,,,,,,,,,,,,,,
0,20172018,Ambrì-Piotta,NL,2326,17,10,39,25,39,-6.0,27,,,,,,,,,,,,,,,,
0,20172018,HC Plzen,Czechia,8346,8,16,2,20,2,8.0,24,,,,,,,,,,,,,,,,
0,20172018,Czechia,OG,16762,0,2,2,5,2,1.0,2,,,,,,,,,,,,,,,,
0,20172018,Czechia,WC,17015,5,3,0,8,0,-1.0,8,,,,,,,,,,,,,,,,
0,20172018,Czechia,EHT,68526,1,2,0,9,0,-2.0,3,,,,,,,,,,,,,,,,
0,20182019,Ambrì-Piotta,NL,2326,32,25,18,50,18,5.0,57,,,,,,,,,,,,,,,,
0,20182019,Czechia,WC,17015,6,6,0,10,0,10.0,12,,,,,,,,,,,,,,,,
0,20182019,Czechia,EHT,68526,1,6,4,9,4,6.0,7,,,,,,,,,,,,,,,,
0,20192020,Chicago Blackhawks,National Hockey League,1,16,30,16,68,16,2.0,46,4.0,3.0,0.0,157.0,19.1,977:28,79.0,8.0,132:33,843:14,31.58,0.0,0.0,01:41,17.0,1224.0
0,20202021,Chicago Blackhawks,National Hockey League,1,21,17,18,56,18,-3.0,38,4.0,1.0,0.0,156.0,10.9,868:57,57.0,14.0,135:19,733:23,0.0,1.0,0.0,00:15,17.0,1039.0
0,20202021,Czechia,WC,17015,3,3,0,7,0,3.0,6,,,,,,,,,,,,,,,,
0,20212022,Chicago Blackhawks,National Hockey League,1,17,15,16,78,16,-16.0,32,3.0,0.0,0.0,161.0,9.3,1132:38,93.0,9.0,128:41,1003:31,40.0,0.0,0.0,00:26,28.0,1461.0
