,season,team,league,sequenceNumber,savePercentage,goalAgainstAverage,games
0,20132014,Belle Tire Bantam Major AAA,T1EBHL,122819,0.859,2.01,7
0,20142015,Victory Honda 18U AAA,T1EHL 18U,60317,1.0,0.0,1
0,20142015,Victory Honda 16U AAA,T1EHL 16U,90876,0.916,2.27,19
0,20152016,Flint Firebirds,OHL,187098,0.88,4.37,17
0,20162017,Oshawa Generals,OHL,9448,0.891,3.4,26
0,20172018,Oshawa Generals,OHL,9448,0.904,3.16,47
0,20182019,Oshawa Generals,OHL,9448,0.915,2.75,47
0,20182019,USA U20,WJC-20,17276,0.872,2.95,2
0,20192020,Providence Bruins,AHL,897,0.89,3.21,6
0,20192020,Atlanta Gladiators,ECHL,8735,0.8179,4.1,1
0,20202021,Providence Bruins,AHL,897,0.913,2.56,5
0,20202021,Jacksonville Icemen,ECHL,41615,0.917,2.46,22
0,20212022,Providence Bruins,AHL,897,0.908,2.75,33
0,20212022,Maine Mariners,ECHL,251095,0.839,5.11,1
