,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20062007,Soo Thunder Bantam AAA,NOBHL,55312,10,7,30,34,30,0.0,17,,,,,,,,,,,,,,,,
0,20082009,Soo North Stars,Minor-ON,1,15,6,42,32,42,,21,,,,,,,,,,,,,,,,
0,20092010,Soo T-birds,NOJHL,1,23,7,38,46,38,,30,,,,,,,,,,,,,,,,
0,20102011,Sault Ste. Marie,OHL,1,19,3,44,66,44,2.0,22,0.0,0.0,1.0,,,,,,,,,,,,,
0,20112012,Sault Ste. Marie,OHL,1,20,8,79,54,79,9.0,28,4.0,1.0,0.0,,,,,,,,,,,,,
0,20122013,Sault Ste. Marie,OHL,1,35,20,78,54,78,13.0,55,8.0,1.0,1.0,,,,,,,,,,,,,
0,20132014,Manchester,AHL,1,12,5,35,65,35,5.0,17,1.0,0.0,0.0,98.0,5.1,,,,,,,,,,,
0,20142015,Manchester,AHL,1,33,19,82,70,82,11.0,52,10.0,4.0,0.0,186.0,10.2,,,,,,,,,,,
0,20152016,Boston Bruins,National Hockey League,1,13,3,39,42,39,0.0,16,0.0,0.0,0.0,59.0,5.08,663:23,45.0,5.0,52:59,608:05,0.0,0.0,0.0,02:19,36.0,865.0
0,20152016,Providence,AHL,2,8,4,16,20,16,3.0,12,0.0,1.0,0.0,53.0,7.5,,,,,,,,,,,
0,20152016,Providence Bruins,AHL,897,8,4,16,20,16,3.0,12,,,,,,,,,,,,,,,,
0,20162017,Boston Bruins,National Hockey League,1,7,6,55,61,55,0.0,13,1.0,0.0,0.0,85.0,7.06,964:46,85.0,2.0,99:34,849:11,0.0,0.0,0.0,16:01,36.0,1296.0
0,20172018,Vegas Golden Knights,National Hockey League,1,31,10,53,82,53,-4.0,41,5.0,2.0,0.0,177.0,5.65,1586:11,165.0,17.0,200:42,1305:30,100.0,0.0,1.0,79:59,64.0,1981.0
0,20182019,Vegas Golden Knights,National Hockey League,1,26,3,44,65,44,0.0,29,1.0,0.0,0.0,131.0,2.29,1276:59,122.0,13.0,154:33,1084:24,0.0,0.0,0.0,38:02,64.0,1581.0
0,20192020,Buffalo Sabres,National Hockey League,1,10,1,22,51,22,-9.0,11,0.0,1.0,0.0,79.0,1.3,873:50,87.0,3.0,69:31,788:52,0.0,1.0,0.0,15:27,40.0,1066.0
0,20202021,Buffalo Sabres,National Hockey League,1,8,4,27,48,27,-20.0,12,1.0,0.0,0.0,64.0,6.3,864:00,91.0,4.0,46:43,777:25,0.0,0.0,0.0,39:52,51.0,1022.0
0,20202021,Canada,WC,17155,1,0,0,4,0,-1.0,1,,,,,,,,,,,,,,,,
0,20212022,Buffalo Sabres,National Hockey League,1,12,2,21,38,21,-2.0,14,0.0,0.0,0.0,48.0,4.2,721:19,50.0,3.0,55:21,623:54,0.0,0.0,0.0,42:04,42.0,929.0
