,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,shots,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20102011,Tor. Marlboros,GTHL,1,45,50,119,68,119,95,,,,,,,,,,,,,,,,,
0,20102011,Georgetown,ON-Jr.A,2,0,0,0,1,0,0,0.0,0.0,0.0,,,,,,,,,,,,,,
0,20112012,Peterborough,OHL,1,23,16,60,63,60,39,3.0,2.0,0.0,-22.0,,,,,,,,,,,,,
0,20122013,Peterborough,OHL,1,17,18,50,41,50,35,3.0,2.0,1.0,-10.0,,,,,,,,,,,,,
0,20132014,Peterborough,OHL,1,35,39,136,61,136,74,11.0,5.0,1.0,-22.0,,,,,,,,,,,,,
0,20142015,Peterborough,OHL,1,18,14,69,25,69,32,6.0,0.0,0.0,-10.0,,,,,,,,,,,,,
0,20142015,Sault Ste. Marie,OHL,2,15,15,44,23,44,30,6.0,4.0,0.0,11.0,,,,,,,,,,,,,
0,20142015,Canada,WJC-A,3,0,1,6,7,6,1,1.0,0.0,0.0,0.0,10.0,,,,,,,,,,,,
0,20152016,Anaheim Ducks,National Hockey League,1,2,2,37,33,37,4,0.0,0.0,0.0,-2.0,55.0,388:09,93.0,0.0,22:56,364:51,33.33,3.64,0.0,0.0,00:22,10.0,527.0
0,20152016,San Diego,AHL,2,14,16,59,38,59,30,8.0,3.0,0.0,-3.0,103.0,,,,,,,15.5,,,,,
0,20152016,San Diego Gulls,AHL,85177,14,16,59,38,59,30,,,,-3.0,,,,,,,,,,,,,
0,20162017,Anaheim Ducks,National Hockey League,1,14,14,62,77,62,28,1.0,3.0,0.0,4.0,149.0,999:52,247.0,2.0,43:31,951:55,50.0,9.4,0.0,0.0,04:26,24.0,1456.0
0,20172018,Anaheim Ducks,National Hockey League,1,17,10,72,76,72,27,1.0,2.0,0.0,3.0,122.0,1001:50,221.0,3.0,32:49,942:48,35.29,8.2,0.0,0.0,26:13,27.0,1394.0
0,20182019,Anaheim Ducks,National Hockey League,1,22,9,82,60,82,31,2.0,2.0,0.0,6.0,96.0,900:05,123.0,9.0,108:56,759:06,33.33,9.38,0.0,0.0,32:03,31.0,1153.0
0,20192020,Anaheim Ducks,National Hockey League,1,11,8,78,41,78,19,2.0,2.0,0.0,3.0,70.0,590:03,79.0,3.0,69:57,517:05,12.5,11.4,0.0,0.0,03:01,13.0,770.0
0,20192020,Boston Bruins,National Hockey League,2,1,1,19,7,19,2,0.0,0.0,0.0,-2.0,8.0,89:03,23.0,0.0,05:44,83:19,0.0,12.5,0.0,0.0,00:00,4.0,117.0
0,20202021,Boston Bruins,National Hockey League,1,11,15,37,56,37,26,5.0,2.0,0.0,-7.0,121.0,860:40,102.0,9.0,153:53,706:22,0.0,12.4,0.0,0.0,00:25,17.0,1023.0
0,20212022,Toronto Maple Leafs,National Hockey League,1,7,2,23,33,23,9,1.0,0.0,0.0,-6.0,52.0,395:47,79.0,4.0,41:49,353:20,0.0,3.8,0.0,0.0,00:38,13.0,548.0
0,20212022,Arizona Coyotes,National Hockey League,2,4,10,20,24,20,14,0.0,0.0,0.0,-7.0,41.0,328:12,74.0,0.0,42:52,285:20,0.0,24.4,0.0,0.0,00:00,9.0,442.0
0,20212022,Toronto Marlies,AHL,13377,0,1,0,2,0,1,,,,-1.0,,,,,,,,,,,,,
