,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20122013,Ilves U16,Jr. C SM-sarja Q,10153628,3,3,2,8,2,0,6,,,,,,,,,,,,,,,,
0,20132014,Ilves U18,Jr. B SM-sarja,24949,26,7,22,44,22,0,33,,,,,,,,,,,,,,,,
0,20142015,Finland U18,WJC-18,17093,1,0,6,7,6,5,1,,,,,,,,,,,,,,,,
0,20142015,Ilves U20,U20 SM-sarja,25870,15,5,20,44,20,22,20,,,,,,,,,,,,,,,,
0,20142015,Finland U17,EYOF,60517,2,0,0,3,0,1,2,,,,,,,,,,,,,,,,
0,20152016,Tri-City Americans,WHL,9481,25,7,24,56,24,-1,32,,,,,,,,,,,,,,,,
0,20152016,Finland U18,WJC-18,17093,2,0,0,6,0,6,2,,,,,,,,,,,,,,,,
0,20152016,Finland U18,Hlinka Gretzky Cup,158280,0,1,4,5,4,1,1,,,,,,,,,,,,,,,,
0,20162017,Tri-City Americans,WHL,9481,42,19,34,60,34,2,61,,,,,,,,,,,,,,,,
0,20162017,Finland U20,WJC-20,17116,0,2,6,6,6,1,2,,,,,,,,,,,,,,,,
0,20172018,Tri-City Americans,WHL,9481,31,14,34,43,34,15,45,,,,,,,,,,,,,,,,
0,20172018,Finland U20,WJC-20,17116,3,1,4,5,4,0,4,,,,,,,,,,,,,,,,
0,20182019,Calgary Flames,National Hockey League,1,2,1,12,24,12,-2,3,371:36,28.0,21.0,0.0,0.0,03:25,336:49,0.0,3.57,1.0,0.0,0.0,0.0,31:22,43.0,475.0
0,20182019,Stockton Heat,AHL,186037,10,4,18,20,18,9,14,,,,,,,,,,,,,,,,
0,20202021,Calgary Flames,National Hockey League,1,9,2,26,49,26,-2,11,756:09,72.0,28.0,0.0,0.0,11:29,682:30,0.0,2.8,0.0,0.0,0.0,0.0,62:10,60.0,1057.0
0,20202021,Ilves,Liiga,889,17,2,20,19,20,15,19,,,,,,,,,,,,,,,,
0,20212022,Calgary Flames,National Hockey League,1,2,0,10,9,10,0,2,141:21,11.0,8.0,0.0,0.0,01:02,133:12,0.0,0.0,0.0,0.0,0.0,0.0,07:07,9.0,195.0
0,20212022,Stockton Heat,AHL,186037,16,2,26,35,26,1,18,,,,,,,,,,,,,,,,
