,season,team,league,sequenceNumber,savePercentage,goalAgainstAverage,games
0,20152016,Åker/Strängnäs U16,U16 Div.2,165895,0.842,5.5,4
0,20162017,Hudiksvalls HC J18 2,J18 Div.1,57030,0.889,5.25,2
0,20162017,Hudiksvalls HC U16,U16 Div.1,209834,0.896,3.25,19
0,20172018,Timrå IK J18,J18 Region,7188,0.929,1.99,12
0,20172018,Timrå IK J18,J18 Nationell,7948,0.899,2.68,10
0,20182019,Timrå IK J20,J20 Nationell,5909,0.873,3.68,23
0,20182019,Timrå IK J18,J18 Region,7188,0.881,3.5,2
0,20182019,Timrå IK J18,J18 Nationell,7948,0.857,5.76,2
0,20192020,Timrå IK J20,J20 Nationell,5909,0.911,2.75,27
0,20202021,Linden Hockey,HockeyEttan,4181,0.913,3.26,2
0,20202021,Färjestad BK J20,J20 Nationell,5799,0.911,3.1,18
0,20212022,Färjestad BK,SHL,839,0.931,1.93,7
0,20212022,Färjestad BK J20,J20 Nationell,5799,0.931,2.8,12
