,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20112012,Pembina Valley Hawks Bantam AAA,WBAAA,129149,50,45,0.0,56,0,0.0,95,,,,,,,,,,,,,,,,
0,20122013,Pembina Valley Hawks Midget AAA,MMHL,54533,22,15,16.0,35,16,0.0,37,,,,,,,,,,,,,,,,
0,20132014,Om. Lancers U16,Minor-NE,1,62,49,,48,,,111,,,,,,,,,,,,,,,,
0,20132014,Om. Lancers U16,NAPHL,2,9,19,10.0,15,10,,28,,,,,,,,,,,,,,,,
0,20142015,Tri-City,USHL,1,7,6,8.0,35,8,7.0,13,58.0,0.0,10.3,3.0,0.0,,,,,,,,,,,
0,20152016,Tri-City,USHL,1,22,25,46.0,56,46,16.0,47,203.0,4.0,12.3,6.0,2.0,,,,,,,,,,,
0,20152016,Tri-City Storm,USHL,28026,22,25,46.0,56,46,16.0,47,,,,,,,,,,,,,,,,
0,20162017,Western Michigan Univ.,NCAA,13060,17,12,53.0,36,53,6.0,29,,,,,,,,,,,,,,,,
0,20172018,Western Michigan Univ.,NCAA,13060,15,15,29.0,22,29,7.0,30,,,,,,,,,,,,,,,,
0,20182019,Western Michigan Univ.,NCAA,13060,7,8,20.0,22,20,6.0,15,,,,,,,,,,,,,,,,
0,20192020,Western Michigan Univ.,NCAA,13060,13,10,17.0,26,17,11.0,23,,,,,,,,,,,,,,,,
0,20202021,Philadelphia Flyers,National Hockey League,1,3,4,4.0,14,4,1.0,7,24.0,1.0,16.7,1.0,0.0,181:03,28.0,1.0,23:21,157:31,0.0,0.0,0.0,00:11,10.0,252.0
0,20202021,Lehigh Valley Phantoms,AHL,173347,5,4,9.0,10,9,8.0,9,,,,,,,,,,,,,,,,
0,20212022,Philadelphia Flyers,National Hockey League,1,0,0,0.0,1,0,-1.0,0,2.0,0.0,0.0,0.0,0.0,08:16,1.0,0.0,01:11,07:05,0.0,0.0,0.0,00:00,0.0,12.0
0,20212022,Lehigh Valley Phantoms,AHL,173347,7,10,4.0,28,4,-4.0,17,,,,,,,,,,,,,,,,
