,season,team,league,sequenceNumber,savePercentage,goalAgainstAverage,games
0,20122013,Cleveland Barons 14U AAA,T1EHL 14U,138934,0.832,2.95,12
0,20132014,Cleveland Barons 16U AAA,T1EHL 16U,100766,0.927,2.31,18
0,20142015,Cleveland Barons 16U AAA,T1EHL 16U,100766,0.935,1.86,19
0,20152016,U.S. National U17 Team,USDP,19734,0.868,4.65,33
0,20152016,USNTDP Juniors,USHL,52486,0.872,4.73,21
0,20152016,USA U17,WHC-17,61270,0.8159,5.51,2
0,20162017,U.S. National U18 Team,USDP,19564,0.875,3.76,21
0,20162017,U.S. National U17 Team,USDP,19734,0.906,3.04,2
0,20162017,USNTDP Juniors,USHL,52486,0.895,2.92,10
0,20172018,Penticton Vees,BCHL,21824,0.927,2.08,45
0,20182019,Univ. of North Dakota,NCAA,11930,0.91,2.07,26
0,20192020,Univ. of North Dakota,NCAA,11930,0.904,2.07,26
0,20202021,Univ. of North Dakota,NCAA,11930,0.931,1.74,26
0,20202021,Texas Stars,AHL,45177,0.912,3.06,12
0,20212022,Idaho Steelheads,ECHL,7155,0.917,2.37,6
0,20212022,Texas Stars,AHL,45177,0.902,2.91,31
