,season,team,league,sequenceNumber,savePercentage,goalAgainstAverage,games,timeOnIce,shutouts,ties,wins,losses,goalsAgainst,shotsAgainst,saves,ot,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
0,20082009,Karhu-Kissat U16,Jr. C I-divisioona,80654,0.843,7.21,2,,,,,,,,,,,,,,,,,,,
0,20092010,Jokerit U16,Jr. C SM-sarja Q,10153658,0.97,0.5,4,,,,,,,,,,,,,,,,,,,
0,20102011,Jokerit U18,Fin-U18,1,,2.65,20,1200:00,0.0,0.0,16.0,4.0,53.0,,,,,,,,,,,,,
0,20112012,Jokerit Jr.,Fin-Jr.,1,,2.04,38,2295:00,4.0,0.0,28.0,11.0,78.0,,,,,,,,,,,,,
0,20112012,Finland,WJ18-A,2,,3.02,6,357:00,1.0,0.0,3.0,3.0,18.0,184.0,,,,,,,,,,,,
0,20122013,Jokerit Jr.,Fin-Jr.,1,,2.67,13,787:00,1.0,,,,35.0,,,,,,,,,,,,,
0,20122013,K-Vantaa,Finland-2,2,,2.71,18,997:00,0.0,,,,45.0,,,,,,,,,,,,,
0,20122013,Jokerit,Finland,3,,0.0,1,15:00,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0,20122013,Finland,WJC-A,4,0.858333,3.36,5,303:00,0.0,0.0,3.0,2.0,17.0,120.0,103.0,,,,,,,,,,,
0,20132014,Jokerit Jr.,Fin-Jr.,1,,1.0,1,60:00,0.0,,,,1.0,,,,,,,,,,,,,
0,20132014,Jokerit,Finland,2,,5.32,1,34:00,0.0,0.0,0.0,1.0,3.0,,,,,,,,,,,,,
0,20132014,K-Vantaa,Finland-2,3,,3.31,4,199:00,,,,,11.0,,,,,,,,,,,,,
0,20132014,Ilves Jr.,Fin-Jr.,4,,2.5,2,120:00,0.0,,,,5.0,,,,,,,,,,,,,
0,20132014,Ilves,Finland,5,,1.42,8,337:00,1.0,0.0,3.0,1.0,8.0,,,,,,,,,,,,,
0,20132014,LeKi,Finland-2,6,,6.13,2,68:00,,,,,7.0,,,,,,,,,,,,,
0,20142015,Ilves,Finland,1,,2.34,38,2132:00,2.0,7.0,14.0,13.0,83.0,,,,,,,,,,,,,
0,20142015,Springfield,AHL,2,0.878,3.2,3,169:00,0.0,0.0,0.0,2.0,9.0,74.0,65.0,,,,,,,,,,,
0,20142015,Ilves,Liiga,889,0.919,2.34,38,,,,,,,,,,,,,,,,,,,
0,20142015,Springfield Falcons,AHL,927,0.878,3.2,3,,,,,,,,,,,,,,,,,,,
0,20152016,Columbus Blue Jackets,National Hockey League,1,0.919505,2.595602,31,1803:03,0.0,,16.0,11.0,78.0,969.0,891.0,4.0,111.0,20.0,760.0,23.0,816.0,130.0,30.0,85.38461538461539,86.95652173913044,93.13725490196079
0,20152016,Lake Erie,AHL,2,0.913,2.36,18,1066:00,2.0,2.0,8.0,8.0,42.0,481.0,439.0,,,,,,,,,,,
0,20152016,Cleveland Monsters,AHL,22447,0.913,2.36,18,,,,,,,,,,,,,,,,,,,
0,20162017,Columbus Blue Jackets,National Hockey League,1,0.905237,2.88419,14,790:31,1.0,,7.0,5.0,38.0,401.0,363.0,1.0,49.0,3.0,311.0,3.0,343.0,55.0,13.0,89.0909090909091,100.0,90.67055393586006
0,20162017,Finland,WC,17055,0.858,3.82,6,,,,,,,,,,,,,,,,,,,
0,20162017,Cleveland Monsters,AHL,22447,0.907,2.69,16,,,,,,,,,,,,,,,,,,,
0,20172018,Columbus Blue Jackets,National Hockey League,1,0.897163,3.318025,18,1048:49,0.0,0.0,8.0,8.0,58.0,564.0,506.0,1.0,67.0,18.0,421.0,20.0,469.0,75.0,17.0,89.33333333333333,90.0,89.76545842217483
0,20172018,Cleveland Monsters,AHL,22447,0.924,2.26,8,,,,,,,,,,,,,,,,,,,
0,20182019,Columbus Blue Jackets,National Hockey League,1,0.897081,2.954651,27,1360:34,0.0,0.0,10.0,7.0,67.0,651.0,584.0,3.0,54.0,9.0,521.0,10.0,575.0,66.0,21.0,81.81818181818183,90.0,90.6086956521739
0,20192020,Columbus Blue Jackets,National Hockey League,1,0.911,2.5965,37,2125:54,2.0,0.0,19.0,12.0,92.0,1030.0,938.0,5.0,122.0,27.0,789.0,32.0,858.0,140.0,35.0,87.14285714285714,84.375,91.95804195804196
0,20192020,Cleveland Monsters,AHL,22447,0.941,1.95,1,,,,,,,,,,,,,,,,,,,
0,20202021,Columbus Blue Jackets,National Hockey League,1,0.894,3.2963,33,1747:26,0.0,0.0,9.0,13.0,96.0,904.0,808.0,7.0,85.0,23.0,700.0,24.0,777.0,103.0,31.0,82.52427184466019,95.83333333333334,90.09009009009009
0,20212022,Columbus Blue Jackets,National Hockey League,1,0.877,4.14716,22,1128:29,0.0,0.0,7.0,11.0,78.0,634.0,556.0,0.0,77.0,20.0,459.0,22.0,519.0,93.0,17.0,82.79569892473118,90.9090909090909,88.4393063583815
