,season,team,league,sequenceNumber,timeOnIce,assists,goals,pim,games,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shortHandedTimeOnIce,points,shifts,powerPlayGoals,shortHandedGoals,plusMinus,gameWinningGoals,shots,hits,powerPlayPoints,shotPct,overTimeGoals,shortHandedPoints,blocked
0,20032004,Dartmouth,NSMHL,1,00:00,47,47,104,60,00:00,00:00,104,0.0,00:00,94,0.0,,,,,,,,,,,
0,20042005,Moncton,QMJHL,1,00:00,20,9,52,61,00:00,00:00,52,0.0,00:00,29,0.0,5.0,0.0,0.0,,,,,,,,
0,20052006,Moncton,QMJHL,1,00:00,37,29,83,68,00:00,00:00,83,0.0,00:00,66,0.0,9.0,0.0,40.0,5.0,,,,,,,
0,20062007,Val-d'Or,QMJHL,1,,47,33,108,57,,,108,,,80,,16.0,3.0,12.0,6.0,,,,,,,
0,20062007,Canada,WJC-A,3,,0,2,2,6,,,2,,,2,,,,,,,,,,,,
0,20072008,Val-d'Or,QMJHL,1,,23,21,36,33,,,36,,,44,,6.0,4.0,-6.0,,,,,,,,
0,20072008,Halifax,QMJHL,2,,19,10,40,26,,,40,,,29,,3.0,0.0,8.0,,,,,,,,
0,20072008,Canada,WJC-A,3,00:00,2,4,4,7,00:00,00:00,4,0.0,00:00,6,0.0,,,,,,,,,,,
0,20082009,Providence,AHL,1,,41,18,67,79,,,67,,,59,,3.0,0.0,13.0,3.0,,,,,,,
0,20092010,Boston Bruins,National Hockey League,1,239:17,1,0,20,20,03:32,214:16,20,27.27,21:29,1,323.0,0.0,0.0,-3.0,0.0,32.0,20.0,0.0,0.0,0.0,0.0,4.0
0,20092010,Providence,AHL,2,,19,13,51,34,,,51,,,32,,7.0,0.0,14.0,2.0,,,,,,,
0,20102011,Boston Bruins,National Hockey League,1,1076:47,20,21,51,77,41:35,914:12,51,32.0,121:00,41,1444.0,2.0,5.0,25.0,2.0,149.0,89.0,3.0,14.09,0.0,6.0,30.0
0,20112012,Boston Bruins,National Hockey League,1,1339:19,27,28,87,76,164:12,1069:19,87,55.56,105:48,55,1702.0,5.0,1.0,31.0,3.0,167.0,72.0,6.0,16.77,0.0,3.0,21.0
0,20122013,Boston Bruins,National Hockey League,1,763:24,18,18,27,45,78:20,627:57,27,50.0,57:07,36,977.0,4.0,2.0,23.0,5.0,91.0,38.0,4.0,19.78,0.0,2.0,20.0
0,20132014,Boston Bruins,National Hockey League,1,1307:44,28,25,64,82,40:59,1139:37,64,26.09,127:08,53,1761.0,1.0,5.0,36.0,5.0,149.0,73.0,2.0,16.78,1.0,5.0,23.0
0,20142015,Boston Bruins,National Hockey League,1,1301:20,18,24,95,77,76:00,1118:32,95,39.39,106:48,42,1769.0,2.0,2.0,5.0,5.0,180.0,72.0,2.0,13.33,3.0,3.0,28.0
0,20152016,Boston Bruins,National Hockey League,1,1432:13,24,37,90,77,113:49,1164:06,90,37.5,154:18,61,1934.0,6.0,4.0,21.0,6.0,250.0,65.0,8.0,14.8,2.0,6.0,35.0
0,20152016,Canada,WC-A,2,,3,4,10,10,,,10,,,7,,0.0,1.0,9.0,0.0,20.0,,,,,,
0,20152016,Canada,WC,17155,,3,4,10,10,,,10,,,7,,,,9.0,,,,,,,,
0,20162017,Boston Bruins,National Hockey League,1,1554:55,46,39,81,80,215:44,1187:24,81,36.11,151:47,85,1942.0,9.0,3.0,18.0,8.0,226.0,51.0,24.0,17.26,1.0,5.0,35.0
0,20162017,Canada,WCup,17216,,3,5,8,6,,,8,,,8,,,,5.0,,,,,,,,
0,20172018,Boston Bruins,National Hockey League,1,1340:41,51,34,63,68,209:45,1008:03,63,39.68,122:53,85,1650.0,8.0,1.0,25.0,8.0,182.0,37.0,23.0,18.68,5.0,4.0,25.0
0,20182019,Boston Bruins,National Hockey League,1,1550:16,64,36,96,79,249:57,1176:21,96,42.86,123:58,100,1821.0,10.0,3.0,15.0,9.0,231.0,46.0,34.0,15.58,3.0,7.0,19.0
0,20192020,Boston Bruins,National Hockey League,1,1361:39,59,28,82,70,258:24,992:09,82,43.14,111:06,87,1568.0,5.0,1.0,25.0,5.0,185.0,55.0,28.0,15.1,0.0,3.0,19.0
0,20202021,Boston Bruins,National Hockey League,1,1002:15,40,29,46,53,170:57,746:25,46,31.43,84:53,69,1234.0,4.0,4.0,26.0,5.0,143.0,66.0,18.0,20.3,1.0,7.0,11.0
0,20212022,Boston Bruins,National Hockey League,1,1347:23,48,32,97,70,238:34,994:12,97,34.15,114:37,80,1582.0,7.0,2.0,16.0,6.0,242.0,78.0,27.0,13.2,1.0,2.0,20.0
